normal,gene1635,gene1014,gene377,gene453,gene979
1,-1.0,-1.0,0.0,1.0,1.0
-1,1.0,-1.0,1.0,0.0,0.0
1,-1.0,-1.0,1.0,1.0,1.0
-1,0.0,-1.0,1.0,1.0,0.0
1,0.0,0.0,-1.0,1.0,-1.0
-1,1.0,0.0,1.0,1.0,0.0
1,-1.0,-1.0,0.0,1.0,1.0
-1,0.0,0.0,1.0,1.0,0.0
1,-1.0,1.0,-1.0,0.0,1.0
-1,1.0,0.0,1.0,1.0,-1.0
1,0.0,1.0,0.0,0.0,1.0
-1,0.0,0.0,0.0,0.0,0.0
1,0.0,-1.0,0.0,0.0,-1.0
-1,1.0,-1.0,1.0,1.0,0.0
1,0.0,0.0,-1.0,1.0,0.0
-1,0.0,0.0,0.0,1.0,0.0
1,-1.0,0.0,1.0,0.0,1.0
-1,1.0,0.0,1.0,1.0,0.0
1,-1.0,0.0,-1.0,1.0,1.0
-1,1.0,0.0,1.0,1.0,0.0
1,-1.0,-1.0,0.0,0.0,0.0
-1,1.0,-1.0,0.0,0.0,0.0
1,0.0,1.0,-1.0,1.0,0.0
-1,1.0,0.0,1.0,1.0,0.0
1,-1.0,0.0,-1.0,-1.0,0.0
1,-1.0,0.0,-1.0,-1.0,0.0
1,0.0,-1.0,-1.0,-1.0,1.0
1,-1.0,1.0,-1.0,-1.0,1.0
1,0.0,-1.0,-1.0,-1.0,1.0
1,-1.0,-1.0,0.0,-1.0,1.0
1,-1.0,-1.0,-1.0,-1.0,1.0
1,1.0,1.0,-1.0,-1.0,1.0
1,0.0,1.0,-1.0,-1.0,1.0
1,-1.0,0.0,-1.0,-1.0,0.0
1,-1.0,0.0,-1.0,-1.0,1.0
1,-1.0,1.0,-1.0,0.0,0.0
1,0.0,-1.0,-1.0,-1.0,1.0
1,-1.0,1.0,-1.0,-1.0,1.0
-1,1.0,0.0,1.0,1.0,-1.0
1,-1.0,1.0,0.0,0.0,1.0
1,-1.0,0.0,-1.0,-1.0,-1.0
-1,1.0,0.0,1.0,0.0,-1.0
-1,1.0,0.0,1.0,0.0,0.0
1,-1.0,1.0,-1.0,0.0,1.0
1,1.0,-1.0,0.0,-1.0,0.0
1,-1.0,1.0,-1.0,-1.0,1.0
1,0.0,1.0,-1.0,0.0,-1.0
-1,1.0,0.0,1.0,0.0,-1.0
1,1.0,-1.0,1.0,-1.0,-1.0
-1,1.0,0.0,0.0,1.0,-1.0
-1,0.0,0.0,0.0,1.0,0.0
1,-1.0,1.0,-1.0,1.0,0.0
1,0.0,0.0,-1.0,0.0,-1.0
-1,1.0,0.0,0.0,0.0,-1.0
-1,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,0.0,-1.0
1,-1.0,0.0,-1.0,1.0,-1.0
1,-1.0,1.0,0.0,-1.0,1.0
1,0.0,1.0,-1.0,0.0,-1.0
-1,1.0,-1.0,1.0,0.0,-1.0
1,0.0,1.0,0.0,-1.0,-1.0
-1,1.0,0.0,0.0,1.0,-1.0
