class,Attr3320,Attr2363,Attr1674,Attr804,Attr6281,Attr6184,Attr2121,Attr1962,Attr2439,Attr5984
1,-0.220595,-0.944004,-0.831279,0.541643,0.749782,0.408718,-0.604218,0.257098,1.20838,0.154594
1,-0.408508,-0.086804,1.04445,-0.079822,-0.099772,-0.163314,-0.293615,0.030359,-0.676527,0.007397
1,-0.015344,-0.971744,-0.796445,1.49521,0.322379,0.845823,-0.121384,-0.813048,-0.161472,0.186647
1,-0.423074,-0.449502,-0.56639,-0.012533,0.379488,0.509054,-0.712532,2.195,0.78401,0.029181
1,-0.546663,0.426057,-0.265192,-0.395435,0.849345,0.337293,-0.692148,1.67664,0.551514,0.359131
1,-0.527014,-0.896146,-0.767445,0.476815,0.020094,1.61161,-0.43353,-0.755564,-0.572504,0.667296
1,-0.261331,-0.423158,-0.9869,0.440547,-0.206691,1.92858,-0.07306,1.38389,-0.084384,-0.193151
1,0.523796,-1.07833,-0.441669,0.657472,-0.360325,1.35509,-0.368266,-0.06126,0.427001,-0.68408
1,-0.655545,0.117503,-0.329927,2.0613,1.65138,-0.585031,-0.143726,-0.000159,-0.74091,1.71586
1,-0.146853,-0.682096,-0.934018,0.987127,1.55228,0.465251,-0.431831,-0.608021,-0.708906,0.107546
1,-0.868556,-0.092948,-0.776495,0.782958,2.02074,-0.12586,-0.594995,-0.26614,-0.131443,1.35083
1,-0.532135,-0.084548,0.887808,-0.727189,0.249493,-0.596227,-0.405045,-0.213425,0.178288,-0.328639
1,-0.820459,-0.608957,-0.731158,2.20634,0.898514,0.217274,-0.885089,0.900986,2.67321,0.594431
1,-0.588769,-0.91655,0.428941,-0.459888,-0.674661,-0.198025,-0.247696,-0.615057,-0.871108,-0.005962
1,-1.09896,-0.235191,-0.372833,0.363221,1.72033,-0.390629,-0.399029,1.72721,1.06305,1.50002
1,-0.602,-0.601505,-1.14633,0.072262,1.10359,0.529741,-0.399118,0.599497,-0.208248,0.751017
1,0.36678,2.62833,0.194485,-0.02461,-0.693301,-0.375286,0.357167,-0.32882,-2.17164,0.734171
1,-0.438071,-0.684936,-0.07089,-0.304393,0.748316,0.477259,-0.867082,-0.264498,-0.452354,-0.138886
1,0.12718,-0.483335,-0.994,-0.086024,0.554059,0.398602,-0.598722,-0.062929,0.59218,-0.638123
1,-1.01444,-0.901994,0.278615,3.47173,2.8961,-0.823475,-0.458318,1.93289,-0.375653,1.5027
1,-1.09464,-0.705302,-1.30868,-0.724897,1.36519,0.510279,-0.943521,1.8256,0.521243,3.7295
1,-0.473055,-0.840186,-0.719519,1.02681,-0.702947,-0.015499,-0.755386,1.01353,0.301664,0.836243
1,-0.6119,-0.979461,-1.14548,0.471007,0.280002,2.12329,-0.624085,-0.194179,0.187569,-0.00225
1,-0.557627,-0.058331,-0.760499,1.17895,0.371777,1.16981,-0.651686,3.12941,1.91035,-0.317539
1,-0.140593,-0.566933,0.461165,-0.305916,0.441323,0.292154,-0.619613,-0.553149,0.918373,0.043868
1,-0.596864,-0.843261,-0.959499,-0.380005,1.11577,0.514541,-0.626244,0.317772,1.5615,0.207724
