class,Attr3320,Attr2363,Attr1674,Attr804,Attr6281,Attr6184,Attr2121,Attr1962,Attr2439,Attr5984,Attr1882,Attr3012,Attr1829,Attr1144,Attr4847,Attr490,Attr3729,Attr3252,Attr6347,Attr3341,Attr6677,Attr3647,Attr7119,Attr1779,Attr5823,Attr6803,Attr2288,Attr4196,Attr770,Attr4167,Attr1745,Attr668,Attr2020,Attr2111,Attr5772,Attr1834,Attr1933,Attr4973,Attr2402,Attr6021,Attr5062,Attr1087,Attr6200,Attr5932,Attr695,Attr6919,Attr4609,Attr2546,Attr6797,Attr1135,Attr590,Attr396,Attr2137,Attr412,Attr4951,Attr3004,Attr3258,Attr400,Attr6806,Attr3605,Attr6215,Attr4328,Attr6477,Attr3507,Attr5593,Attr6201,Attr6162,Attr4499,Attr3904,Attr3130,Attr1802,Attr5723,Attr2084,Attr1817,Attr4903,Attr5377,Attr6005,Attr2475,Attr5087,Attr3784,Attr1291,Attr3336,Attr6645,Attr4697,Attr5274,Attr4229,Attr2485,Attr6967,Attr1630,Attr6283,Attr321,Attr4504,Attr6855,Attr1147,Attr6801,Attr2043,Attr2645,Attr5833,Attr6094,Attr4052
1,-0.220595,-0.944004,-0.831279,0.541643,0.749782,0.408718,-0.604218,0.257098,1.20838,0.154594,-0.504374,-0.887425,-0.714318,-0.000996,-0.661837,1.33268,-0.390271,-0.724608,2.41914,-0.171669,-0.378033,-2.30751,1.08633,-0.527772,0.306318,-0.848447,-0.587803,-1.05983,-1.49076,1.61509,-0.590146,2.39355,-0.71722,-0.997159,0.282473,-0.457315,1.11619,1.1624,-0.423939,0.582311,1.46734,-0.428808,-0.409105,0.077479,-0.541619,-0.729239,1.53349,-0.502294,-0.680772,-0.9265,-0.16021,-0.775541,-0.661439,0.821105,-0.936091,-0.985834,-0.575296,0.282783,-0.748313,-0.470329,-0.389158,0.014207,1.75939,-0.173663,0.9213,-0.532485,-0.228219,-0.175085,2.96255,0.398007,-0.167875,-0.56837,0.468976,-0.22819,-0.533238,-1.30301,-0.914758,0.942682,1.76245,-0.557205,-0.399007,-0.149107,0.126408,-2.91053,-0.420603,-0.738373,-0.367618,-0.828451,-0.296631,1.82346,-0.677593,-0.823608,0.392286,0.942965,1.2243,-0.631272,-0.188671,-1.28953,0.774059,-0.5894
1,-0.408508,-0.086804,1.04445,-0.079822,-0.099772,-0.163314,-0.293615,0.030359,-0.676527,0.007397,-0.327348,-0.886608,-0.192467,0.534197,-0.667077,2.3862,0.801949,-0.589524,-0.835864,-0.286596,-0.672324,-0.846367,-0.593272,-0.540885,1.16338,0.056059,-0.514951,0.008703,0.343471,-0.284158,-0.280799,0.620433,0.322441,1.10518,-0.812226,-0.851959,2.47367,-0.208466,-0.50399,0.544498,0.453798,-0.310982,0.055985,0.486299,-0.658561,-0.484845,0.333407,-0.617485,0.245112,-0.269497,1.01,0.574644,-0.424181,1.05748,0.514732,-0.233726,-0.587984,-0.90254,-0.151483,0.579766,-0.408356,0.075228,-0.205162,0.760261,-0.5017,0.382085,-1.42105,-0.554135,-0.784382,-0.284807,-0.757566,0.37862,-0.95917,-0.189473,0.231699,0.101105,-0.049944,2.32907,0.025594,-0.566469,-0.10279,0.093272,-0.567059,0.013953,-0.139972,-0.039015,-0.990296,0.033647,3.03609,-0.160631,-0.020872,1.14268,-0.251822,-0.629479,-0.385751,0.422411,-1.09213,0.179843,-0.449087,-0.465831
1,-0.015344,-0.971744,-0.796445,1.49521,0.322379,0.845823,-0.121384,-0.813048,-0.161472,0.186647,-0.516731,-1.15558,-0.877052,2.02583,-0.6691,2.27833,-0.316171,-0.640081,0.253612,0.673574,0.50425,-2.0317,-0.407801,-0.554255,0.254231,-0.122842,-0.610309,-0.986148,-1.66695,1.4705,-0.96515,0.037763,0.306202,-1.28755,0.831413,-0.393879,-1.17025,-1.16287,-0.354506,-0.438776,-0.533837,0.475936,-0.49866,-0.651571,0.489827,-0.652163,-0.216496,-0.746725,-0.149671,0.762637,-0.329882,-0.62577,-0.70103,-0.45216,-0.261234,-0.188677,-0.539666,-0.898393,-0.437522,0.238888,0.014497,1.86589,1.50227,-0.257373,0.464971,-0.543186,-0.22949,-0.307837,0.139214,2.67163,-1.5301,-1.53737,0.138684,-0.317318,-0.667713,0.181277,-0.070474,1.77538,1.27892,0.49627,-1.7503,0.903001,0.92329,-1.38727,0.741594,-1.45801,-0.129496,-0.744678,2.7557,0.769729,-0.720945,0.53143,-0.625058,-0.472983,2.38339,-0.583152,-0.225763,-0.974438,0.297362,-0.751157
1,-0.423074,-0.449502,-0.56639,-0.012533,0.379488,0.509054,-0.712532,2.195,0.78401,0.029181,-0.604415,-0.311491,-0.349703,-0.30018,-0.383181,-0.408326,-0.110619,-0.58836,0.396707,-0.327019,0.207107,-0.618918,-0.260879,-0.537684,-0.158238,-0.550678,-0.591665,-0.966607,-0.396908,0.045091,0.184016,-0.631159,-0.147056,-0.860332,1.46889,-0.266203,0.299374,0.875066,-0.399844,2.19836,0.077282,0.294984,-0.476836,-0.592054,0.612138,-0.662902,0.545551,-0.52584,-0.593958,1.07527,0.251095,-0.224611,-0.288994,0.484019,-0.640638,0.40164,-0.515515,-0.076736,-0.561231,-0.858813,-0.195863,0.355135,1.09311,-0.121629,-0.620525,-0.54047,-1.31906,0.430651,0.284293,-0.300068,0.162475,-0.322718,0.127417,-0.570951,-0.378177,0.015393,-0.133764,0.566363,0.622835,-0.226615,-0.37199,-0.245708,0.992159,-0.832636,0.734696,-0.387676,0.721785,-0.748538,0.016091,1.39987,-1.01382,-0.315521,0.828586,1.46714,2.23701,-0.533538,1.41438,-1.27459,0.412028,-0.265795
1,-0.546663,0.426057,-0.265192,-0.395435,0.849345,0.337293,-0.692148,1.67664,0.551514,0.359131,-0.577211,0.453441,0.069398,-0.242407,-0.420005,-0.119112,0.26121,-0.657389,0.413373,-1.07085,-1.38768,-0.23188,-0.576936,-0.380975,1.59744,-0.066341,-0.413875,1.57688,0.026507,1.14466,-0.184782,-0.611098,-0.644055,-0.20985,0.385429,-0.188082,0.857307,1.4909,-0.402617,1.70314,1.63298,1.52768,-0.457344,-0.42078,-0.212575,0.226273,0.799446,-0.02645,0.024584,1.14792,1.16607,0.052793,0.343921,0.130242,-0.673621,-0.232172,-0.320473,0.983463,-0.067157,-0.470116,-0.520301,0.910636,-0.529796,2.31603,-0.168403,-0.582557,-1.16529,-0.690236,0.362237,0.183953,0.875358,-0.042602,1.55948,-0.33977,0.266322,-0.437026,-1.32989,0.690569,1.56086,1.87241,0.138579,0.475315,-0.306927,-1.28273,0.636449,0.025053,0.869328,-0.252114,-0.230844,-0.015983,-0.788129,-0.076413,0.304736,-0.426358,1.17895,-0.461198,1.22675,-0.148384,-0.331899,-0.138044
1,-0.527014,-0.896146,-0.767445,0.476815,0.020094,1.61161,-0.43353,-0.755564,-0.572504,0.667296,-0.339436,-0.44109,-0.732004,2.25046,-0.626451,0.902521,-0.884727,-0.595599,-0.214945,0.134634,0.481847,-0.600914,0.410213,-0.500839,-0.615553,-0.128933,-0.469759,-0.884298,-1.74348,0.458709,-0.535866,-0.399141,-0.517678,-1.26471,0.296857,-0.653673,-1.16322,-0.221841,-0.392244,0.130667,-0.103007,-0.411732,-0.450308,-0.532523,0.6939,-0.157987,-0.420447,-0.748703,-0.01604,-0.626581,-0.260405,-0.570672,0.240318,-0.997399,-0.091873,-0.419163,-0.926414,-0.333241,0.040487,-0.899105,-0.299403,0.437184,-0.215299,0.262622,0.872557,-0.53431,-0.282012,-0.632782,-0.182515,-0.962576,-1.43406,-0.76184,-0.046285,-1.8372,0.994615,1.11536,-0.341953,-0.277381,-0.202484,0.023979,-1.31175,0.158135,0.24116,-0.57444,1.14953,-1.03305,-0.49614,-0.221612,1.68673,0.540009,-0.623372,0.23175,-0.237115,-0.410583,1.90772,-0.460973,0.003692,-0.344894,-0.358977,-0.8255
1,-0.261331,-0.423158,-0.9869,0.440547,-0.206691,1.92858,-0.07306,1.38389,-0.084384,-0.193151,-0.584201,-0.904241,-0.24752,-0.334498,-0.76256,0.150246,0.022755,-0.521803,0.070197,-0.307096,0.445676,0.159941,-0.542422,-0.534178,-0.037688,-0.590074,-0.577604,-0.955245,-0.598853,0.23464,-0.542944,-0.657949,-0.248509,-1.02369,0.642716,-0.677404,-0.560113,-0.600293,-0.408144,1.11915,-0.519744,0.84937,-0.437657,-0.382556,0.500892,-0.675489,0.089417,-0.4709,-0.628738,-0.253921,-0.715792,-0.554207,-0.272551,0.361164,-1.19795,0.304795,-0.35427,0.339004,-0.651577,-0.432142,-0.163119,1.05595,1.59294,-0.283962,-0.718502,-0.550643,-0.07793,-0.044964,-0.321429,0.49631,-0.174481,0.040206,-0.524144,-0.803724,-0.338268,0.354065,-0.279364,-0.704082,-0.165485,0.159106,-0.547112,-0.022093,0.713695,0.233943,-0.345273,-0.545367,-0.339908,-0.763879,-0.639893,1.09988,-0.70627,-0.848588,-0.055506,1.6742,1.90456,-0.548713,-0.304732,-0.764888,0.154961,1.97658
1,0.523796,-1.07833,-0.441669,0.657472,-0.360325,1.35509,-0.368266,-0.06126,0.427001,-0.68408,-0.586408,-0.784698,-1.2218,0.184719,-0.922927,-0.231168,-0.275387,-0.514842,0.633071,-0.911094,0.503363,-2.45075,-0.490341,-0.563624,0.903931,-0.36474,-0.664502,-1.04071,-0.85931,0.530129,-0.640702,0.409685,0.500426,-0.446094,1.08006,-0.27135,0.030984,1.12953,-0.322111,-0.387048,-0.563562,0.726167,-0.47061,-0.417462,1.94489,-0.646943,1.1102,-0.4335,-0.406691,-0.476176,0.04113,-0.280432,-0.684868,-0.545849,0.084071,-0.148718,-0.452848,-1.08704,-0.397245,-0.448447,-0.243281,-0.420616,2.38988,-0.030426,0.028028,-0.493004,0.335224,0.711857,1.46002,-0.072946,-1.2769,0.243528,-0.192143,0.895794,-3.09739,0.058944,1.24468,-0.104776,0.621654,0.672451,-0.614343,-0.477567,1.06395,0.756778,-0.910296,-0.601558,-0.06998,-0.853087,1.55241,1.8159,-0.424042,0.625722,1.18704,0.502545,1.08025,-0.205669,-1.54128,-0.115038,0.543104,-0.708179
1,-0.655545,0.117503,-0.329927,2.0613,1.65138,-0.585031,-0.143726,-0.000159,-0.74091,1.71586,-0.515508,0.14657,0.089708,3.79036,-1.01329,2.54297,-0.171251,-0.731869,-0.240493,-1.49922,0.223085,-0.933878,0.960384,-0.552197,1.69886,-0.270796,-0.578807,-0.876502,-0.092147,0.436035,-0.844228,0.860225,-0.686479,-0.320043,0.506947,-0.892837,-0.547024,0.292861,-0.361603,0.157371,-0.788102,0.307497,-0.482132,-0.724626,-0.203135,-1.11035,-0.18642,-0.601477,-0.328597,0.057251,-0.005979,-0.582336,-0.895416,-0.632995,1.01872,0.752709,-0.903485,0.612662,-0.405459,-0.767937,-0.509949,1.74458,1.0208,0.009323,0.052511,-0.531316,-1.11305,-0.537843,0.104938,-0.881346,-1.2741,-1.21037,0.175726,-0.820882,-1.07165,2.31367,0.235613,2.34545,2.15338,0.544727,-0.882109,1.20933,-0.306716,-1.0088,2.90868,-1.01919,0.414498,0.45333,2.05148,-0.45467,-0.613402,0.168716,0.249824,-0.834371,2.07195,-0.554669,0.803011,-1.22212,1.53545,-0.885639
1,-0.146853,-0.682096,-0.934018,0.987127,1.55228,0.465251,-0.431831,-0.608021,-0.708906,0.107546,-0.459045,-0.291167,-0.906874,2.32742,-0.505337,0.70502,-0.062976,-0.591766,-0.525513,-0.114091,-0.335993,0.118936,-0.245852,-0.458701,-0.956274,-0.321957,-0.484019,-0.730224,-1.38832,0.562529,-0.804795,0.363414,-0.219165,-0.620419,-0.496381,-0.516725,-0.874585,-1.2572,-0.538567,-0.953828,-0.397978,0.779772,-0.479704,-0.544749,-0.937352,-0.375318,0.035406,-0.167609,-0.497318,-0.081227,-0.778401,-0.821117,-0.160806,-0.8321,0.372122,-0.123421,-0.271975,0.536188,-0.382855,-0.236723,-0.337565,0.902733,-0.73484,-0.079502,-0.114494,-0.485352,-0.608369,-0.227529,-0.717249,0.806283,-1.15152,-0.147274,-0.26208,-1.13967,0.182224,0.281332,0.55054,-0.097911,-0.342527,-0.902844,-1.39689,0.019724,-0.866466,0.374761,-0.370782,-0.774157,0.315866,-0.338532,0.282944,0.376796,-0.593752,2.03575,-0.697631,-0.896159,-0.617027,-0.416296,0.210244,-1.07079,-0.219035,-0.880344
