class,Attr3320,Attr2363,Attr1674,Attr804,Attr6281,Attr6184,Attr2121,Attr1962,Attr2439,Attr5984,Attr1882,Attr3012,Attr1829,Attr1144,Attr4847,Attr490,Attr3729,Attr3252,Attr6347,Attr3341
1,-0.220595,-0.944004,-0.831279,0.541643,0.749782,0.408718,-0.604218,0.257098,1.20838,0.154594,-0.504374,-0.887425,-0.714318,-0.000996,-0.661837,1.33268,-0.390271,-0.724608,2.41914,-0.171669
1,-0.408508,-0.086804,1.04445,-0.079822,-0.099772,-0.163314,-0.293615,0.030359,-0.676527,0.007397,-0.327348,-0.886608,-0.192467,0.534197,-0.667077,2.3862,0.801949,-0.589524,-0.835864,-0.286596
1,-0.015344,-0.971744,-0.796445,1.49521,0.322379,0.845823,-0.121384,-0.813048,-0.161472,0.186647,-0.516731,-1.15558,-0.877052,2.02583,-0.6691,2.27833,-0.316171,-0.640081,0.253612,0.673574
1,-0.423074,-0.449502,-0.56639,-0.012533,0.379488,0.509054,-0.712532,2.195,0.78401,0.029181,-0.604415,-0.311491,-0.349703,-0.30018,-0.383181,-0.408326,-0.110619,-0.58836,0.396707,-0.327019
1,-0.546663,0.426057,-0.265192,-0.395435,0.849345,0.337293,-0.692148,1.67664,0.551514,0.359131,-0.577211,0.453441,0.069398,-0.242407,-0.420005,-0.119112,0.26121,-0.657389,0.413373,-1.07085
1,-0.527014,-0.896146,-0.767445,0.476815,0.020094,1.61161,-0.43353,-0.755564,-0.572504,0.667296,-0.339436,-0.44109,-0.732004,2.25046,-0.626451,0.902521,-0.884727,-0.595599,-0.214945,0.134634
1,-0.261331,-0.423158,-0.9869,0.440547,-0.206691,1.92858,-0.07306,1.38389,-0.084384,-0.193151,-0.584201,-0.904241,-0.24752,-0.334498,-0.76256,0.150246,0.022755,-0.521803,0.070197,-0.307096
1,0.523796,-1.07833,-0.441669,0.657472,-0.360325,1.35509,-0.368266,-0.06126,0.427001,-0.68408,-0.586408,-0.784698,-1.2218,0.184719,-0.922927,-0.231168,-0.275387,-0.514842,0.633071,-0.911094
1,-0.655545,0.117503,-0.329927,2.0613,1.65138,-0.585031,-0.143726,-0.000159,-0.74091,1.71586,-0.515508,0.14657,0.089708,3.79036,-1.01329,2.54297,-0.171251,-0.731869,-0.240493,-1.49922
1,-0.146853,-0.682096,-0.934018,0.987127,1.55228,0.465251,-0.431831,-0.608021,-0.708906,0.107546,-0.459045,-0.291167,-0.906874,2.32742,-0.505337,0.70502,-0.062976,-0.591766,-0.525513,-0.114091
1,-0.868556,-0.092948,-0.776495,0.782958,2.02074,-0.12586,-0.594995,-0.26614,-0.131443,1.35083,-0.618261,0.608441,-0.874858,2.00403,-0.839667,1.13045,0.54803,-0.601857,-0.726229,-0.630573
1,-0.532135,-0.084548,0.887808,-0.727189,0.249493,-0.596227,-0.405045,-0.213425,0.178288,-0.328639,-0.511291,0.047342,-0.385489,-0.612139,-0.493653,-0.422025,-0.717094,-0.518583,-0.965296,-1.48313
1,-0.820459,-0.608957,-0.731158,2.20634,0.898514,0.217274,-0.885089,0.900986,2.67321,0.594431,-0.580581,-0.385754,-0.902743,0.159088,-0.409749,0.775825,0.45072,-0.720782,2.42381,0.17144
1,-0.588769,-0.91655,0.428941,-0.459888,-0.674661,-0.198025,-0.247696,-0.615057,-0.871108,-0.005962,-0.410996,-0.062776,0.338396,0.497909,-0.617624,0.705676,-0.490491,0.538875,1.08363,0.447832
1,-1.09896,-0.235191,-0.372833,0.363221,1.72033,-0.390629,-0.399029,1.72721,1.06305,1.50002,-0.55176,0.572587,-0.378008,-0.02423,-0.299676,-0.250774,-0.161606,-0.757284,1.55655,-0.598833
1,-0.602,-0.601505,-1.14633,0.072262,1.10359,0.529741,-0.399118,0.599497,-0.208248,0.751017,-0.548036,-0.764187,-0.725963,0.924778,-0.300419,0.346307,0.25042,-0.698955,0.879787,0.543102
1,0.36678,2.62833,0.194485,-0.02461,-0.693301,-0.375286,0.357167,-0.32882,-2.17164,0.734171,-0.509996,0.475787,-0.013585,-0.589948,-0.363784,1.73603,0.960374,2.91627,0.843437,-0.131466
1,-0.438071,-0.684936,-0.07089,-0.304393,0.748316,0.477259,-0.867082,-0.264498,-0.452354,-0.138886,-0.539016,-0.473391,-0.608499,-0.577835,-0.546299,-0.30115,0.439158,-0.539429,-0.18086,-0.108183
1,0.12718,-0.483335,-0.994,-0.086024,0.554059,0.398602,-0.598722,-0.062929,0.59218,-0.638123,-0.577883,-1.13825,-0.735121,1.09774,-0.404501,1.29904,0.845501,-0.662931,0.404524,0.143711
1,-1.01444,-0.901994,0.278615,3.47173,2.8961,-0.823475,-0.458318,1.93289,-0.375653,1.5027,-0.559032,-0.729946,0.213297,1.4514,-0.509802,1.11482,0.800669,-0.91946,1.7867,0.55605
1,-1.09464,-0.705302,-1.30868,-0.724897,1.36519,0.510279,-0.943521,1.8256,0.521243,3.7295,-0.559726,-1.33498,-0.473473,0.117967,-0.738108,1.42641,-0.222814,-0.571671,-0.611511,-0.695612
1,-0.473055,-0.840186,-0.719519,1.02681,-0.702947,-0.015499,-0.755386,1.01353,0.301664,0.836243,-0.554978,-1.05588,-0.804491,-0.396286,-0.693239,-0.529657,1.31608,-0.655169,-1.12827,0.603389
1,-0.6119,-0.979461,-1.14548,0.471007,0.280002,2.12329,-0.624085,-0.194179,0.187569,-0.00225,-0.460224,-1.40931,-0.797645,-0.208404,-0.83004,-0.102223,-0.190675,-0.525202,-0.06438,-0.035451
1,-0.557627,-0.058331,-0.760499,1.17895,0.371777,1.16981,-0.651686,3.12941,1.91035,-0.317539,-0.597168,-0.322101,-0.482278,0.024648,-0.714273,-0.077011,0.051868,-0.696862,0.37912,-0.442698
1,-0.140593,-0.566933,0.461165,-0.305916,0.441323,0.292154,-0.619613,-0.553149,0.918373,0.043868,-0.587216,-0.046098,-0.712194,-0.551346,-0.378206,-0.303553,-0.180584,-0.573825,0.791666,-0.398412
1,-0.596864,-0.843261,-0.959499,-0.380005,1.11577,0.514541,-0.626244,0.317772,1.5615,0.207724,-0.540056,-1.019,-0.693172,1.16844,-0.548824,-0.391312,0.424878,-0.626539,0.253586,-0.170095
