class,Attr3320,Attr2363,Attr1674,Attr804,Attr6281,Attr6184,Attr2121,Attr1962,Attr2439,Attr5984,Attr1882,Attr3012,Attr1829,Attr1144,Attr4847,Attr490,Attr3729,Attr3252,Attr6347,Attr3341,Attr6677,Attr3647,Attr7119,Attr1779,Attr5823,Attr6803,Attr2288,Attr4196,Attr770,Attr4167,Attr1745,Attr668,Attr2020,Attr2111,Attr5772,Attr1834,Attr1933,Attr4973,Attr2402,Attr6021,Attr5062,Attr1087,Attr6200,Attr5932,Attr695,Attr6919,Attr4609,Attr2546,Attr6797,Attr1135,Attr590,Attr396,Attr2137,Attr412,Attr4951,Attr3004,Attr3258,Attr400,Attr6806,Attr3605,Attr6215,Attr4328,Attr6477,Attr3507,Attr5593,Attr6201,Attr6162,Attr4499,Attr3904,Attr3130,Attr1802,Attr5723,Attr2084,Attr1817,Attr4903,Attr5377,Attr6005,Attr2475,Attr5087,Attr3784,Attr1291,Attr3336,Attr6645,Attr4697,Attr5274,Attr4229,Attr2485,Attr6967,Attr1630,Attr6283,Attr321,Attr4504,Attr6855,Attr1147,Attr6801,Attr2043,Attr2645,Attr5833,Attr6094,Attr4052,Attr6169,Attr6257,Attr878,Attr2394,Attr1928,Attr1615,Attr3939,Attr275,Attr1764,Attr4664,Attr173,Attr5094,Attr3935,Attr2641,Attr1400,Attr4764,Attr2181,Attr3622,Attr774,Attr4898,Attr6563,Attr3722,Attr88,Attr5039,Attr2441,Attr332,Attr4621,Attr6761,Attr3631,Attr3847,Attr235,Attr2659,Attr4006,Attr2291,Attr1092,Attr293,Attr2828,Attr4582,Attr2356,Attr5954,Attr324,Attr7044,Attr2276,Attr760,Attr2626,Attr3342,Attr3714,Attr4291,Attr2254,Attr2912,Attr1725,Attr1081,Attr5552,Attr2793,Attr5808,Attr4535,Attr930,Attr3706,Attr3129,Attr2729,Attr4375,Attr4366,Attr697,Attr4116,Attr120,Attr6055,Attr3070,Attr6225,Attr4141,Attr1827,Attr713,Attr3170,Attr4801,Attr4421,Attr2098,Attr1260,Attr6405,Attr894,Attr49,Attr1704,Attr1350,Attr3135,Attr4448,Attr6974,Attr6688,Attr2597,Attr4569,Attr634,Attr1839,Attr791,Attr2186,Attr4438,Attr350,Attr2141,Attr1380,Attr1369,Attr1120,Attr4682,Attr124,Attr467
1,-0.220595,-0.944004,-0.831279,0.541643,0.749782,0.408718,-0.604218,0.257098,1.20838,0.154594,-0.504374,-0.887425,-0.714318,-0.000996,-0.661837,1.33268,-0.390271,-0.724608,2.41914,-0.171669,-0.378033,-2.30751,1.08633,-0.527772,0.306318,-0.848447,-0.587803,-1.05983,-1.49076,1.61509,-0.590146,2.39355,-0.71722,-0.997159,0.282473,-0.457315,1.11619,1.1624,-0.423939,0.582311,1.46734,-0.428808,-0.409105,0.077479,-0.541619,-0.729239,1.53349,-0.502294,-0.680772,-0.9265,-0.16021,-0.775541,-0.661439,0.821105,-0.936091,-0.985834,-0.575296,0.282783,-0.748313,-0.470329,-0.389158,0.014207,1.75939,-0.173663,0.9213,-0.532485,-0.228219,-0.175085,2.96255,0.398007,-0.167875,-0.56837,0.468976,-0.22819,-0.533238,-1.30301,-0.914758,0.942682,1.76245,-0.557205,-0.399007,-0.149107,0.126408,-2.91053,-0.420603,-0.738373,-0.367618,-0.828451,-0.296631,1.82346,-0.677593,-0.823608,0.392286,0.942965,1.2243,-0.631272,-0.188671,-1.28953,0.774059,-0.5894,-0.234736,2.1884,-0.211529,-0.339015,0.84065,-1.2884,-0.198623,0.383204,0.599547,-0.645439,-1.01935,-1.36181,-0.11007,0.749669,-0.249485,0.444846,-0.358844,1.96912,-1.07897,-0.526516,-0.025427,0.395646,-0.861864,-0.066387,0.118397,0.117076,1.11681,2.58992,-1.0887,0.016964,-1.07082,-0.100537,-0.395939,-0.447045,-0.464824,1.94634,0.949981,1.50972,-0.318646,-0.477071,0.239218,-0.308227,-0.582104,-0.452677,-0.813903,-0.813328,-0.543627,0.650962,-1.16773,0.279452,-1.22358,-0.047672,1.28494,0.815952,-0.616433,0.69701,1.14214,0.493217,-0.534494,0.599428,-0.337164,-0.631178,0.37556,-1.47009,-0.01497,0.491092,-1.23454,1.78781,-0.841912,-0.155211,0.697491,1.73902,0.397016,1.01383,-0.763917,-1.58663,-0.678444,-0.131257,-0.332225,-0.24908,0.517232,-0.706748,-0.070726,1.11147,-0.23013,1.18122,0.167832,0.425209,0.346773,-0.41279,-0.794096,0.850178,-0.353199,-0.836825,0.87092,-1.23982,0.783676,1.54915,0.003273,0.26815
1,-0.408508,-0.086804,1.04445,-0.079822,-0.099772,-0.163314,-0.293615,0.030359,-0.676527,0.007397,-0.327348,-0.886608,-0.192467,0.534197,-0.667077,2.3862,0.801949,-0.589524,-0.835864,-0.286596,-0.672324,-0.846367,-0.593272,-0.540885,1.16338,0.056059,-0.514951,0.008703,0.343471,-0.284158,-0.280799,0.620433,0.322441,1.10518,-0.812226,-0.851959,2.47367,-0.208466,-0.50399,0.544498,0.453798,-0.310982,0.055985,0.486299,-0.658561,-0.484845,0.333407,-0.617485,0.245112,-0.269497,1.01,0.574644,-0.424181,1.05748,0.514732,-0.233726,-0.587984,-0.90254,-0.151483,0.579766,-0.408356,0.075228,-0.205162,0.760261,-0.5017,0.382085,-1.42105,-0.554135,-0.784382,-0.284807,-0.757566,0.37862,-0.95917,-0.189473,0.231699,0.101105,-0.049944,2.32907,0.025594,-0.566469,-0.10279,0.093272,-0.567059,0.013953,-0.139972,-0.039015,-0.990296,0.033647,3.03609,-0.160631,-0.020872,1.14268,-0.251822,-0.629479,-0.385751,0.422411,-1.09213,0.179843,-0.449087,-0.465831,-0.448775,-0.344555,0.078485,-0.034835,0.069,0.086099,0.316636,0.989221,-0.816541,-0.146713,-0.066287,-1.76813,-1.83711,0.653056,0.112272,-0.883343,-0.732482,1.02352,1.40707,-0.106601,-0.899044,0.458706,0.510149,-0.584471,0.416925,0.560854,-0.710814,1.36566,-0.28155,-0.869876,-0.687197,-0.196209,-0.585031,2.0018,0.316874,-0.109555,-0.72196,-1.02484,0.033891,-0.460153,1.2073,-0.291298,-0.093882,-0.249236,-0.628767,0.190796,-0.557562,0.789463,-0.346697,0.050857,-0.677257,-0.675919,-0.136673,-0.490574,-0.652477,0.291513,-0.1943,-0.340769,0.588972,0.869256,2.41957,-0.221208,-0.504109,-0.560274,0.47323,-0.398281,-0.018385,-0.859096,-0.429567,-0.677788,-1.03139,-0.734969,0.28115,-0.770823,0.849921,-0.572685,-0.319136,-1.2058,0.068526,1.73494,0.5289,-1.38289,0.157527,-1.12097,-0.551067,0.37339,0.136002,0.133502,-0.935155,0.159577,0.134148,-0.133839,-0.058317,0.057659,0.23518,0.651247,2.31495,0.226174,0.179178,0.148342
1,-0.015344,-0.971744,-0.796445,1.49521,0.322379,0.845823,-0.121384,-0.813048,-0.161472,0.186647,-0.516731,-1.15558,-0.877052,2.02583,-0.6691,2.27833,-0.316171,-0.640081,0.253612,0.673574,0.50425,-2.0317,-0.407801,-0.554255,0.254231,-0.122842,-0.610309,-0.986148,-1.66695,1.4705,-0.96515,0.037763,0.306202,-1.28755,0.831413,-0.393879,-1.17025,-1.16287,-0.354506,-0.438776,-0.533837,0.475936,-0.49866,-0.651571,0.489827,-0.652163,-0.216496,-0.746725,-0.149671,0.762637,-0.329882,-0.62577,-0.70103,-0.45216,-0.261234,-0.188677,-0.539666,-0.898393,-0.437522,0.238888,0.014497,1.86589,1.50227,-0.257373,0.464971,-0.543186,-0.22949,-0.307837,0.139214,2.67163,-1.5301,-1.53737,0.138684,-0.317318,-0.667713,0.181277,-0.070474,1.77538,1.27892,0.49627,-1.7503,0.903001,0.92329,-1.38727,0.741594,-1.45801,-0.129496,-0.744678,2.7557,0.769729,-0.720945,0.53143,-0.625058,-0.472983,2.38339,-0.583152,-0.225763,-0.974438,0.297362,-0.751157,-1.08872,-0.48764,-0.012351,-0.6625,2.88487,-1.00029,-0.322498,1.92356,-0.394581,-0.269504,-1.27169,0.677442,-0.720137,0.924689,-0.37343,0.918393,0.06022,1.54781,-0.694601,-0.89902,0.388101,0.316182,-0.36956,-0.198138,2.55084,1.83137,-1.59653,1.11437,-0.594334,0.722164,-1.26812,0.939429,-0.035261,0.056646,-0.545354,0.222998,0.567341,1.00479,-0.38237,-0.395456,1.68705,0.44539,0.431903,-0.43541,-0.010583,-0.86153,-0.538032,1.78329,0.677083,-0.766243,-1.53185,-0.32847,-0.360165,0.805449,-0.368873,1.65528,0.099963,0.37984,-0.205446,1.71318,3.63416,-0.474006,0.55334,-1.14739,-0.637911,0.572417,0.999112,-0.5315,-0.79479,0.261284,0.237947,0.079389,1.03794,-0.169335,-1.1056,-1.55987,-0.511454,0.566345,-0.355824,3.18869,1.8504,-1.04608,-0.587723,-0.072153,0.810323,1.7637,0.371492,1.11652,0.848096,0.250657,-0.659566,0.05545,0.651179,-0.712104,0.137396,-0.3672,1.99346,-0.720824,-0.356613,-1.37441
1,-0.423074,-0.449502,-0.56639,-0.012533,0.379488,0.509054,-0.712532,2.195,0.78401,0.029181,-0.604415,-0.311491,-0.349703,-0.30018,-0.383181,-0.408326,-0.110619,-0.58836,0.396707,-0.327019,0.207107,-0.618918,-0.260879,-0.537684,-0.158238,-0.550678,-0.591665,-0.966607,-0.396908,0.045091,0.184016,-0.631159,-0.147056,-0.860332,1.46889,-0.266203,0.299374,0.875066,-0.399844,2.19836,0.077282,0.294984,-0.476836,-0.592054,0.612138,-0.662902,0.545551,-0.52584,-0.593958,1.07527,0.251095,-0.224611,-0.288994,0.484019,-0.640638,0.40164,-0.515515,-0.076736,-0.561231,-0.858813,-0.195863,0.355135,1.09311,-0.121629,-0.620525,-0.54047,-1.31906,0.430651,0.284293,-0.300068,0.162475,-0.322718,0.127417,-0.570951,-0.378177,0.015393,-0.133764,0.566363,0.622835,-0.226615,-0.37199,-0.245708,0.992159,-0.832636,0.734696,-0.387676,0.721785,-0.748538,0.016091,1.39987,-1.01382,-0.315521,0.828586,1.46714,2.23701,-0.533538,1.41438,-1.27459,0.412028,-0.265795,-0.30556,1.08295,1.22264,-0.558727,0.75934,-1.13551,0.519597,0.025597,0.886597,-0.463589,0.114897,-0.205737,0.67656,0.029239,-0.467532,-0.795009,-0.270584,0.419361,0.089576,-0.45541,-1.1374,1.61742,-0.275172,0.213462,1.30552,0.04549,1.589,0.344782,-0.182883,0.220859,-0.155497,-0.346025,-1.18173,-0.669887,-0.42298,0.639977,0.287876,0.747843,-0.293819,-0.429178,1.16711,-0.11444,1.29376,-0.464159,-0.873552,-0.07254,1.0743,-0.155342,-0.169809,-0.176841,-0.286191,-0.133029,0.100043,-0.568746,-0.181905,0.266107,0.333342,1.03882,-0.220662,0.450271,-0.147777,-0.933657,1.00426,-0.924522,-0.168975,0.313432,-0.847959,0.808159,-0.566107,0.449108,1.86866,1.22192,1.53233,0.547052,-0.243174,-1.2317,-0.404489,0.402192,-0.650344,0.340039,1.20424,1.45113,-1.03738,1.18555,-0.52855,0.362417,0.029043,1.06764,0.531643,-0.107055,-0.640495,-0.139817,0.266541,-0.676671,-0.71293,0.131387,-0.103572,1.07031,0.107012,-0.798163
1,-0.546663,0.426057,-0.265192,-0.395435,0.849345,0.337293,-0.692148,1.67664,0.551514,0.359131,-0.577211,0.453441,0.069398,-0.242407,-0.420005,-0.119112,0.26121,-0.657389,0.413373,-1.07085,-1.38768,-0.23188,-0.576936,-0.380975,1.59744,-0.066341,-0.413875,1.57688,0.026507,1.14466,-0.184782,-0.611098,-0.644055,-0.20985,0.385429,-0.188082,0.857307,1.4909,-0.402617,1.70314,1.63298,1.52768,-0.457344,-0.42078,-0.212575,0.226273,0.799446,-0.02645,0.024584,1.14792,1.16607,0.052793,0.343921,0.130242,-0.673621,-0.232172,-0.320473,0.983463,-0.067157,-0.470116,-0.520301,0.910636,-0.529796,2.31603,-0.168403,-0.582557,-1.16529,-0.690236,0.362237,0.183953,0.875358,-0.042602,1.55948,-0.33977,0.266322,-0.437026,-1.32989,0.690569,1.56086,1.87241,0.138579,0.475315,-0.306927,-1.28273,0.636449,0.025053,0.869328,-0.252114,-0.230844,-0.015983,-0.788129,-0.076413,0.304736,-0.426358,1.17895,-0.461198,1.22675,-0.148384,-0.331899,-0.138044,-1.19203,0.630167,1.78795,-0.346294,0.517995,0.069189,0.661569,-0.205282,-0.616163,-0.207089,0.057636,-1.2029,0.19136,0.473491,0.282486,-0.210914,-0.416919,0.143053,0.847969,0.823537,-0.630797,1.05542,-0.829459,-0.26228,1.04754,2.45074,0.335373,-0.606726,-0.005622,-0.899909,-0.489387,-1.11338,0.30215,-0.621323,0.023592,-0.175003,-1.15384,1.08073,-0.898887,-0.584529,2.22254,-0.147885,0.606141,-0.371676,1.42206,1.78614,-0.39823,1.8694,0.160696,1.91747,-0.231066,1.10535,0.744408,-1.39907,-0.622937,0.591033,0.578037,0.131984,0.965095,0.382058,-0.180288,0.04837,0.657931,0.130424,-0.202982,0.17184,0.007426,0.524012,-0.638305,1.03236,-0.847017,2.35235,1.75346,0.36226,-0.368198,-1.14576,-0.746973,-0.919369,-0.341962,-0.401065,-0.00185,0.26392,0.676153,0.248738,-1.39659,0.497317,0.531766,0.965398,1.19274,0.169604,-0.896591,-0.099972,-0.768588,0.104038,-0.146209,-0.130113,-0.132359,0.038596,-0.457885,0.28932
1,-0.527014,-0.896146,-0.767445,0.476815,0.020094,1.61161,-0.43353,-0.755564,-0.572504,0.667296,-0.339436,-0.44109,-0.732004,2.25046,-0.626451,0.902521,-0.884727,-0.595599,-0.214945,0.134634,0.481847,-0.600914,0.410213,-0.500839,-0.615553,-0.128933,-0.469759,-0.884298,-1.74348,0.458709,-0.535866,-0.399141,-0.517678,-1.26471,0.296857,-0.653673,-1.16322,-0.221841,-0.392244,0.130667,-0.103007,-0.411732,-0.450308,-0.532523,0.6939,-0.157987,-0.420447,-0.748703,-0.01604,-0.626581,-0.260405,-0.570672,0.240318,-0.997399,-0.091873,-0.419163,-0.926414,-0.333241,0.040487,-0.899105,-0.299403,0.437184,-0.215299,0.262622,0.872557,-0.53431,-0.282012,-0.632782,-0.182515,-0.962576,-1.43406,-0.76184,-0.046285,-1.8372,0.994615,1.11536,-0.341953,-0.277381,-0.202484,0.023979,-1.31175,0.158135,0.24116,-0.57444,1.14953,-1.03305,-0.49614,-0.221612,1.68673,0.540009,-0.623372,0.23175,-0.237115,-0.410583,1.90772,-0.460973,0.003692,-0.344894,-0.358977,-0.8255,-0.076605,0.264531,-0.657761,-0.53177,1.38447,-1.18145,0.129711,0.565763,0.407689,0.117955,-0.074282,0.361563,0.161381,0.654171,-0.762411,0.660656,0.490283,0.902082,-1.08058,-0.331874,-0.652447,-0.363514,-0.333963,-0.481077,0.600479,0.349044,-0.787581,-0.015682,-0.142361,-0.402788,-0.08669,-0.939827,1.95455,0.205624,-0.035474,-0.184324,-1.05914,-0.428725,-0.054872,-0.242173,-0.075616,-0.21461,0.406409,-0.374136,0.405705,0.302552,-0.542465,0.019048,1.32135,1.21739,-0.349379,-0.186979,-0.640661,-1.13986,-0.239276,0.612547,-0.826995,1.12436,0.587492,0.359733,3.37047,-0.438063,-0.259422,-0.908584,0.540299,-0.177617,0.947573,-0.671317,-0.75221,-0.303556,0.581915,0.061237,0.225317,2.76965,-0.391975,-0.458886,-0.222011,0.666412,-0.218024,3.10503,-0.19761,-0.08268,0.63416,0.053709,0.237552,0.506837,-0.013577,-0.128297,-0.264371,-0.982757,-0.791146,0.062253,-0.222051,-0.602293,0.306086,-1.09456,0.789222,-0.397514,-0.151932,0.250641
1,-0.261331,-0.423158,-0.9869,0.440547,-0.206691,1.92858,-0.07306,1.38389,-0.084384,-0.193151,-0.584201,-0.904241,-0.24752,-0.334498,-0.76256,0.150246,0.022755,-0.521803,0.070197,-0.307096,0.445676,0.159941,-0.542422,-0.534178,-0.037688,-0.590074,-0.577604,-0.955245,-0.598853,0.23464,-0.542944,-0.657949,-0.248509,-1.02369,0.642716,-0.677404,-0.560113,-0.600293,-0.408144,1.11915,-0.519744,0.84937,-0.437657,-0.382556,0.500892,-0.675489,0.089417,-0.4709,-0.628738,-0.253921,-0.715792,-0.554207,-0.272551,0.361164,-1.19795,0.304795,-0.35427,0.339004,-0.651577,-0.432142,-0.163119,1.05595,1.59294,-0.283962,-0.718502,-0.550643,-0.07793,-0.044964,-0.321429,0.49631,-0.174481,0.040206,-0.524144,-0.803724,-0.338268,0.354065,-0.279364,-0.704082,-0.165485,0.159106,-0.547112,-0.022093,0.713695,0.233943,-0.345273,-0.545367,-0.339908,-0.763879,-0.639893,1.09988,-0.70627,-0.848588,-0.055506,1.6742,1.90456,-0.548713,-0.304732,-0.764888,0.154961,1.97658,0.452702,0.574997,-0.200755,-0.402304,0.391863,-0.828438,-0.599643,0.157001,0.332694,-0.454484,0.18139,-0.130865,-0.132069,0.384151,0.120645,-0.569243,0.027427,-0.901636,-1.27425,-0.73066,0.272461,0.773524,-0.261406,-0.199468,0.222504,0.001167,0.996646,-0.303408,-0.316653,1.26688,-0.14576,0.648195,-0.020824,-0.455018,-0.389169,0.397908,-0.581311,0.398788,-0.014395,-0.380419,0.118425,-0.697317,1.29577,-0.461351,0.288556,-0.318331,2.0269,-0.509378,0.9329,-0.694513,-0.383307,-0.155799,0.776581,-0.302315,-0.319353,0.664141,-1.32777,-0.212796,-0.794913,0.429663,-0.57049,-1.01676,0.824471,-0.483188,-0.834918,0.27455,-0.087853,1.11965,-0.443663,0.307082,1.86872,0.371327,1.94165,2.08674,-0.39092,-0.839258,-0.501853,0.019508,-0.335065,0.495728,-0.865015,0.783397,-0.953873,0.894093,0.579478,0.487049,0.735157,0.306096,-0.415324,0.000001,-0.501198,-0.301676,-0.139729,-0.608965,0.665654,-1.15779,-1.11426,-0.821675,-0.124668,-0.505166
1,0.523796,-1.07833,-0.441669,0.657472,-0.360325,1.35509,-0.368266,-0.06126,0.427001,-0.68408,-0.586408,-0.784698,-1.2218,0.184719,-0.922927,-0.231168,-0.275387,-0.514842,0.633071,-0.911094,0.503363,-2.45075,-0.490341,-0.563624,0.903931,-0.36474,-0.664502,-1.04071,-0.85931,0.530129,-0.640702,0.409685,0.500426,-0.446094,1.08006,-0.27135,0.030984,1.12953,-0.322111,-0.387048,-0.563562,0.726167,-0.47061,-0.417462,1.94489,-0.646943,1.1102,-0.4335,-0.406691,-0.476176,0.04113,-0.280432,-0.684868,-0.545849,0.084071,-0.148718,-0.452848,-1.08704,-0.397245,-0.448447,-0.243281,-0.420616,2.38988,-0.030426,0.028028,-0.493004,0.335224,0.711857,1.46002,-0.072946,-1.2769,0.243528,-0.192143,0.895794,-3.09739,0.058944,1.24468,-0.104776,0.621654,0.672451,-0.614343,-0.477567,1.06395,0.756778,-0.910296,-0.601558,-0.06998,-0.853087,1.55241,1.8159,-0.424042,0.625722,1.18704,0.502545,1.08025,-0.205669,-1.54128,-0.115038,0.543104,-0.708179,1.24546,2.28645,-0.809771,0.776027,1.04644,-0.688359,-1.1012,-0.720797,1.3817,-1.24277,-0.835434,-1.47807,0.406087,0.661688,-0.734989,-0.737754,0.162654,1.85518,-0.624853,-3.24806,0.809873,1.35847,0.430419,0.214722,0.76367,-0.475549,-0.468477,2.58426,0.082541,-0.173667,0.023765,1.2902,-0.461806,-1.09944,-0.688596,0.8345,0.420672,0.839545,-0.131006,-0.478238,-0.215373,0.122153,0.834694,-0.42548,-0.945884,-0.574976,1.5362,-0.03371,0.413621,-1.33459,-0.648075,-1.17709,2.21734,0.374049,-0.256286,-0.253323,-0.848091,1.95311,-0.455288,1.40246,-0.212767,-1.00981,0.892803,-1.66339,-1.73494,-0.229015,-1.70331,0.147174,-0.501616,-0.658255,0.887044,0.387357,1.04626,1.06299,-0.558965,0.499784,-0.461255,0.910411,-0.284208,-0.298386,-1.07569,0.50731,-0.938626,0.712789,0.397265,0.386513,0.5796,1.87071,-1.1225,-0.37486,-0.650297,0.121873,1.02493,-0.509134,-0.744193,-0.920887,0.206647,-0.154996,2.01615,-0.630062
1,-0.655545,0.117503,-0.329927,2.0613,1.65138,-0.585031,-0.143726,-0.000159,-0.74091,1.71586,-0.515508,0.14657,0.089708,3.79036,-1.01329,2.54297,-0.171251,-0.731869,-0.240493,-1.49922,0.223085,-0.933878,0.960384,-0.552197,1.69886,-0.270796,-0.578807,-0.876502,-0.092147,0.436035,-0.844228,0.860225,-0.686479,-0.320043,0.506947,-0.892837,-0.547024,0.292861,-0.361603,0.157371,-0.788102,0.307497,-0.482132,-0.724626,-0.203135,-1.11035,-0.18642,-0.601477,-0.328597,0.057251,-0.005979,-0.582336,-0.895416,-0.632995,1.01872,0.752709,-0.903485,0.612662,-0.405459,-0.767937,-0.509949,1.74458,1.0208,0.009323,0.052511,-0.531316,-1.11305,-0.537843,0.104938,-0.881346,-1.2741,-1.21037,0.175726,-0.820882,-1.07165,2.31367,0.235613,2.34545,2.15338,0.544727,-0.882109,1.20933,-0.306716,-1.0088,2.90868,-1.01919,0.414498,0.45333,2.05148,-0.45467,-0.613402,0.168716,0.249824,-0.834371,2.07195,-0.554669,0.803011,-1.22212,1.53545,-0.885639,-2.33137,-0.408987,1.25153,-0.199476,2.65415,-1.23604,-0.907175,1.76837,-0.172945,-0.631292,-1.24958,-0.596985,-1.07048,0.502206,-0.836267,1.92582,-0.718671,0.733697,0.632934,-1.21721,-0.173306,0.093724,-0.587163,-0.839517,1.37169,2.30009,-0.515481,0.850364,-1.15094,-0.683127,-1.51679,-0.193913,-1.50744,0.669325,-0.363211,-0.355695,-1.25337,0.176066,-0.585328,-0.646035,2.77701,-0.952353,1.9307,-0.505942,1.23378,-0.267174,-1.06202,3.06478,-0.612195,1.61788,-1.48604,1.00983,-0.551829,0.031342,-0.445821,3.22164,-0.116127,-0.164982,1.10944,2.77113,1.80148,-0.292032,0.392983,0.464489,0.017394,0.171204,1.05103,-0.883807,-0.757159,0.351447,0.350943,0.877456,1.64616,-0.156781,-0.473237,-1.31274,-0.631812,-0.918858,-1.13575,2.68238,-0.299868,-0.803775,1.29658,-1.13749,-0.449108,3.14348,-0.968856,-0.682996,1.50273,0.451123,-0.375512,-0.795143,-0.255941,-0.160385,2.57624,0.520578,2.08245,0.010343,-0.548357,-0.836734
1,-0.146853,-0.682096,-0.934018,0.987127,1.55228,0.465251,-0.431831,-0.608021,-0.708906,0.107546,-0.459045,-0.291167,-0.906874,2.32742,-0.505337,0.70502,-0.062976,-0.591766,-0.525513,-0.114091,-0.335993,0.118936,-0.245852,-0.458701,-0.956274,-0.321957,-0.484019,-0.730224,-1.38832,0.562529,-0.804795,0.363414,-0.219165,-0.620419,-0.496381,-0.516725,-0.874585,-1.2572,-0.538567,-0.953828,-0.397978,0.779772,-0.479704,-0.544749,-0.937352,-0.375318,0.035406,-0.167609,-0.497318,-0.081227,-0.778401,-0.821117,-0.160806,-0.8321,0.372122,-0.123421,-0.271975,0.536188,-0.382855,-0.236723,-0.337565,0.902733,-0.73484,-0.079502,-0.114494,-0.485352,-0.608369,-0.227529,-0.717249,0.806283,-1.15152,-0.147274,-0.26208,-1.13967,0.182224,0.281332,0.55054,-0.097911,-0.342527,-0.902844,-1.39689,0.019724,-0.866466,0.374761,-0.370782,-0.774157,0.315866,-0.338532,0.282944,0.376796,-0.593752,2.03575,-0.697631,-0.896159,-0.617027,-0.416296,0.210244,-1.07079,-0.219035,-0.880344,-0.74084,-0.480976,1.83067,-0.391669,1.55967,-0.940772,-1.37263,1.52707,-0.095788,-0.335939,-0.431444,-0.338914,-0.104148,-0.885289,-0.659621,-0.456117,-0.515941,-0.597332,-0.570599,1.04792,0.255744,-0.997923,-0.128967,-0.732005,-0.115316,0.635476,2.40737,-0.526256,-0.654389,0.242223,-0.698552,-0.815017,0.188313,-0.687476,-0.386549,-0.676054,-0.06971,-0.659444,-0.16074,-0.398055,-0.509846,0.493221,-0.670059,-0.361058,0.369095,-0.012047,-1.05728,0.89052,0.585846,1.23115,-0.460394,-0.36013,-0.618306,-0.011668,-0.365513,0.25642,0.69137,1.04088,-0.366406,0.899371,0.12583,-0.481535,-0.541968,0.823395,0.788749,1.26551,0.237904,-0.99297,-0.315198,0.743025,0.290833,-0.856847,0.538592,-0.527815,0.380887,-0.41124,-0.433134,0.013861,-0.344303,1.27795,1.91042,-0.657674,0.426686,-0.817558,-0.681293,0.425789,-1.14345,-0.536256,0.962779,-0.852511,-0.694954,-0.239055,-0.903707,-0.844339,-0.070134,-0.821737,0.623688,0.661051,-0.044088,-0.842969
