class,Attr3320,Attr2363,Attr1674,Attr804,Attr6281
1,-0.220595,-0.944004,-0.831279,0.541643,0.749782
1,-0.408508,-0.086804,1.04445,-0.079822,-0.099772
1,-0.015344,-0.971744,-0.796445,1.49521,0.322379
1,-0.423074,-0.449502,-0.56639,-0.012533,0.379488
1,-0.546663,0.426057,-0.265192,-0.395435,0.849345
1,-0.527014,-0.896146,-0.767445,0.476815,0.020094
1,-0.261331,-0.423158,-0.9869,0.440547,-0.206691
1,0.523796,-1.07833,-0.441669,0.657472,-0.360325
1,-0.655545,0.117503,-0.329927,2.0613,1.65138
1,-0.146853,-0.682096,-0.934018,0.987127,1.55228
1,-0.868556,-0.092948,-0.776495,0.782958,2.02074
1,-0.532135,-0.084548,0.887808,-0.727189,0.249493
1,-0.820459,-0.608957,-0.731158,2.20634,0.898514
1,-0.588769,-0.91655,0.428941,-0.459888,-0.674661
1,-1.09896,-0.235191,-0.372833,0.363221,1.72033
1,-0.602,-0.601505,-1.14633,0.072262,1.10359
1,0.36678,2.62833,0.194485,-0.02461,-0.693301
1,-0.438071,-0.684936,-0.07089,-0.304393,0.748316
1,0.12718,-0.483335,-0.994,-0.086024,0.554059
1,-1.01444,-0.901994,0.278615,3.47173,2.8961
1,-1.09464,-0.705302,-1.30868,-0.724897,1.36519
1,-0.473055,-0.840186,-0.719519,1.02681,-0.702947
1,-0.6119,-0.979461,-1.14548,0.471007,0.280002
1,-0.557627,-0.058331,-0.760499,1.17895,0.371777
1,-0.140593,-0.566933,0.461165,-0.305916,0.441323
1,-0.596864,-0.843261,-0.959499,-0.380005,1.11577
1,0.132343,-1.00687,-1.06942,0.290142,-0.564275
-1,0.34363,-0.0438,1.00248,-0.411054,-0.609118
-1,1.65205,1.65618,0.094781,-1.26286,-0.407852
-1,2.8127,1.31423,1.13347,-0.632391,-1.49876
-1,2.06646,0.428323,0.279085,-1.12243,-0.751904
-1,1.42912,-0.065804,1.38522,-0.075807,-0.450042
-1,-0.082864,1.93395,1.66652,-0.461026,-1.70488
-1,1.37983,1.51913,0.310104,-1.20858,-1.00851
-1,1.13572,-0.275413,-0.468096,-1.12521,-1.08897
-1,2.71834,1.12302,1.90358,-1.08993,-1.62221
-1,1.32334,0.161956,1.5892,-0.713176,-1.22122
-1,1.15398,-0.735074,1.50397,-0.831293,-1.2889
1,-0.20545,-0.788236,-0.751694,0.572294,0.496574
1,-0.224616,0.39196,-1.17837,-0.628834,-0.265763
1,-1.03587,-0.288277,-0.983958,0.301434,1.14145
1,-1.54256,-0.788659,-0.044556,0.388849,-0.082984
1,-0.76261,-0.57895,-0.364919,-0.351402,0.00289
1,-1.30226,-0.828957,-0.765133,1.26318,1.68599
1,-0.937053,-0.780168,-0.07092,-0.090504,0.661919
1,-0.805493,-0.632818,-0.059936,-0.22091,0.621353
1,-0.164445,-0.147621,-0.71438,-0.247778,0.588492
1,-0.839137,-0.707537,-0.078582,2.18688,1.73951
1,0.112773,-0.86699,-1.24927,-0.070358,-0.075401
-1,1.38008,1.63765,1.65306,-1.11901,-1.41331
-1,1.26351,0.506342,0.74074,-1.23827,-1.11138
-1,-0.928236,0.69698,1.98462,-1.18639,-0.430521
-1,2.48096,-0.318334,1.54039,0.475891,-1.31816
-1,-0.364046,1.12789,-1.53203,-1.20052,0.555396
1,-0.454576,-0.643078,-0.70168,-0.118986,0.548627
1,-0.345304,-0.831136,-0.853285,0.173339,-0.535277
-1,-0.584872,1.14131,0.572236,-1.26354,-1.01383
-1,1.18361,0.309577,1.18143,-0.675648,-0.509781
1,-0.830983,-0.299357,-0.772085,-0.205684,1.10476
-1,-0.674715,1.74884,-0.559897,-1.06128,-0.682969
-1,-0.322829,1.19752,1.15188,-0.11883,-0.602208
-1,-0.455592,-0.159569,2.55484,-0.757855,-1.22768
-1,1.28085,-0.053549,1.61836,-0.854383,-1.68125
-1,1.91972,3.68477,-0.842424,-1.21453,-1.40832
-1,1.42068,1.617,2.07481,-0.715276,-0.579499
-1,-0.562615,0.170356,-0.416589,-1.06257,-0.300681
1,-0.369677,-0.470747,0.739003,2.40122,-0.740699
1,-0.473066,2.10404,-0.38437,0.903603,0.294512
1,0.081127,0.053721,0.162347,1.308,0.216737
1,-0.655105,-0.742953,-0.648265,-0.540711,0.203122
1,-0.397873,-0.762319,-0.3807,-0.374471,-0.608285
1,-0.323774,-0.745192,-0.342396,1.25399,0.391059
