class,Attr6855,Attr6041,Attr2354,Attr2121,Attr1779,Attr4847,Attr1834,Attr1882,Attr3252,Attr3847
1,0,0,1,-1,-1,-1,0,-1,-1,0
1,0,-1,0,0,-1,-1,-1,0,-1,-1
1,-1,-1,1,0,-1,-1,0,-1,-1,1
1,1,0,1,-1,-1,0,0,-1,-1,0
1,0,0,0,-1,0,0,0,-1,-1,-1
1,0,-1,0,0,-1,-1,-1,0,-1,0
1,0,-1,0,0,-1,-1,-1,-1,-1,1
1,1,-1,0,0,-1,-1,0,-1,-1,0
1,0,-1,1,0,-1,-1,-1,-1,-1,-1
1,-1,-1,0,0,0,-1,-1,0,-1,0
1,-1,-1,1,-1,-1,-1,-1,-1,-1,0
1,-1,-1,0,0,0,0,0,-1,-1,-1
1,1,0,1,-1,-1,0,-1,-1,-1,-1
1,0,-1,0,0,-1,-1,-1,0,1,-1
1,1,-1,1,0,0,0,-1,-1,-1,-1
1,1,-1,0,0,0,0,-1,-1,-1,-1
1,0,1,0,0,0,0,-1,-1,1,-1
1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
1,0,-1,0,-1,0,0,-1,-1,-1,0
1,1,-1,1,0,-1,-1,-1,-1,-1,-1
1,1,-1,-1,-1,-1,-1,0,-1,-1,0
1,-1,-1,0,-1,-1,-1,0,-1,-1,0
1,0,-1,0,-1,-1,-1,-1,0,-1,0
1,1,-1,0,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,0,0,-1,-1,0
1,1,0,1,-1,0,-1,-1,-1,-1,-1
1,0,-1,0,0,-1,-1,-1,-1,0,-1
-1,-1,0,-1,0,0,0,0,0,-1,1
-1,-1,1,-1,0,0,1,0,1,1,1
-1,-1,1,-1,1,0,1,1,1,1,1
-1,-1,0,-1,1,1,0,1,1,1,1
-1,-1,1,-1,1,-1,1,1,1,-1,1
-1,-1,1,-1,0,1,1,0,0,1,1
-1,-1,0,-1,1,1,1,1,0,1,1
-1,-1,0,-1,0,1,0,1,0,1,0
-1,-1,1,-1,1,0,1,1,1,1,0
-1,-1,1,-1,1,0,1,0,1,0,1
-1,-1,0,-1,0,0,0,0,0,0,1
1,1,-1,0,-1,0,-1,0,-1,-1,-1
1,0,-1,-1,-1,-1,-1,0,-1,-1,-1
1,1,0,1,-1,-1,-1,-1,-1,-1,0
1,1,0,1,-1,0,-1,-1,-1,-1,0
1,1,-1,0,-1,0,-1,-1,-1,0,0
1,1,-1,1,-1,-1,-1,0,0,-1,-1
1,0,0,1,-1,-1,-1,0,-1,-1,-1
1,0,-1,1,0,-1,-1,-1,-1,-1,-1
1,0,0,-1,-1,0,-1,0,-1,-1,0
1,1,0,1,-1,-1,0,-1,-1,-1,0
1,1,-1,0,0,0,-1,0,0,-1,-1
-1,-1,1,-1,1,1,1,1,1,1,1
-1,-1,0,-1,0,1,1,1,0,1,1
-1,-1,1,-1,1,0,0,1,1,0,0
-1,-1,1,-1,1,1,1,1,1,1,0
-1,-1,1,-1,1,1,1,0,1,0,0
1,0,0,0,-1,0,0,0,0,-1,-1
1,0,-1,0,0,0,-1,0,0,0,-1
-1,-1,1,-1,1,1,1,1,0,1,0
-1,-1,0,-1,0,1,1,1,1,1,0
1,0,-1,1,0,0,-1,0,-1,-1,-1
-1,-1,1,-1,0,1,0,0,0,1,0
-1,-1,0,-1,0,1,1,0,-1,1,0
-1,-1,1,-1,1,0,1,1,1,1,1
-1,-1,1,-1,1,0,1,1,1,1,0
-1,-1,0,-1,1,0,1,1,0,1,1
-1,-1,0,-1,0,1,1,0,1,1,0
-1,-1,0,-1,0,0,0,0,0,0,0
1,0,0,0,0,-1,1,0,0,-1,-1
1,1,0,1,-1,-1,0,-1,-1,-1,0
1,1,0,1,0,0,-1,-1,-1,-1,0
1,0,-1,0,-1,0,-1,0,0,-1,-1
1,0,-1,-1,-1,-1,0,-1,-1,-1,-1
1,0,-1,0,-1,0,-1,0,0,-1,-1
