class,Attr6855,Attr6041,Attr2354,Attr2121,Attr1779
1,0,0,1,-1,-1
1,0,-1,0,0,-1
1,-1,-1,1,0,-1
1,1,0,1,-1,-1
1,0,0,0,-1,0
1,0,-1,0,0,-1
1,0,-1,0,0,-1
1,1,-1,0,0,-1
1,0,-1,1,0,-1
1,-1,-1,0,0,0
1,-1,-1,1,-1,-1
1,-1,-1,0,0,0
1,1,0,1,-1,-1
1,0,-1,0,0,-1
1,1,-1,1,0,0
1,1,-1,0,0,0
1,0,1,0,0,0
1,0,-1,-1,-1,0
1,0,-1,0,-1,0
1,1,-1,1,0,-1
1,1,-1,-1,-1,-1
1,-1,-1,0,-1,-1
1,0,-1,0,-1,-1
1,1,-1,0,-1,-1
1,-1,-1,-1,-1,-1
1,1,0,1,-1,0
1,0,-1,0,0,-1
-1,-1,0,-1,0,0
-1,-1,1,-1,0,0
-1,-1,1,-1,1,0
-1,-1,0,-1,1,1
-1,-1,1,-1,1,-1
-1,-1,1,-1,0,1
-1,-1,0,-1,1,1
-1,-1,0,-1,0,1
-1,-1,1,-1,1,0
-1,-1,1,-1,1,0
-1,-1,0,-1,0,0
1,1,-1,0,-1,0
1,0,-1,-1,-1,-1
1,1,0,1,-1,-1
1,1,0,1,-1,0
1,1,-1,0,-1,0
1,1,-1,1,-1,-1
1,0,0,1,-1,-1
1,0,-1,1,0,-1
1,0,0,-1,-1,0
1,1,0,1,-1,-1
1,1,-1,0,0,0
-1,-1,1,-1,1,1
-1,-1,0,-1,0,1
-1,-1,1,-1,1,0
-1,-1,1,-1,1,1
-1,-1,1,-1,1,1
1,0,0,0,-1,0
1,0,-1,0,0,0
-1,-1,1,-1,1,1
-1,-1,0,-1,0,1
1,0,-1,1,0,0
-1,-1,1,-1,0,1
-1,-1,0,-1,0,1
-1,-1,1,-1,1,0
-1,-1,1,-1,1,0
-1,-1,0,-1,1,0
-1,-1,0,-1,0,1
-1,-1,0,-1,0,0
1,0,0,0,0,-1
1,1,0,1,-1,-1
1,1,0,1,0,0
1,0,-1,0,-1,0
1,0,-1,-1,-1,-1
1,0,-1,0,-1,0
