class,Attr6855,Attr6041,Attr2354,Attr2121,Attr1779,Attr4847,Attr1834,Attr1882,Attr3252,Attr3847,Attr1144,Attr2642,Attr1745,Attr5593,Attr2441,Attr4328,Attr1829,Attr758,Attr4377,Attr804,Attr5039,Attr1685,Attr2288,Attr2020,Attr1928,Attr6539,Attr4438,Attr4973,Attr4951,Attr2402,Attr6162,Attr4366,Attr321,Attr2363,Attr4535,Attr6806,Attr1909,Attr4229,Attr6225,Attr4291,Attr6283,Attr3320,Attr4196,Attr2739,Attr4894,Attr4680,Attr6167,Attr1239,Attr2111,Attr4211
1,0,0,1,-1,-1,-1,0,-1,-1,0,0,1,-1,1,0,0,-1,0,0,1,0,0,-1,-1,1,-1,1,1,-1,0,0,-1,-1,-1,1,-1,1,-1,1,1,1,0,-1,0,0,1,0,0,-1,1
1,0,-1,0,0,-1,-1,-1,0,-1,-1,1,-1,0,-1,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,0,1,-1,-1,0,0,0,0,0,-1,0,-1,1,0,0,0,-1,0,-1,0,1,1,0
1,-1,-1,1,0,-1,-1,0,-1,-1,1,1,-1,-1,0,1,1,-1,-1,-1,1,0,0,-1,0,1,-1,0,-1,0,0,0,0,-1,-1,1,0,0,-1,-1,1,1,0,-1,1,0,-1,0,1,-1,0
1,1,0,1,-1,-1,0,0,-1,-1,0,0,1,0,-1,1,0,0,1,-1,0,0,0,-1,0,1,-1,0,1,-1,0,-1,-1,-1,0,0,-1,1,0,1,0,1,0,-1,1,0,0,1,0,-1,0
1,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,0,1,1,0,0,1,0,0,0,0,-1,1,-1,0,1,-1,0,-1,0,-1,0,1,0,1,0,1,1,0,-1,1,-1,0,1,0,1,0,0
1,0,-1,0,0,-1,-1,-1,0,-1,0,1,-1,-1,1,1,0,-1,-1,-1,0,0,0,0,-1,1,-1,0,0,0,0,0,0,-1,-1,1,0,0,-1,-1,0,1,-1,-1,-1,0,-1,0,0,-1,0
1,0,-1,0,0,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,1,0,0,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,0,-1,-1,0,1,-1,0,-1,1,-1,1,0,-1,1,0,-1,-1,0,-1,0
1,1,-1,0,0,-1,-1,0,-1,-1,0,0,0,-1,0,1,0,-1,0,-1,1,0,0,-1,1,1,0,0,1,0,0,0,-1,0,-1,0,0,0,-1,0,0,1,1,-1,0,0,1,0,-1,0,1
1,0,-1,1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,1,0,-1,-1,1,-1,0,-1,-1,1,-1,-1,0,1,0,-1,0,-1,0,1,0,1,-1,-1,1,0,-1,-1,0,-1,-1,1,1,0,1
1,-1,-1,0,0,0,-1,-1,0,-1,0,1,-1,-1,0,0,1,-1,-1,-1,1,-1,-1,0,0,1,-1,0,-1,0,-1,-1,0,-1,-1,0,0,0,-1,-1,1,0,0,-1,-1,-1,-1,0,1,-1,1
1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,1,0,0,-1,-1,-1,0,0,-1,0,-1,-1,1,0,-1,-1,-1,-1,-1,1,0,0,1
