normal,gene14,gene852,gene1917,gene377,gene1494,gene1668,gene493,gene1892,gene1047,gene841
F,-1.53192,-0.014707,0.53002,0.396329,-0.652913,0.939657,1.03187,-0.378657,1.69032,0.117787
T,0.404811,0.215354,1.13252,1.68741,1.58848,0.675957,1.58552,1.1736,0.508408,-0.304669
F,-1.70035,1.10884,0.967687,0.697607,-0.247368,1.9964,0.695736,-0.736563,0.176377,-0.317325
T,-0.55931,1.22596,1.56388,0.868489,-0.174523,1.29154,1.17647,-0.400963,0.072867,-1.38112
F,0.486905,0.282601,-0.422701,-1.19735,-0.066241,1.18501,-0.63584,0.096454,-0.679594,0.101216
T,1.93079,0.028891,-0.349665,0.685269,0.93623,1.20607,1.01743,1.382,-2.27987,-0.405644
F,-0.976049,0.005807,0.479983,-0.204359,-1.54675,0.747802,-0.794348,-0.619891,-0.161914,-0.692239
T,1.15644,-0.841535,1.39596,1.20423,-0.01739,0.846169,1.05802,-1.31616,-1.42771,-1.76412
F,-0.588374,0.96537,-1.13047,-1.08521,-1.23846,0.661823,-0.953479,-1.21942,1.5115,-2.15251
T,1.38068,-0.159962,0.00593,0.73714,1.30253,0.989219,1.10446,1.46816,-1.13042,0.944801
F,-1.3067,-1.10221,-1.18073,0.043436,-0.248891,-0.479575,-0.698936,0.370383,-0.918946,1.44681
T,1.02923,1.12213,1.16443,0.424935,1.02885,0.388392,1.64426,1.45326,-0.246093,-1.04612
F,0.684712,0.007626,0.039428,0.265867,0.032127,0.763646,0.101192,0.105264,-0.954375,-0.840731
T,1.01476,0.661881,0.049608,1.04822,0.734016,0.758376,2.02629,0.807683,-0.896482,-1.4068
F,-0.178935,0.634691,0.043344,-0.720749,-1.02121,1.24154,0.316226,-0.235008,-0.219566,-0.58465
T,-0.101042,1.02318,-0.129948,0.435586,-0.311702,1.26729,0.750946,-1.13995,0.398588,-1.58673
F,-0.633022,0.382988,0.383361,0.608344,-0.460694,0.763825,0.189036,-0.065456,-1.27301,-0.239024
T,1.02874,1.12144,-0.167978,2.79307,0.205022,0.868894,1.62459,-0.629941,-2.49923,-1.60027
F,0.255625,0.739086,-0.74247,-0.86651,-1.63042,1.35067,0.03872,-2.01713,0.702935,-2.11258
T,2.08865,0.01576,-0.411039,1.24517,1.17427,1.39303,1.48417,0.479083,-2.22404,0.401988
F,-1.84593,0.838199,-0.280699,0.206886,-1.85769,0.840551,0.37907,-1.10078,1.02599,0.497809
T,-0.660579,0.823155,0.453765,0.480019,1.40626,0.64626,1.46716,1.09047,-0.334073,0.697164
F,0.217414,0.008369,-0.328554,-1.06196,-0.827788,0.820874,-0.943869,0.380518,-0.793193,0.811029
T,1.83464,0.520577,0.727258,2.32254,0.239373,1.08781,1.40241,0.289259,-1.12493,0.770656
F,0.262912,0.631653,0.066443,-0.922103,-1.27776,-2.16642,-0.412118,-0.510021,-0.226297,-0.83707
F,-1.41239,0.641654,-0.293392,-0.668042,-1.12987,-1.0723,-1.24689,-0.444243,0.822421,0.732139
F,-1.1616,0.91768,-1.02184,-0.708878,0.414182,-0.843035,-0.82305,0.115098,0.617032,0.62531
F,-0.399909,0.809825,0.001639,-0.951402,-1.06223,-0.641152,-0.884028,-0.563711,1.09067,-0.074831
F,-1.74159,0.814777,0.215288,-0.788323,-0.064423,-0.699175,-1.04328,-0.067261,0.907641,0.880796
F,-1.20655,0.1197,-0.790649,-0.407664,-0.367771,-1.25972,-1.18657,-0.256759,0.441343,-0.214051
F,-0.527436,1.5565,0.088124,-1.05026,0.259273,-1.18398,-1.05708,-0.361446,1.03022,0.300626
F,-0.140789,-0.525096,-1.15092,-0.692001,1.02955,-1.19508,-0.549997,0.222273,-0.792663,0.592372
F,0.468599,-0.557466,-1.7402,-0.612216,-0.838719,-1.72757,-0.728455,-0.081453,-0.97515,0.795654
F,0.105281,0.848516,-0.602249,-0.967186,-0.468248,-0.89656,-0.913241,-0.165452,0.804045,-0.02109
F,-0.750862,0.915788,-0.726568,-0.686497,-0.302558,-0.861735,-0.338867,-0.049133,1.68122,-0.226896
F,0.063377,-0.065635,-1.65631,-1.65309,-0.924916,-2.17612,-1.83724,-0.955153,-0.1456,0.283383
F,-2.31952,0.47322,0.463572,-0.659746,-0.501954,-0.08632,-0.570915,-1.26058,1.13194,-0.958012
F,0.071696,0.064564,-0.697529,-1.6452,-1.13372,-1.10451,-1.21756,-0.864422,1.03072,0.555335
T,0.760898,-0.304408,0.783044,1.39393,1.32769,0.119033,0.547207,2.27016,0.170659,0.110798
F,-0.142293,-1.9132,-0.105441,-0.347112,0.440002,-0.205175,-0.738518,-1.49576,1.05879,1.2479
F,-0.232203,0.406258,0.879838,-0.970712,-0.176926,-1.08897,-0.977785,-0.502851,0.923272,-0.280262
T,1.31337,-2.64371,0.285083,1.48753,0.649451,-0.479421,0.366829,1.27914,-1.42853,-1.16641
T,1.04868,-0.034344,1.47743,0.923745,1.86291,-0.928249,1.62195,0.917024,-0.96937,1.33173
F,0.08924,-0.695596,-1.77506,-0.600602,-0.082354,-0.80954,-1.03132,-0.399639,0.126167,0.722418
F,0.026216,-0.093045,0.301769,-0.09786,1.10551,-1.02748,0.43863,0.357574,-0.764693,0.718137
F,0.660668,-1.00728,-0.935249,-0.61041,-0.648994,-1.58645,-0.636079,-1.04314,-0.411855,1.26555
F,-0.261051,0.101267,-1.03706,-1.84239,-1.16982,-0.770963,-1.81962,-1.50261,0.930289,0.395047
T,0.731312,0.740804,1.20801,1.19715,1.67218,-0.070238,-0.045496,0.984154,-1.04887,0.955901
F,0.061964,-1.19646,0.768901,0.70518,1.39229,-0.821521,1.02057,0.464721,-0.380491,1.13619
T,1.06366,0.112246,1.58199,-0.193367,1.51957,0.53706,1.77076,1.91059,-0.298695,-1.51729
T,-0.015205,0.524965,-3.12738,-0.137593,-0.998734,0.991817,0.0915,-0.340433,0.475153,1.40817
F,0.954973,-1.10769,-0.997469,-0.761555,-1.66023,-0.250222,-0.605867,-0.495257,0.713768,0.80956
F,0.156209,0.068183,0.295722,-0.552491,-1.1708,-0.639758,-0.502564,0.468867,1.04707,0.49203
T,1.39249,0.456476,1.90586,0.114126,0.730165,-0.113417,0.448844,1.11417,-0.441505,1.10359
T,-0.769534,-3.12858,0.396271,-0.164317,-0.199011,0.294336,-0.937252,-0.323548,0.62522,0.459022
F,1.12447,-1.32643,0.662972,0.749598,1.42427,-1.15426,0.314639,1.70824,-0.437891,0.147986
F,-0.324529,1.22132,-0.141406,-0.75391,0.850578,0.600808,-0.213315,0.595536,1.30668,-2.78492
F,-1.39987,-0.251134,1.06678,0.001145,-0.949481,-0.897876,-0.567127,-0.005179,1.61455,-0.801316
F,-0.229063,-1.67909,0.500274,-0.507101,-0.232768,0.839326,-0.556259,-2.46453,-0.09364,0.133534
