normal,gene14,gene852,gene1917,gene377,gene1494,gene1668,gene493,gene1892,gene1047,gene841,gene1671,gene625,gene1416,gene765,gene1400,gene1758,gene822,gene1048,gene67,gene1372,gene1772,gene581,gene892,gene1388,gene1293,gene1534,gene513,gene1423,gene1597,gene419,gene1042,gene249,gene1873,gene1381,gene1153,gene1115,gene1771,gene1884,gene1672,gene657,gene1838,gene1570,gene515,gene66,gene1674,gene1924,gene1451,gene317,gene267,gene639,gene1635,gene391,gene837,gene1334,gene1887,gene99,gene1473,gene834,gene1346,gene622,gene1472,gene245,gene1401,gene1990,gene758,gene75,gene415,gene1168,gene187,gene1599,gene1058,gene1634,gene772,gene980,gene1946,gene1060,gene1920,gene359,gene1679,gene561,gene529,gene1730,gene941,gene1967,gene119,gene1231,gene111,gene1331,gene1256,gene648,gene1968,gene1867,gene1511,gene698,gene824,gene1972,gene1546,gene1184,gene679,gene882
F,-1.53192,-0.014707,0.53002,0.396329,-0.652913,0.939657,1.03187,-0.378657,1.69032,0.117787,-0.525082,0.332443,-1.53753,0.349957,-0.942793,0.039088,0.095114,-1.97717,0.116946,1.32168,0.234473,0.149302,-1.37324,-0.560586,0.700039,1.32067,0.338184,0.353318,-0.208554,-0.961885,-0.207158,-0.084774,-0.369497,1.13987,1.07461,0.432495,-0.694222,-0.979565,0.87534,-0.805889,1.1644,-0.699901,-0.647495,0.01698,-0.061928,0.620955,-0.24381,-1.53419,0.000689,0.286705,-0.782026,0.738424,-0.366743,-0.247243,0.105094,-1.70486,1.81534,-0.321928,-0.345308,0.617176,0.673796,0.053861,-0.07693,1.09066,0.551379,1.46226,0.409291,0.478998,-0.244483,-0.28362,-1.09246,0.591347,-0.565748,0.864946,0.360917,-0.262327,0.051585,-1.18033,0.559915,-3.04872,0.823814,-0.153933,-1.42909,0.040511,0.330373,-0.616197,0.195088,0.074428,0.808888,1.57702,0.492108,0.700442,-0.157059,-0.789765,0.261337,0.856032,-0.243657,-0.477816,0.991121,-0.397061
T,0.404811,0.215354,1.13252,1.68741,1.58848,0.675957,1.58552,1.1736,0.508408,-0.304669,-1.83078,-0.044018,-0.204508,1.55094,-1.43354,0.710564,1.75134,-0.489413,0.684171,-0.595039,-1.29141,-0.320751,1.32801,-1.15949,0.204408,-0.472861,-0.864754,1.54289,-0.745925,0.132091,-0.927375,1.0784,1.71962,0.553479,0.046023,-0.048505,-1.01578,0.661753,1.07735,-1.48493,-0.152596,-0.02377,-0.888237,0.639241,1.14939,-0.445452,0.843614,-1.65256,1.24354,0.37356,1.07346,-0.263439,-0.431188,-0.675268,-0.858913,0.763439,0.497104,-0.189188,-1.12936,-0.566642,-0.71802,1.22309,-0.051972,0.470967,0.85499,0.273909,1.50406,-0.118437,-1.27933,-0.271342,-0.128283,0.279767,-0.775275,0.490374,0.199938,-1.40416,-1.71671,-0.715819,-0.354386,-1.12694,0.125908,-1.45746,0.250505,1.49856,-0.665037,-0.032051,1.53404,1.16633,-1.04654,0.468483,0.243092,-1.60278,-0.239966,-1.21896,0.405049,0.101899,-0.625212,-1.12219,0.785612,-0.449232
F,-1.70035,1.10884,0.967687,0.697607,-0.247368,1.9964,0.695736,-0.736563,0.176377,-0.317325,1.04685,-0.278723,0.509618,-0.085503,-0.586686,-0.41509,0.184835,-1.28127,-1.37279,-0.951838,-1.1298,0.653475,0.086015,-3.69987,-0.409541,1.06427,-2.52545,0.749552,-1.00352,-0.218032,-0.880517,-1.06411,-1.53914,0.915119,-0.625048,0.245188,-0.520239,-0.07141,0.099298,2.82293,1.00487,-0.905312,-0.321339,-0.913681,2.08388,0.03812,-1.92743,-0.016679,-0.594958,-0.639271,-0.558988,-1.99412,-2.39892,-1.47967,-1.98869,-1.44388,0.742474,-2.59535,-0.613006,0.228817,0.055553,-0.474886,0.39633,-0.13348,1.28699,0.367315,1.03293,-1.53472,-1.17883,-2.7507,-1.5117,-0.81348,0.059353,1.43271,-0.713891,-1.4108,-0.937671,-1.63142,-0.857677,-0.620347,1.0896,-0.741531,-2.60187,0.915069,2.06027,-0.525941,0.595206,1.35922,-1.31061,-0.378901,1.52835,-1.98103,-0.898824,-1.20098,-0.104522,0.269728,0.21006,-2.28264,-1.2838,-2.23254
T,-0.55931,1.22596,1.56388,0.868489,-0.174523,1.29154,1.17647,-0.400963,0.072867,-1.38112,-0.961789,-0.029961,-0.259375,1.03575,-1.16683,0.717587,0.940464,-2.14352,-0.818342,-0.798595,-1.35392,0.334995,-0.772504,-0.907193,0.206564,-0.012053,-1.32753,1.40453,-0.226896,-0.085119,-1.60269,0.563893,3.20929,1.0435,0.30439,-0.028642,-1.75265,-0.531569,1.76371,1.63773,-0.12811,-0.263244,-0.427738,-1.26244,1.94943,0.583746,-0.431397,0.015745,0.394814,-1.12128,-0.231136,-0.647155,-2.14932,-1.59173,-0.718938,-0.935601,0.633143,-0.528087,-0.745445,-0.332424,-0.482723,0.388727,-0.118999,1.54958,0.03982,0.645204,1.26225,-2.30458,-1.37408,-1.98976,0.854712,0.086751,-0.250012,1.02693,0.325624,-1.31656,-0.01657,-0.756585,0.643558,-0.098443,1.30849,-1.07194,-1.67613,1.14069,1.78669,-0.224959,1.06286,0.877519,-3.45447,0.417871,0.850161,-1.67146,-0.54901,-1.10069,-0.976312,0.560122,-1.04329,-0.790695,-0.605323,-2.45048
F,0.486905,0.282601,-0.422701,-1.19735,-0.066241,1.18501,-0.63584,0.096454,-0.679594,0.101216,1.09874,-0.442686,0.859295,0.465046,-0.019951,-1.50137,-0.210693,-0.543413,0.259695,-2.81002,1.29685,-0.104955,0.230257,1.05278,-0.769534,-0.005755,1.48213,-0.298782,-0.25915,0.858919,1.45765,0.168165,-1.44921,0.977141,0.413872,0.642919,1.05626,-0.045139,-1.07907,0.961706,1.25196,-0.375952,-0.410578,0.012152,-0.148625,0.26429,-0.368065,0.180453,0.135833,0.478905,-0.423752,0.074774,0.559383,0.702272,0.019797,0.360763,0.199712,-0.895889,0.805779,-0.047115,-0.882707,0.262511,0.573074,-0.945694,-1.48573,-0.475822,-0.183461,0.260467,2.71405,-0.395533,0.097545,-0.691,0.450593,1.09381,-0.676969,0.170895,-0.576958,0.556399,-1.94542,0.130823,-0.413008,0.341729,-0.487528,-0.443881,0.927566,-1.58396,0.285324,-0.796555,0.687996,-0.251714,-1.64516,-0.663756,-0.931567,0.148086,-0.091543,-1.3266,0.352238,-0.613044,-0.531172,0.25656
T,1.93079,0.028891,-0.349665,0.685269,0.93623,1.20607,1.01743,1.382,-2.27987,-0.405644,-0.70534,-0.816522,1.37814,2.0169,0.028395,-0.956651,0.335435,-1.79702,0.446307,-1.38818,0.462199,-1.53802,1.17087,1.40426,-1.74261,0.524179,-0.759415,0.830248,0.460102,1.22298,-0.548488,1.67156,0.784057,0.993891,-2.99346,-0.462045,-0.662504,1.04794,-0.604908,1.46543,0.26056,1.39293,0.373388,1.77681,0.091651,1.65094,1.07145,0.221812,1.96086,-0.651215,0.984955,-2.10086,1.24929,-0.575351,-1.0659,-0.17391,-0.466908,-2.29152,0.521931,-0.19894,-1.02027,1.96491,0.869977,-0.065983,-0.009459,-1.66907,0.216917,-1.23609,-0.172866,-0.754836,1.44799,-2.16042,0.095824,1.29101,-1.77229,-0.871677,-1.85091,0.016835,-2.48127,1.38573,-1.5353,-1.22157,0.442473,0.411737,0.831449,2.46805,1.14872,0.260105,-0.669356,-1.77946,0.151907,-0.389016,-1.89414,-0.423649,1.52198,-1.07108,-1.01797,0.329907,-1.60984,-0.936904
F,-0.976049,0.005807,0.479983,-0.204359,-1.54675,0.747802,-0.794348,-0.619891,-0.161914,-0.692239,2.4,0.748909,-0.963078,-0.543412,-0.903596,0.261807,-1.16085,0.152155,-0.970359,0.70428,0.170894,-0.637474,-0.665131,0.058219,-0.142769,1.4066,0.534473,-0.402997,-0.58874,0.693757,-0.181919,-0.946359,-0.184692,0.563663,-0.744242,1.19394,0.024033,-1.01048,0.333194,-0.472886,1.79358,-1.20301,-0.403777,-0.339011,-0.453917,-2.17991,0.368234,-1.13726,-1.03347,0.181151,-1.01707,0.643544,-1.32618,-0.291619,-0.354126,-0.475102,0.144962,0.275384,0.065712,-0.637864,-0.349072,-0.885041,-0.22475,0.302315,0.259559,1.71127,-1.37817,-0.515561,-0.474134,-1.46495,-0.236377,0.118634,-0.083466,0.548956,0.53206,-0.723846,-0.0749,0.886778,0.770858,-0.932672,1.59923,-0.474359,-0.871666,-2.34245,-0.172924,-1.02632,-0.210795,-0.203186,-0.170817,-0.220968,0.932961,-0.623746,0.585476,-0.580243,-1.45998,0.086029,-0.316075,-0.690876,0.293963,-0.792025
T,1.15644,-0.841535,1.39596,1.20423,-0.01739,0.846169,1.05802,-1.31616,-1.42771,-1.76412,-0.623567,-1.5901,1.10892,1.88703,0.118521,-0.354568,0.906032,-2.12205,0.890372,-0.965853,-0.604493,-1.83617,-0.314277,1.401,-2.01284,0.216448,-0.897567,0.921093,0.869148,0.464584,-0.854182,1.9131,-0.226522,1.54623,-2.18458,0.267354,-2.18015,0.164915,-0.220028,0.118757,0.524759,1.74145,-0.010998,0.249952,0.883036,1.61149,1.1965,-0.067268,1.69289,-1.31814,0.216604,-0.744561,0.237833,-1.09117,-0.692403,0.141878,-0.748767,-1.79499,-0.927831,1.47902,-2.11648,1.79079,0.266773,-0.257475,0.625548,-0.791384,0.514073,-1.72518,-0.712988,-0.733269,2.26119,-1.36515,0.926905,1.42185,-1.1043,-1.26058,-2.65267,0.162224,-0.783226,1.17506,-0.67,-0.514109,-1.89424,0.554898,-0.339229,-0.42603,0.732065,1.22928,-1.74699,-1.59268,0.694321,0.390606,-1.68008,-0.098642,1.08091,-1.65941,-0.136549,0.507097,-1.14925,-1.26415
F,-0.588374,0.96537,-1.13047,-1.08521,-1.23846,0.661823,-0.953479,-1.21942,1.5115,-2.15251,0.979544,0.737611,-0.52983,0.006184,0.752718,1.24217,-0.506791,-1.59887,-1.5389,-0.261883,1.0272,1.52378,-1.03129,-0.002748,0.69997,1.64366,1.22099,-0.298926,-1.26659,-1.54262,2.41727,-0.754156,-0.893906,0.355042,0.667483,0.663459,1.96852,-1.04205,-0.005845,-0.682842,1.19745,0.459145,1.7073,-1.13522,0.184215,0.750454,-0.858483,-0.145271,-0.339901,-0.692957,-1.61988,0.64727,0.601136,0.203385,-1.29045,-2.3192,1.20634,0.265638,1.51229,-0.723593,0.220407,-0.328117,-4.90837,0.958013,-1.10659,0.570647,-0.76935,-0.94423,0.573486,-2.80895,-0.276179,1.84942,-2.96517,0.392767,0.2438,1.83516,0.516741,1.75496,0.348656,-0.979262,0.227413,-0.798628,-1.84553,-0.840167,-0.741178,0.699473,-0.466529,-0.147706,-0.003531,2.14388,-0.03801,1.05164,0.748379,1.53978,-0.358564,0.226533,0.55127,-0.535313,0.042583,-0.449611
T,1.38068,-0.159962,0.00593,0.73714,1.30253,0.989219,1.10446,1.46816,-1.13042,0.944801,-1.52505,-2.16295,0.581662,1.86499,-0.960517,-0.80766,0.881497,0.143258,1.72534,-1.01638,-0.719822,-1.0017,2.26875,0.86971,-2.03385,-0.638278,-1.36961,0.902517,0.4267,1.80047,-0.497923,1.67066,-0.117372,0.50106,-1.89596,-0.659941,-1.18195,1.66318,-0.055981,0.809126,-0.745262,1.03875,-0.401013,1.05099,-0.299918,1.23269,0.49416,-1.84241,1.715,0.214451,0.89085,-1.79619,0.57064,-0.443268,-0.199832,1.62955,-0.428891,-0.880831,-0.097736,0.8448,-2.2683,1.71781,1.23916,-0.529292,-0.006929,-1.69664,0.821226,-0.339885,-0.837581,0.52135,0.777029,-2.33238,1.3486,0.248525,-1.80219,-1.22513,-1.40665,-0.070359,-1.36596,0.773512,-1.10737,-0.996422,0.639823,0.062145,1.09513,0.322806,0.886727,-0.799777,0.48916,-1.02994,-0.92817,-0.848025,-2.10916,-0.11233,1.07903,-2.45278,-0.44262,-0.208042,-1.58793,-0.199566
