normal,gene14,gene852,gene1917,gene377,gene1494,gene1668,gene493,gene1892,gene1047,gene841,gene1671,gene625,gene1416,gene765,gene1400,gene1758,gene822,gene1048,gene67,gene1372,gene1772,gene581,gene892,gene1388,gene1293,gene1534,gene513,gene1423,gene1597,gene419,gene1042,gene249,gene1873,gene1381,gene1153,gene1115,gene1771,gene1884,gene1672,gene657,gene1838,gene1570,gene515,gene66,gene1674,gene1924,gene1451,gene317,gene267,gene639,gene1635,gene391,gene837,gene1334,gene1887,gene99,gene1473,gene834,gene1346,gene622,gene1472,gene245,gene1401,gene1990,gene758,gene75,gene415,gene1168,gene187,gene1599,gene1058,gene1634,gene772,gene980,gene1946,gene1060,gene1920,gene359,gene1679,gene561,gene529,gene1730,gene941,gene1967,gene119,gene1231,gene111,gene1331,gene1256,gene648,gene1968,gene1867,gene1511,gene698,gene824,gene1972,gene1546,gene1184,gene679,gene882,gene1186,gene411,gene100,gene1582,gene405,gene866,gene1353,gene1993,gene779,gene555,gene1567,gene1640,gene912,gene1939,gene1959,gene279,gene937,gene1111,gene1501,gene1387,gene792,gene992,gene1982,gene1651,gene732,gene571,gene1514,gene1560,gene734,gene1247,gene897,gene1328,gene49,gene1573,gene1900,gene360,gene1325,gene1808,gene1911,gene1843,gene970,gene994,gene1366,gene495,gene1002,gene1537,gene1032,gene365,gene281,gene624,gene358,gene136,gene1010,gene1394,gene1659,gene143,gene1380,gene818,gene662,gene663,gene231,gene1515,gene1550,gene1897,gene806,gene1004,gene564,gene1535,gene778,gene859,gene1849,gene1386,gene181,gene1504,gene652,gene766,gene26,gene447,gene1998,gene1209,gene190,gene137,gene503,gene188,gene1802,gene739,gene1224,gene1295,gene399,gene1414,gene70,gene82,gene395,gene1976,gene694,gene1406,gene1421,gene481,gene920,gene1213
F,-1.53192,-0.014707,0.53002,0.396329,-0.652913,0.939657,1.03187,-0.378657,1.69032,0.117787,-0.525082,0.332443,-1.53753,0.349957,-0.942793,0.039088,0.095114,-1.97717,0.116946,1.32168,0.234473,0.149302,-1.37324,-0.560586,0.700039,1.32067,0.338184,0.353318,-0.208554,-0.961885,-0.207158,-0.084774,-0.369497,1.13987,1.07461,0.432495,-0.694222,-0.979565,0.87534,-0.805889,1.1644,-0.699901,-0.647495,0.01698,-0.061928,0.620955,-0.24381,-1.53419,0.000689,0.286705,-0.782026,0.738424,-0.366743,-0.247243,0.105094,-1.70486,1.81534,-0.321928,-0.345308,0.617176,0.673796,0.053861,-0.07693,1.09066,0.551379,1.46226,0.409291,0.478998,-0.244483,-0.28362,-1.09246,0.591347,-0.565748,0.864946,0.360917,-0.262327,0.051585,-1.18033,0.559915,-3.04872,0.823814,-0.153933,-1.42909,0.040511,0.330373,-0.616197,0.195088,0.074428,0.808888,1.57702,0.492108,0.700442,-0.157059,-0.789765,0.261337,0.856032,-0.243657,-0.477816,0.991121,-0.397061,1.73078,-0.083107,0.264935,0.826214,-0.464192,-0.492318,0.255458,0.382957,0.151945,0.170738,0.927177,0.576603,-1.67576,-0.700976,0.692009,0.804711,0.766146,-0.424271,2.00632,0.849493,-0.213302,0.254848,0.973863,1.98187,1.24654,0.006291,0.169016,-0.253579,0.654866,-0.909369,-0.7566,1.11088,0.150824,0.929709,-0.645988,0.774111,0.647325,0.324087,-0.174744,-1.41003,0.247125,0.18709,0.284462,-1.09345,0.603452,1.76856,-0.924512,0.70523,1.89978,-0.743964,0.882357,-0.829435,0.118457,0.563152,-0.36888,-0.052391,0.023025,-0.364466,-1.01677,-0.00086,-0.326948,0.85446,-1.18431,-1.18659,-0.547933,-1.01275,1.14539,0.907683,1.22432,1.03889,0.919066,0.831992,0.405522,-0.922235,-0.160803,-0.027315,0.206106,1.53944,-0.148522,-1.63596,-0.350859,1.30251,1.59073,0.14712,-0.56101,-0.003091,1.02289,1.00471,-0.676987,1.91332,-0.361302,-1.66269,0.344179,-0.27828,0.443077,0.933735,-1.0764,1.27385,-0.083783,0.773152
T,0.404811,0.215354,1.13252,1.68741,1.58848,0.675957,1.58552,1.1736,0.508408,-0.304669,-1.83078,-0.044018,-0.204508,1.55094,-1.43354,0.710564,1.75134,-0.489413,0.684171,-0.595039,-1.29141,-0.320751,1.32801,-1.15949,0.204408,-0.472861,-0.864754,1.54289,-0.745925,0.132091,-0.927375,1.0784,1.71962,0.553479,0.046023,-0.048505,-1.01578,0.661753,1.07735,-1.48493,-0.152596,-0.02377,-0.888237,0.639241,1.14939,-0.445452,0.843614,-1.65256,1.24354,0.37356,1.07346,-0.263439,-0.431188,-0.675268,-0.858913,0.763439,0.497104,-0.189188,-1.12936,-0.566642,-0.71802,1.22309,-0.051972,0.470967,0.85499,0.273909,1.50406,-0.118437,-1.27933,-0.271342,-0.128283,0.279767,-0.775275,0.490374,0.199938,-1.40416,-1.71671,-0.715819,-0.354386,-1.12694,0.125908,-1.45746,0.250505,1.49856,-0.665037,-0.032051,1.53404,1.16633,-1.04654,0.468483,0.243092,-1.60278,-0.239966,-1.21896,0.405049,0.101899,-0.625212,-1.12219,0.785612,-0.449232,0.683374,-1.06075,-0.447643,-0.616352,-2.12419,0.350065,-0.328731,-1.81537,0.212044,1.32224,0.696587,0.19447,-0.530677,-0.493079,0.410797,0.555825,0.239136,0.241204,1.41489,1.46744,2.20339,0.924034,0.818379,0.875995,0.640032,-1.34296,-0.717135,-0.061358,-0.185047,1.11567,0.97298,0.419754,1.77726,-0.069072,-0.988686,-1.50358,0.470352,-0.579837,-1.60264,1.11515,0.449087,-1.58125,-0.820324,-0.771483,0.560797,0.759387,0.278017,-2.09389,0.248899,-0.189559,0.598599,-0.278902,0.604569,-0.990217,-1.83375,-0.804864,1.11883,0.871525,0.757628,0.949462,0.609809,-0.083477,-1.09611,0.754738,0.903165,-0.129122,0.786489,-2.09932,0.431779,0.671071,0.787585,-0.684225,1.4573,0.096949,-1.04402,0.026901,-0.970803,0.738014,1.09401,-1.37302,-0.358259,0.964317,0.436202,0.068761,-0.729229,1.76837,0.897401,0.24719,-1.13259,0.059041,1.72829,-0.972176,1.60828,-0.766516,-1.30208,0.013525,1.02788,0.529896,1.19192,0.081657
F,-1.70035,1.10884,0.967687,0.697607,-0.247368,1.9964,0.695736,-0.736563,0.176377,-0.317325,1.04685,-0.278723,0.509618,-0.085503,-0.586686,-0.41509,0.184835,-1.28127,-1.37279,-0.951838,-1.1298,0.653475,0.086015,-3.69987,-0.409541,1.06427,-2.52545,0.749552,-1.00352,-0.218032,-0.880517,-1.06411,-1.53914,0.915119,-0.625048,0.245188,-0.520239,-0.07141,0.099298,2.82293,1.00487,-0.905312,-0.321339,-0.913681,2.08388,0.03812,-1.92743,-0.016679,-0.594958,-0.639271,-0.558988,-1.99412,-2.39892,-1.47967,-1.98869,-1.44388,0.742474,-2.59535,-0.613006,0.228817,0.055553,-0.474886,0.39633,-0.13348,1.28699,0.367315,1.03293,-1.53472,-1.17883,-2.7507,-1.5117,-0.81348,0.059353,1.43271,-0.713891,-1.4108,-0.937671,-1.63142,-0.857677,-0.620347,1.0896,-0.741531,-2.60187,0.915069,2.06027,-0.525941,0.595206,1.35922,-1.31061,-0.378901,1.52835,-1.98103,-0.898824,-1.20098,-0.104522,0.269728,0.21006,-2.28264,-1.2838,-2.23254,-0.312532,-1.29284,-1.73798,1.04438,-0.700919,1.99586,0.660811,-2.039,0.680832,-0.497912,-1.13546,1.56946,0.292693,-1.71925,-0.682391,0.231054,1.14205,0.074055,0.964316,-0.936728,-0.798065,-1.01959,2.026,0.050008,-0.147491,-0.717165,-0.011566,1.15194,0.524784,-0.35342,-0.114554,0.984876,1.04816,0.819544,-0.58582,-1.68902,-0.930519,-0.455509,0.633602,-0.202171,1.20345,-0.543793,1.20344,-1.33435,-2.07705,-0.372601,-1.18503,-0.86126,0.07083,-3.77658,0.901649,-2.05747,0.39296,-0.405758,-0.918661,1.89654,-0.116507,-0.442843,0.962391,-0.164638,1.625,-1.44359,-0.231111,-1.22744,1.47842,-0.975124,1.53565,-0.783288,1.55834,-0.860676,-1.77018,-0.159514,-0.215389,0.074842,-2.90591,-0.977672,-1.29992,-1.01725,-0.086285,-0.831061,-2.59585,0.515681,1.23882,1.18443,-1.17337,-0.815769,0.008382,1.46864,-1.1539,-1.11734,0.843135,0.372586,0.436029,0.77263,-2.05382,-0.6635,-0.198284,-0.037481,1.8941,-2.12658
T,-0.55931,1.22596,1.56388,0.868489,-0.174523,1.29154,1.17647,-0.400963,0.072867,-1.38112,-0.961789,-0.029961,-0.259375,1.03575,-1.16683,0.717587,0.940464,-2.14352,-0.818342,-0.798595,-1.35392,0.334995,-0.772504,-0.907193,0.206564,-0.012053,-1.32753,1.40453,-0.226896,-0.085119,-1.60269,0.563893,3.20929,1.0435,0.30439,-0.028642,-1.75265,-0.531569,1.76371,1.63773,-0.12811,-0.263244,-0.427738,-1.26244,1.94943,0.583746,-0.431397,0.015745,0.394814,-1.12128,-0.231136,-0.647155,-2.14932,-1.59173,-0.718938,-0.935601,0.633143,-0.528087,-0.745445,-0.332424,-0.482723,0.388727,-0.118999,1.54958,0.03982,0.645204,1.26225,-2.30458,-1.37408,-1.98976,0.854712,0.086751,-0.250012,1.02693,0.325624,-1.31656,-0.01657,-0.756585,0.643558,-0.098443,1.30849,-1.07194,-1.67613,1.14069,1.78669,-0.224959,1.06286,0.877519,-3.45447,0.417871,0.850161,-1.67146,-0.54901,-1.10069,-0.976312,0.560122,-1.04329,-0.790695,-0.605323,-2.45048,0.384819,-0.460608,-1.47202,-0.880243,-1.1175,0.723665,-0.157012,-4.44058,0.716252,-0.707735,-1.05041,1.25289,-0.966992,-0.976894,-0.324593,1.15382,0.124154,-0.401902,0.497379,0.535278,1.73503,-0.203129,1.66736,-0.176156,0.439398,-1.16308,0.872987,-0.163218,-0.283472,-0.544951,1.15993,1.17503,1.39601,0.050607,-0.82684,-0.64477,0.324394,-0.853037,0.344129,-0.06268,1.54539,-0.691908,-0.943025,-1.50155,0.094358,-0.201323,-1.48919,-1.14678,0.400919,-0.696614,1.74596,-1.09337,1.85127,-0.320061,-1.72482,0.064675,1.68488,-0.253771,-0.133409,0.336054,0.645439,0.26675,-1.46219,-0.417979,0.307053,-0.311544,1.86563,-0.220108,0.621264,0.046851,-0.037397,-0.07148,0.804075,-0.037289,-1.17613,-0.487705,-0.657361,-0.350931,-0.893938,-1.77883,-2.26128,0.992413,-0.016136,0.917493,-0.260261,0.541775,-0.816307,-0.2749,-0.9109,-1.15807,1.8265,-0.805627,1.28142,0.5414,-1.69449,-0.61916,-0.348931,-0.196377,1.75009,-1.43679
F,0.486905,0.282601,-0.422701,-1.19735,-0.066241,1.18501,-0.63584,0.096454,-0.679594,0.101216,1.09874,-0.442686,0.859295,0.465046,-0.019951,-1.50137,-0.210693,-0.543413,0.259695,-2.81002,1.29685,-0.104955,0.230257,1.05278,-0.769534,-0.005755,1.48213,-0.298782,-0.25915,0.858919,1.45765,0.168165,-1.44921,0.977141,0.413872,0.642919,1.05626,-0.045139,-1.07907,0.961706,1.25196,-0.375952,-0.410578,0.012152,-0.148625,0.26429,-0.368065,0.180453,0.135833,0.478905,-0.423752,0.074774,0.559383,0.702272,0.019797,0.360763,0.199712,-0.895889,0.805779,-0.047115,-0.882707,0.262511,0.573074,-0.945694,-1.48573,-0.475822,-0.183461,0.260467,2.71405,-0.395533,0.097545,-0.691,0.450593,1.09381,-0.676969,0.170895,-0.576958,0.556399,-1.94542,0.130823,-0.413008,0.341729,-0.487528,-0.443881,0.927566,-1.58396,0.285324,-0.796555,0.687996,-0.251714,-1.64516,-0.663756,-0.931567,0.148086,-0.091543,-1.3266,0.352238,-0.613044,-0.531172,0.25656,-0.211984,-0.076038,0.244731,0.355867,0.673079,0.394087,-1.76962,-0.083921,-0.472915,-0.167649,0.501701,0.201883,-0.28414,0.174443,0.155246,-0.392147,0.683983,-0.208006,-1.06992,-0.642079,-1.733,0.075031,-0.130431,-1.12078,-0.351125,0.692157,0.427963,-0.441923,-1.19482,0.475374,-1.35887,0.988397,0.854811,-1.94241,0.133958,0.746676,0.239274,1.07235,-2.50867,-0.061154,-0.124402,0.351548,-0.223938,0.393006,1.25847,-0.76594,0.524665,0.318419,2.93216,0.264052,-0.405414,-0.213359,0.699346,-0.730999,0.450275,-0.538091,1.84118,-0.717761,-0.005828,-1.77599,0.307505,-1.73782,1.21371,0.099831,-0.633712,-0.394748,-0.58915,1.02424,0.047996,-1.64131,0.272527,-1.08367,-0.203509,-0.325319,1.00142,-1.78997,0.716794,-1.08365,-0.283786,0.120791,1.69733,-0.352207,0.375564,-0.882696,0.024797,-0.75444,-0.956887,0.506502,1.03495,0.448843,0.06279,1.68243,-0.69405,-0.673978,0.772124,-0.69604,-0.735415,-1.65994,1.54902,-0.461122
T,1.93079,0.028891,-0.349665,0.685269,0.93623,1.20607,1.01743,1.382,-2.27987,-0.405644,-0.70534,-0.816522,1.37814,2.0169,0.028395,-0.956651,0.335435,-1.79702,0.446307,-1.38818,0.462199,-1.53802,1.17087,1.40426,-1.74261,0.524179,-0.759415,0.830248,0.460102,1.22298,-0.548488,1.67156,0.784057,0.993891,-2.99346,-0.462045,-0.662504,1.04794,-0.604908,1.46543,0.26056,1.39293,0.373388,1.77681,0.091651,1.65094,1.07145,0.221812,1.96086,-0.651215,0.984955,-2.10086,1.24929,-0.575351,-1.0659,-0.17391,-0.466908,-2.29152,0.521931,-0.19894,-1.02027,1.96491,0.869977,-0.065983,-0.009459,-1.66907,0.216917,-1.23609,-0.172866,-0.754836,1.44799,-2.16042,0.095824,1.29101,-1.77229,-0.871677,-1.85091,0.016835,-2.48127,1.38573,-1.5353,-1.22157,0.442473,0.411737,0.831449,2.46805,1.14872,0.260105,-0.669356,-1.77946,0.151907,-0.389016,-1.89414,-0.423649,1.52198,-1.07108,-1.01797,0.329907,-1.60984,-0.936904,-0.232254,2.19862,-1.52119,0.795269,1.80823,1.08803,-1.36703,0.302785,-1.10372,0.005386,-0.234405,0.866142,1.40056,0.206814,-2.14889,-0.856355,0.929061,1.82085,1.19298,0.593923,0.113185,-1.80351,0.350809,-1.0525,0.826835,0.051181,1.63743,1.0564,-1.77968,0.881852,0.832953,1.05232,0.857844,-0.075595,-3.13488,0.677644,-0.21729,-0.004689,-2.10847,0.777884,-1.16189,-0.902641,-0.749957,-1.11521,-1.38251,-1.7546,-0.971544,0.244371,-1.07469,1.17434,-1.90416,0.1295,0.529071,0.845652,-0.079347,0.899993,-0.955168,-1.41064,0.62261,-0.105416,0.169833,-1.51064,-1.16008,1.60959,0.259387,0.297525,0.219211,1.7398,0.893828,-1.85069,0.673544,0.848599,0.357609,1.49543,0.57285,-0.015012,-0.292552,-2.46093,-0.455263,-0.705414,-1.39267,0.934076,-0.478997,-1.76024,0.17042,0.953941,0.36178,1.65128,-0.60064,-0.313775,0.043284,1.25833,-0.271033,-0.50442,0.499785,-1.26291,0.968413,-0.499603,-0.393513,-1.88616
F,-0.976049,0.005807,0.479983,-0.204359,-1.54675,0.747802,-0.794348,-0.619891,-0.161914,-0.692239,2.4,0.748909,-0.963078,-0.543412,-0.903596,0.261807,-1.16085,0.152155,-0.970359,0.70428,0.170894,-0.637474,-0.665131,0.058219,-0.142769,1.4066,0.534473,-0.402997,-0.58874,0.693757,-0.181919,-0.946359,-0.184692,0.563663,-0.744242,1.19394,0.024033,-1.01048,0.333194,-0.472886,1.79358,-1.20301,-0.403777,-0.339011,-0.453917,-2.17991,0.368234,-1.13726,-1.03347,0.181151,-1.01707,0.643544,-1.32618,-0.291619,-0.354126,-0.475102,0.144962,0.275384,0.065712,-0.637864,-0.349072,-0.885041,-0.22475,0.302315,0.259559,1.71127,-1.37817,-0.515561,-0.474134,-1.46495,-0.236377,0.118634,-0.083466,0.548956,0.53206,-0.723846,-0.0749,0.886778,0.770858,-0.932672,1.59923,-0.474359,-0.871666,-2.34245,-0.172924,-1.02632,-0.210795,-0.203186,-0.170817,-0.220968,0.932961,-0.623746,0.585476,-0.580243,-1.45998,0.086029,-0.316075,-0.690876,0.293963,-0.792025,1.46385,-0.929549,0.71119,0.419353,-0.165462,0.312845,1.23659,-1.4559,0.530731,-1.19596,0.368493,1.34543,-0.695991,-0.619312,-0.226564,0.260285,0.820347,-1.40953,1.21147,-0.369533,-0.9252,-0.199972,0.734183,-0.060602,0.086878,0.200934,-0.958742,0.326435,1.8319,-1.0888,-0.58087,0.664298,0.424775,1.48888,0.693294,-1.05936,1.29351,0.681166,-0.319153,-1.19592,0.827856,-0.400286,1.53235,0.175406,0.111394,0.281245,-0.157996,0.046925,0.442926,-0.345411,0.981251,0.392649,0.839071,-1.62868,-0.391638,-0.491007,-1.05033,0.241186,-1.47373,1.21589,0.457916,-0.960215,-0.579475,-1.14254,-0.926663,-1.03374,2.155,-0.63663,2.1187,0.278788,1.2921,-0.374622,-0.698297,-0.807068,-0.253267,0.589377,0.38318,0.604295,-0.808293,-0.904617,-0.114265,0.487948,1.64157,0.783104,-1.43477,-0.681181,1.28702,0.881345,0.299623,0.624761,0.322851,-0.841217,-1.91122,0.864559,-0.842913,0.503355,-1.59799,0.257629,0.060186,-0.643497
T,1.15644,-0.841535,1.39596,1.20423,-0.01739,0.846169,1.05802,-1.31616,-1.42771,-1.76412,-0.623567,-1.5901,1.10892,1.88703,0.118521,-0.354568,0.906032,-2.12205,0.890372,-0.965853,-0.604493,-1.83617,-0.314277,1.401,-2.01284,0.216448,-0.897567,0.921093,0.869148,0.464584,-0.854182,1.9131,-0.226522,1.54623,-2.18458,0.267354,-2.18015,0.164915,-0.220028,0.118757,0.524759,1.74145,-0.010998,0.249952,0.883036,1.61149,1.1965,-0.067268,1.69289,-1.31814,0.216604,-0.744561,0.237833,-1.09117,-0.692403,0.141878,-0.748767,-1.79499,-0.927831,1.47902,-2.11648,1.79079,0.266773,-0.257475,0.625548,-0.791384,0.514073,-1.72518,-0.712988,-0.733269,2.26119,-1.36515,0.926905,1.42185,-1.1043,-1.26058,-2.65267,0.162224,-0.783226,1.17506,-0.67,-0.514109,-1.89424,0.554898,-0.339229,-0.42603,0.732065,1.22928,-1.74699,-1.59268,0.694321,0.390606,-1.68008,-0.098642,1.08091,-1.65941,-0.136549,0.507097,-1.14925,-1.26415,0.366887,-0.6283,-2.44875,-0.361613,-0.543585,0.026327,-0.249265,-0.094577,-1.16975,-1.01115,-0.187838,0.842529,-0.002561,0.943851,-1.84592,-1.39194,0.674679,0.244202,1.06357,0.821171,-0.126955,-2.36148,1.03108,-0.585746,0.033439,-0.581948,0.483835,-0.358157,0.219526,0.650727,0.504347,1.66737,0.135323,0.307381,-0.937575,-0.377281,-1.49219,0.251135,-1.22143,0.060273,2.31334,-0.560889,-0.058985,-1.61244,-2.96749,-1.43311,-2.14203,-0.286118,-1.83925,0.625243,-1.21453,-0.890805,1.34424,1.18172,-1.11884,2.42809,-1.24822,-1.13101,-0.590058,0.87388,-0.779528,-2.20761,-1.59643,-0.9521,0.43739,-0.242807,1.21639,-0.003734,0.821053,-1.39394,0.000894,0.915547,-2.30909,0.283586,-1.17712,1.56147,-1.26798,-0.617198,-1.73083,-0.11648,-1.56647,1.062,-0.496865,-0.839501,0.410237,0.833676,-0.43614,1.3043,-0.477135,-0.375009,0.170438,0.655366,-0.75325,-0.30466,-1.31099,-1.1722,-0.167998,1.11174,-0.047351,-1.68329
F,-0.588374,0.96537,-1.13047,-1.08521,-1.23846,0.661823,-0.953479,-1.21942,1.5115,-2.15251,0.979544,0.737611,-0.52983,0.006184,0.752718,1.24217,-0.506791,-1.59887,-1.5389,-0.261883,1.0272,1.52378,-1.03129,-0.002748,0.69997,1.64366,1.22099,-0.298926,-1.26659,-1.54262,2.41727,-0.754156,-0.893906,0.355042,0.667483,0.663459,1.96852,-1.04205,-0.005845,-0.682842,1.19745,0.459145,1.7073,-1.13522,0.184215,0.750454,-0.858483,-0.145271,-0.339901,-0.692957,-1.61988,0.64727,0.601136,0.203385,-1.29045,-2.3192,1.20634,0.265638,1.51229,-0.723593,0.220407,-0.328117,-4.90837,0.958013,-1.10659,0.570647,-0.76935,-0.94423,0.573486,-2.80895,-0.276179,1.84942,-2.96517,0.392767,0.2438,1.83516,0.516741,1.75496,0.348656,-0.979262,0.227413,-0.798628,-1.84553,-0.840167,-0.741178,0.699473,-0.466529,-0.147706,-0.003531,2.14388,-0.03801,1.05164,0.748379,1.53978,-0.358564,0.226533,0.55127,-0.535313,0.042583,-0.449611,1.49557,-0.966676,-1.32122,1.00419,0.663298,-1.03007,1.2233,0.065197,2.09836,-0.50231,0.188318,1.93038,0.571631,-2.69058,1.58141,0.488315,0.307034,0.087629,0.197058,-2.28773,0.978377,1.65167,0.94817,-0.632356,0.89415,0.817445,-0.360555,-2.0617,-0.976826,-1.85956,-1.45536,0.528778,1.31197,1.73738,-1.10588,1.71626,0.885013,0.582824,-0.997484,-2.12833,0.480728,0.00372,0.839591,-0.176035,1.78825,1.44719,-2.74605,1.00001,0.529996,0.785531,1.50241,-0.62406,-0.619094,-0.579811,0.41139,-0.941886,-0.113889,-0.256114,-1.01541,1.18185,-1.913,1.5541,-0.694538,-0.544753,-1.57126,-2.20968,-0.371727,1.45011,1.58704,-0.43593,0.797419,-3.2942,0.535457,-0.519663,1.45502,0.438608,0.01943,0.305696,0.644346,1.0111,-0.493943,-0.935229,0.281504,1.44604,1.19343,-1.38513,0.477362,0.982356,2.15884,0.689448,1.19767,1.15686,-0.419689,-0.32345,1.07297,1.22461,-1.49787,-0.916538,-0.268128,-1.42003
T,1.38068,-0.159962,0.00593,0.73714,1.30253,0.989219,1.10446,1.46816,-1.13042,0.944801,-1.52505,-2.16295,0.581662,1.86499,-0.960517,-0.80766,0.881497,0.143258,1.72534,-1.01638,-0.719822,-1.0017,2.26875,0.86971,-2.03385,-0.638278,-1.36961,0.902517,0.4267,1.80047,-0.497923,1.67066,-0.117372,0.50106,-1.89596,-0.659941,-1.18195,1.66318,-0.055981,0.809126,-0.745262,1.03875,-0.401013,1.05099,-0.299918,1.23269,0.49416,-1.84241,1.715,0.214451,0.89085,-1.79619,0.57064,-0.443268,-0.199832,1.62955,-0.428891,-0.880831,-0.097736,0.8448,-2.2683,1.71781,1.23916,-0.529292,-0.006929,-1.69664,0.821226,-0.339885,-0.837581,0.52135,0.777029,-2.33238,1.3486,0.248525,-1.80219,-1.22513,-1.40665,-0.070359,-1.36596,0.773512,-1.10737,-0.996422,0.639823,0.062145,1.09513,0.322806,0.886727,-0.799777,0.48916,-1.02994,-0.92817,-0.848025,-2.10916,-0.11233,1.07903,-2.45278,-0.44262,-0.208042,-1.58793,-0.199566,-0.527016,1.51251,-0.017322,-1.04964,1.35995,0.529842,-0.540482,-0.361595,-0.720386,-0.350037,0.436579,-0.32751,1.1973,1.621,-1.29951,-1.56822,1.62029,-0.102478,0.325639,1.23348,-0.631801,-1.66894,0.639984,-1.888,0.369546,-0.941371,0.793199,1.03749,-1.7316,1.51955,-0.042601,0.505341,0.398339,-0.793176,0.11758,-1.16539,0.344333,-0.515844,-1.22165,1.54049,-1.17844,-1.0527,-1.0779,0.365641,-1.28395,-1.47411,0.75958,-0.881237,-1.69667,0.3878,-1.43756,-0.618222,0.890543,0.40449,-0.945121,-0.337955,0.25288,-1.2351,1.77649,0.904336,0.323188,-2.07486,-0.319297,1.00732,0.34443,1.9843,0.756049,0.530007,0.458958,-2.00396,0.532442,-0.278294,0.109995,-0.207075,-0.362075,-0.352419,-2.07869,-0.857183,-0.886065,-0.589605,-0.078251,0.566094,0.203512,-1.79126,-0.656272,0.619186,-1.96554,1.07424,-1.01563,-1.20253,-0.13684,1.36102,0.534427,-0.442948,-0.338298,-1.48259,-0.160392,0.066125,-0.856932,-0.224131
