normal,gene14,gene852,gene1917,gene377,gene1494,gene1668,gene493,gene1892,gene1047,gene841,gene1671,gene625,gene1416,gene765,gene1400,gene1758,gene822,gene1048,gene67,gene1372,gene1772,gene581,gene892,gene1388,gene1293,gene1534,gene513,gene1423,gene1597,gene419
F,-1.53192,-0.014707,0.53002,0.396329,-0.652913,0.939657,1.03187,-0.378657,1.69032,0.117787,-0.525082,0.332443,-1.53753,0.349957,-0.942793,0.039088,0.095114,-1.97717,0.116946,1.32168,0.234473,0.149302,-1.37324,-0.560586,0.700039,1.32067,0.338184,0.353318,-0.208554,-0.961885
T,0.404811,0.215354,1.13252,1.68741,1.58848,0.675957,1.58552,1.1736,0.508408,-0.304669,-1.83078,-0.044018,-0.204508,1.55094,-1.43354,0.710564,1.75134,-0.489413,0.684171,-0.595039,-1.29141,-0.320751,1.32801,-1.15949,0.204408,-0.472861,-0.864754,1.54289,-0.745925,0.132091
F,-1.70035,1.10884,0.967687,0.697607,-0.247368,1.9964,0.695736,-0.736563,0.176377,-0.317325,1.04685,-0.278723,0.509618,-0.085503,-0.586686,-0.41509,0.184835,-1.28127,-1.37279,-0.951838,-1.1298,0.653475,0.086015,-3.69987,-0.409541,1.06427,-2.52545,0.749552,-1.00352,-0.218032
T,-0.55931,1.22596,1.56388,0.868489,-0.174523,1.29154,1.17647,-0.400963,0.072867,-1.38112,-0.961789,-0.029961,-0.259375,1.03575,-1.16683,0.717587,0.940464,-2.14352,-0.818342,-0.798595,-1.35392,0.334995,-0.772504,-0.907193,0.206564,-0.012053,-1.32753,1.40453,-0.226896,-0.085119
F,0.486905,0.282601,-0.422701,-1.19735,-0.066241,1.18501,-0.63584,0.096454,-0.679594,0.101216,1.09874,-0.442686,0.859295,0.465046,-0.019951,-1.50137,-0.210693,-0.543413,0.259695,-2.81002,1.29685,-0.104955,0.230257,1.05278,-0.769534,-0.005755,1.48213,-0.298782,-0.25915,0.858919
T,1.93079,0.028891,-0.349665,0.685269,0.93623,1.20607,1.01743,1.382,-2.27987,-0.405644,-0.70534,-0.816522,1.37814,2.0169,0.028395,-0.956651,0.335435,-1.79702,0.446307,-1.38818,0.462199,-1.53802,1.17087,1.40426,-1.74261,0.524179,-0.759415,0.830248,0.460102,1.22298
F,-0.976049,0.005807,0.479983,-0.204359,-1.54675,0.747802,-0.794348,-0.619891,-0.161914,-0.692239,2.4,0.748909,-0.963078,-0.543412,-0.903596,0.261807,-1.16085,0.152155,-0.970359,0.70428,0.170894,-0.637474,-0.665131,0.058219,-0.142769,1.4066,0.534473,-0.402997,-0.58874,0.693757
T,1.15644,-0.841535,1.39596,1.20423,-0.01739,0.846169,1.05802,-1.31616,-1.42771,-1.76412,-0.623567,-1.5901,1.10892,1.88703,0.118521,-0.354568,0.906032,-2.12205,0.890372,-0.965853,-0.604493,-1.83617,-0.314277,1.401,-2.01284,0.216448,-0.897567,0.921093,0.869148,0.464584
F,-0.588374,0.96537,-1.13047,-1.08521,-1.23846,0.661823,-0.953479,-1.21942,1.5115,-2.15251,0.979544,0.737611,-0.52983,0.006184,0.752718,1.24217,-0.506791,-1.59887,-1.5389,-0.261883,1.0272,1.52378,-1.03129,-0.002748,0.69997,1.64366,1.22099,-0.298926,-1.26659,-1.54262
T,1.38068,-0.159962,0.00593,0.73714,1.30253,0.989219,1.10446,1.46816,-1.13042,0.944801,-1.52505,-2.16295,0.581662,1.86499,-0.960517,-0.80766,0.881497,0.143258,1.72534,-1.01638,-0.719822,-1.0017,2.26875,0.86971,-2.03385,-0.638278,-1.36961,0.902517,0.4267,1.80047
F,-1.3067,-1.10221,-1.18073,0.043436,-0.248891,-0.479575,-0.698936,0.370383,-0.918946,1.44681,-0.369044,0.79234,-0.4213,-0.58444,-0.476931,1.71931,-1.69609,1.18801,-2.15622,-0.664501,1.26543,-1.13281,0.665496,0.022514,-1.51794,1.50002,0.870428,-1.58238,0.092227,0.572767
T,1.02923,1.12213,1.16443,0.424935,1.02885,0.388392,1.64426,1.45326,-0.246093,-1.04612,-1.36135,0.682479,0.76906,1.92245,-1.38985,0.504243,1.25693,-1.19926,-0.396763,-0.508545,-1.02825,-0.800439,1.61748,-0.73691,-1.25106,-0.196093,-1.15353,1.60756,-0.498545,0.053219
F,0.684712,0.007626,0.039428,0.265867,0.032127,0.763646,0.101192,0.105264,-0.954375,-0.840731,-0.122111,0.306087,-1.00087,0.640185,0.355437,-1.07947,0.006657,-0.338192,0.045429,1.01753,1.22342,-0.685216,-0.4096,0.518608,-0.471209,-0.707746,0.47261,0.152458,-0.039219,0.348172
T,1.01476,0.661881,0.049608,1.04822,0.734016,0.758376,2.02629,0.807683,-0.896482,-1.4068,-1.78412,-1.15048,-0.511382,1.7931,-0.722755,-1.20592,1.07628,-1.24817,1.04415,-0.755224,-0.919683,-1.24409,0.75711,0.11835,-0.84189,-0.571026,-0.797578,1.67565,0.466268,0.74524
F,-0.178935,0.634691,0.043344,-0.720749,-1.02121,1.24154,0.316226,-0.235008,-0.219566,-0.58465,-0.517352,-1.1886,-0.217717,0.478516,1.01698,-0.843946,-0.39052,-0.863918,-0.266028,-0.193349,0.887112,0.75368,-1.61056,0.775716,-0.383185,0.042235,0.269774,0.082363,0.818666,-0.065855
