normal,gene14,gene852,gene1917,gene377,gene1494
F,-1.53192,-0.014707,0.53002,0.396329,-0.652913
T,0.404811,0.215354,1.13252,1.68741,1.58848
F,-1.70035,1.10884,0.967687,0.697607,-0.247368
T,-0.55931,1.22596,1.56388,0.868489,-0.174523
F,0.486905,0.282601,-0.422701,-1.19735,-0.066241
T,1.93079,0.028891,-0.349665,0.685269,0.93623
F,-0.976049,0.005807,0.479983,-0.204359,-1.54675
T,1.15644,-0.841535,1.39596,1.20423,-0.01739
F,-0.588374,0.96537,-1.13047,-1.08521,-1.23846
T,1.38068,-0.159962,0.00593,0.73714,1.30253
F,-1.3067,-1.10221,-1.18073,0.043436,-0.248891
T,1.02923,1.12213,1.16443,0.424935,1.02885
F,0.684712,0.007626,0.039428,0.265867,0.032127
T,1.01476,0.661881,0.049608,1.04822,0.734016
F,-0.178935,0.634691,0.043344,-0.720749,-1.02121
T,-0.101042,1.02318,-0.129948,0.435586,-0.311702
F,-0.633022,0.382988,0.383361,0.608344,-0.460694
T,1.02874,1.12144,-0.167978,2.79307,0.205022
F,0.255625,0.739086,-0.74247,-0.86651,-1.63042
T,2.08865,0.01576,-0.411039,1.24517,1.17427
F,-1.84593,0.838199,-0.280699,0.206886,-1.85769
T,-0.660579,0.823155,0.453765,0.480019,1.40626
F,0.217414,0.008369,-0.328554,-1.06196,-0.827788
T,1.83464,0.520577,0.727258,2.32254,0.239373
F,0.262912,0.631653,0.066443,-0.922103,-1.27776
F,-1.41239,0.641654,-0.293392,-0.668042,-1.12987
F,-1.1616,0.91768,-1.02184,-0.708878,0.414182
F,-0.399909,0.809825,0.001639,-0.951402,-1.06223
F,-1.74159,0.814777,0.215288,-0.788323,-0.064423
F,-1.20655,0.1197,-0.790649,-0.407664,-0.367771
F,-0.527436,1.5565,0.088124,-1.05026,0.259273
F,-0.140789,-0.525096,-1.15092,-0.692001,1.02955
F,0.468599,-0.557466,-1.7402,-0.612216,-0.838719
F,0.105281,0.848516,-0.602249,-0.967186,-0.468248
F,-0.750862,0.915788,-0.726568,-0.686497,-0.302558
F,0.063377,-0.065635,-1.65631,-1.65309,-0.924916
F,-2.31952,0.47322,0.463572,-0.659746,-0.501954
F,0.071696,0.064564,-0.697529,-1.6452,-1.13372
T,0.760898,-0.304408,0.783044,1.39393,1.32769
F,-0.142293,-1.9132,-0.105441,-0.347112,0.440002
F,-0.232203,0.406258,0.879838,-0.970712,-0.176926
T,1.31337,-2.64371,0.285083,1.48753,0.649451
T,1.04868,-0.034344,1.47743,0.923745,1.86291
F,0.08924,-0.695596,-1.77506,-0.600602,-0.082354
F,0.026216,-0.093045,0.301769,-0.09786,1.10551
F,0.660668,-1.00728,-0.935249,-0.61041,-0.648994
F,-0.261051,0.101267,-1.03706,-1.84239,-1.16982
T,0.731312,0.740804,1.20801,1.19715,1.67218
F,0.061964,-1.19646,0.768901,0.70518,1.39229
T,1.06366,0.112246,1.58199,-0.193367,1.51957
T,-0.015205,0.524965,-3.12738,-0.137593,-0.998734
F,0.954973,-1.10769,-0.997469,-0.761555,-1.66023
F,0.156209,0.068183,0.295722,-0.552491,-1.1708
T,1.39249,0.456476,1.90586,0.114126,0.730165
T,-0.769534,-3.12858,0.396271,-0.164317,-0.199011
F,1.12447,-1.32643,0.662972,0.749598,1.42427
F,-0.324529,1.22132,-0.141406,-0.75391,0.850578
F,-1.39987,-0.251134,1.06678,0.001145,-0.949481
F,-0.229063,-1.67909,0.500274,-0.507101,-0.232768
T,-0.118578,-0.476732,1.18144,2.21181,1.51423
F,-1.33116,-1.6241,-2.18534,-0.212275,-0.403048
T,0.696933,-2.40886,1.06067,0.365677,1.22737
