normal,gene14,gene852,gene1917,gene377,gene1494,gene1668,gene493,gene1892,gene1047,gene841,gene1671,gene625,gene1416,gene765,gene1400,gene1758,gene822,gene1048,gene67,gene1372,gene1772,gene581,gene892,gene1388,gene1293,gene1534,gene513,gene1423,gene1597,gene419,gene1042,gene249,gene1873,gene1381,gene1153,gene1115,gene1771,gene1884,gene1672,gene657,gene1838,gene1570,gene515,gene66,gene1674,gene1924,gene1451,gene317,gene267,gene639
F,-1.53192,-0.014707,0.53002,0.396329,-0.652913,0.939657,1.03187,-0.378657,1.69032,0.117787,-0.525082,0.332443,-1.53753,0.349957,-0.942793,0.039088,0.095114,-1.97717,0.116946,1.32168,0.234473,0.149302,-1.37324,-0.560586,0.700039,1.32067,0.338184,0.353318,-0.208554,-0.961885,-0.207158,-0.084774,-0.369497,1.13987,1.07461,0.432495,-0.694222,-0.979565,0.87534,-0.805889,1.1644,-0.699901,-0.647495,0.01698,-0.061928,0.620955,-0.24381,-1.53419,0.000689,0.286705
T,0.404811,0.215354,1.13252,1.68741,1.58848,0.675957,1.58552,1.1736,0.508408,-0.304669,-1.83078,-0.044018,-0.204508,1.55094,-1.43354,0.710564,1.75134,-0.489413,0.684171,-0.595039,-1.29141,-0.320751,1.32801,-1.15949,0.204408,-0.472861,-0.864754,1.54289,-0.745925,0.132091,-0.927375,1.0784,1.71962,0.553479,0.046023,-0.048505,-1.01578,0.661753,1.07735,-1.48493,-0.152596,-0.02377,-0.888237,0.639241,1.14939,-0.445452,0.843614,-1.65256,1.24354,0.37356
F,-1.70035,1.10884,0.967687,0.697607,-0.247368,1.9964,0.695736,-0.736563,0.176377,-0.317325,1.04685,-0.278723,0.509618,-0.085503,-0.586686,-0.41509,0.184835,-1.28127,-1.37279,-0.951838,-1.1298,0.653475,0.086015,-3.69987,-0.409541,1.06427,-2.52545,0.749552,-1.00352,-0.218032,-0.880517,-1.06411,-1.53914,0.915119,-0.625048,0.245188,-0.520239,-0.07141,0.099298,2.82293,1.00487,-0.905312,-0.321339,-0.913681,2.08388,0.03812,-1.92743,-0.016679,-0.594958,-0.639271
T,-0.55931,1.22596,1.56388,0.868489,-0.174523,1.29154,1.17647,-0.400963,0.072867,-1.38112,-0.961789,-0.029961,-0.259375,1.03575,-1.16683,0.717587,0.940464,-2.14352,-0.818342,-0.798595,-1.35392,0.334995,-0.772504,-0.907193,0.206564,-0.012053,-1.32753,1.40453,-0.226896,-0.085119,-1.60269,0.563893,3.20929,1.0435,0.30439,-0.028642,-1.75265,-0.531569,1.76371,1.63773,-0.12811,-0.263244,-0.427738,-1.26244,1.94943,0.583746,-0.431397,0.015745,0.394814,-1.12128
F,0.486905,0.282601,-0.422701,-1.19735,-0.066241,1.18501,-0.63584,0.096454,-0.679594,0.101216,1.09874,-0.442686,0.859295,0.465046,-0.019951,-1.50137,-0.210693,-0.543413,0.259695,-2.81002,1.29685,-0.104955,0.230257,1.05278,-0.769534,-0.005755,1.48213,-0.298782,-0.25915,0.858919,1.45765,0.168165,-1.44921,0.977141,0.413872,0.642919,1.05626,-0.045139,-1.07907,0.961706,1.25196,-0.375952,-0.410578,0.012152,-0.148625,0.26429,-0.368065,0.180453,0.135833,0.478905
T,1.93079,0.028891,-0.349665,0.685269,0.93623,1.20607,1.01743,1.382,-2.27987,-0.405644,-0.70534,-0.816522,1.37814,2.0169,0.028395,-0.956651,0.335435,-1.79702,0.446307,-1.38818,0.462199,-1.53802,1.17087,1.40426,-1.74261,0.524179,-0.759415,0.830248,0.460102,1.22298,-0.548488,1.67156,0.784057,0.993891,-2.99346,-0.462045,-0.662504,1.04794,-0.604908,1.46543,0.26056,1.39293,0.373388,1.77681,0.091651,1.65094,1.07145,0.221812,1.96086,-0.651215
F,-0.976049,0.005807,0.479983,-0.204359,-1.54675,0.747802,-0.794348,-0.619891,-0.161914,-0.692239,2.4,0.748909,-0.963078,-0.543412,-0.903596,0.261807,-1.16085,0.152155,-0.970359,0.70428,0.170894,-0.637474,-0.665131,0.058219,-0.142769,1.4066,0.534473,-0.402997,-0.58874,0.693757,-0.181919,-0.946359,-0.184692,0.563663,-0.744242,1.19394,0.024033,-1.01048,0.333194,-0.472886,1.79358,-1.20301,-0.403777,-0.339011,-0.453917,-2.17991,0.368234,-1.13726,-1.03347,0.181151
T,1.15644,-0.841535,1.39596,1.20423,-0.01739,0.846169,1.05802,-1.31616,-1.42771,-1.76412,-0.623567,-1.5901,1.10892,1.88703,0.118521,-0.354568,0.906032,-2.12205,0.890372,-0.965853,-0.604493,-1.83617,-0.314277,1.401,-2.01284,0.216448,-0.897567,0.921093,0.869148,0.464584,-0.854182,1.9131,-0.226522,1.54623,-2.18458,0.267354,-2.18015,0.164915,-0.220028,0.118757,0.524759,1.74145,-0.010998,0.249952,0.883036,1.61149,1.1965,-0.067268,1.69289,-1.31814
F,-0.588374,0.96537,-1.13047,-1.08521,-1.23846,0.661823,-0.953479,-1.21942,1.5115,-2.15251,0.979544,0.737611,-0.52983,0.006184,0.752718,1.24217,-0.506791,-1.59887,-1.5389,-0.261883,1.0272,1.52378,-1.03129,-0.002748,0.69997,1.64366,1.22099,-0.298926,-1.26659,-1.54262,2.41727,-0.754156,-0.893906,0.355042,0.667483,0.663459,1.96852,-1.04205,-0.005845,-0.682842,1.19745,0.459145,1.7073,-1.13522,0.184215,0.750454,-0.858483,-0.145271,-0.339901,-0.692957
T,1.38068,-0.159962,0.00593,0.73714,1.30253,0.989219,1.10446,1.46816,-1.13042,0.944801,-1.52505,-2.16295,0.581662,1.86499,-0.960517,-0.80766,0.881497,0.143258,1.72534,-1.01638,-0.719822,-1.0017,2.26875,0.86971,-2.03385,-0.638278,-1.36961,0.902517,0.4267,1.80047,-0.497923,1.67066,-0.117372,0.50106,-1.89596,-0.659941,-1.18195,1.66318,-0.055981,0.809126,-0.745262,1.03875,-0.401013,1.05099,-0.299918,1.23269,0.49416,-1.84241,1.715,0.214451
F,-1.3067,-1.10221,-1.18073,0.043436,-0.248891,-0.479575,-0.698936,0.370383,-0.918946,1.44681,-0.369044,0.79234,-0.4213,-0.58444,-0.476931,1.71931,-1.69609,1.18801,-2.15622,-0.664501,1.26543,-1.13281,0.665496,0.022514,-1.51794,1.50002,0.870428,-1.58238,0.092227,0.572767,1.97977,-1.197,0.637212,0.717756,-1.59945,1.22922,0.697892,-0.829427,-1.59106,0.004493,1.20635,0.889422,0.964592,-1.6917,-1.43038,0.397629,-0.38402,-1.77972,-1.34788,1.3738
T,1.02923,1.12213,1.16443,0.424935,1.02885,0.388392,1.64426,1.45326,-0.246093,-1.04612,-1.36135,0.682479,0.76906,1.92245,-1.38985,0.504243,1.25693,-1.19926,-0.396763,-0.508545,-1.02825,-0.800439,1.61748,-0.73691,-1.25106,-0.196093,-1.15353,1.60756,-0.498545,0.053219,-0.703214,1.27091,1.63418,-0.000862,-0.467866,-0.332635,-1.03423,-0.07275,1.34646,0.869223,-0.166126,1.08419,0.171311,0.042012,1.20275,0.146534,0.485389,-0.993093,1.47589,-0.469175
F,0.684712,0.007626,0.039428,0.265867,0.032127,0.763646,0.101192,0.105264,-0.954375,-0.840731,-0.122111,0.306087,-1.00087,0.640185,0.355437,-1.07947,0.006657,-0.338192,0.045429,1.01753,1.22342,-0.685216,-0.4096,0.518608,-0.471209,-0.707746,0.47261,0.152458,-0.039219,0.348172,1.10982,0.116041,-1.89634,0.956467,-0.016207,-0.035818,0.208339,-1.17748,-0.71134,-0.276903,-0.150323,-1.55652,-0.220475,0.549622,0.611979,-2.1328,-1.20351,-0.669103,0.329651,0.835484
T,1.01476,0.661881,0.049608,1.04822,0.734016,0.758376,2.02629,0.807683,-0.896482,-1.4068,-1.78412,-1.15048,-0.511382,1.7931,-0.722755,-1.20592,1.07628,-1.24817,1.04415,-0.755224,-0.919683,-1.24409,0.75711,0.11835,-0.84189,-0.571026,-0.797578,1.67565,0.466268,0.74524,-0.280458,1.282,0.340146,1.17075,-0.565699,-1.16158,-1.09438,0.324683,0.942232,1.10273,-1.20959,0.542042,-0.114749,1.48493,0.850914,1.5073,-0.587023,-0.389259,1.59977,-0.213884
F,-0.178935,0.634691,0.043344,-0.720749,-1.02121,1.24154,0.316226,-0.235008,-0.219566,-0.58465,-0.517352,-1.1886,-0.217717,0.478516,1.01698,-0.843946,-0.39052,-0.863918,-0.266028,-0.193349,0.887112,0.75368,-1.61056,0.775716,-0.383185,0.042235,0.269774,0.082363,0.818666,-0.065855,0.813798,-0.158787,-1.10579,1.7029,-0.222886,-0.50594,-0.373964,-1.0611,0.03718,0.48254,-1.17576,0.509874,0.771953,0.846316,0.735404,1.50916,-0.766818,1.21795,0.169007,-0.145447
T,-0.101042,1.02318,-0.129948,0.435586,-0.311702,1.26729,0.750946,-1.13995,0.398588,-1.58673,-0.78385,-1.85838,-0.396195,0.379343,-1.72185,-1.41877,-0.284693,-0.409339,-0.546999,-0.559451,0.599401,-0.622999,0.519834,1.24175,0.874881,-0.898992,-0.05353,0.49751,0.64537,0.736467,-0.543267,-0.888453,-2.47448,1.236,0.084462,-2.05427,-2.30359,0.611322,1.44482,1.8499,-0.420273,-0.227679,0.838549,1.47056,1.80204,0.45092,-0.478573,-1.3947,0.382122,-0.10535
F,-0.633022,0.382988,0.383361,0.608344,-0.460694,0.763825,0.189036,-0.065456,-1.27301,-0.239024,0.587315,1.02459,-0.347229,-0.311375,-0.03181,1.09922,-1.79101,-1.12692,0.301681,1.43779,0.855435,-0.082065,0.110594,0.161462,-0.377808,0.521786,0.649353,-0.665845,0.036234,-0.553948,1.52931,-0.667622,-0.211401,0.773986,-0.007746,0.25993,1.2427,-1.36905,-0.26874,0.354142,0.835825,-0.340824,0.692971,-0.238193,0.081048,-0.605225,-0.876066,1.1327,-0.426498,0.044678
T,1.02874,1.12144,-0.167978,2.79307,0.205022,0.868894,1.62459,-0.629941,-2.49923,-1.60027,-0.416893,-0.749753,-0.880757,0.505664,-0.163824,-0.965117,-0.730527,-0.951879,1.22071,0.778691,-1.71989,-1.58774,-0.887962,0.449207,-1.6672,-0.348296,-0.787126,-0.157766,0.671953,1.30297,-1.01739,0.146856,1.88675,1.33197,-1.08443,0.696892,-0.667981,1.45635,0.422264,-1.05944,0.550308,0.436392,-1.35502,2.08643,0.099055,0.879689,1.39179,0.262476,0.396182,-0.769175
F,0.255625,0.739086,-0.74247,-0.86651,-1.63042,1.35067,0.03872,-2.01713,0.702935,-2.11258,0.673107,0.225784,-0.606112,-0.518572,0.035253,0.589093,-1.63708,-1.24245,-0.122837,-0.173389,1.54542,0.060163,-0.653228,0.608616,0.384847,1.09205,1.20142,-0.947733,-0.210832,-0.58426,1.63845,-0.735197,-0.938629,0.679419,0.927688,0.400474,1.32619,-0.510507,0.26825,-0.604839,0.620691,-0.311932,0.576401,-0.888186,-1.13168,0.450727,-0.722587,-0.725186,-1.07036,-0.117862
T,2.08865,0.01576,-0.411039,1.24517,1.17427,1.39303,1.48417,0.479083,-2.22404,0.401988,-0.968595,-1.24503,1.12853,1.84852,0.071298,-1.34978,0.226412,-0.386449,1.32142,-0.801563,-0.467391,-2.37412,1.52875,1.33453,-2.98966,0.16991,-0.90588,0.511837,-0.528005,1.70515,-0.189661,1.75219,0.778822,0.991384,-1.83389,-0.905278,-0.567127,1.55311,-0.901389,0.900665,0.500758,1.37572,0.239245,1.81348,0.226003,1.71084,0.452114,0.351535,1.63741,0.005524
