normal,gene1635,gene1328,gene1014,gene1370,gene377,gene1154,gene1325,gene1004,gene972,gene1256,gene1473,gene1546,gene391,gene639,gene1843,gene493,gene979,gene419,gene1772,gene739
F,-1,1,-1,0,0,0,1,-1,1,1,1,0,1,0,-1,1,1,-1,0,0
T,1,0,-1,0,1,1,0,0,1,-1,0,-1,0,0,1,1,0,0,-1,1
F,-1,1,-1,1,1,1,-1,-1,1,-1,1,0,-1,-1,0,1,1,0,-1,-1
T,0,1,-1,0,1,1,0,0,1,-1,1,-1,-1,-1,0,1,0,0,-1,1
F,0,1,0,-1,-1,-1,0,0,-1,1,0,0,0,0,0,-1,-1,1,1,-1
T,1,1,0,-1,1,-1,0,0,0,-1,0,-1,-1,-1,1,1,0,1,0,1
F,-1,1,-1,1,0,-1,1,-1,1,0,0,0,1,0,-1,-1,1,1,0,-1
T,0,1,0,0,1,-1,-1,0,1,-1,-1,0,-1,-1,0,1,0,0,-1,1
F,-1,1,1,0,-1,1,1,-1,0,0,1,1,1,-1,-1,-1,1,-1,1,-1
T,1,1,0,0,1,-1,0,1,-1,0,0,0,-1,0,1,1,-1,1,-1,1
F,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,-1,-1,1,1,1,-1
T,0,0,0,-1,0,1,1,0,1,-1,0,-1,0,0,1,1,0,0,-1,1
F,0,1,-1,0,0,0,1,0,-1,-1,0,1,0,1,0,0,-1,0,1,0
T,1,1,-1,-1,1,1,-1,0,0,-1,0,-1,-1,0,1,1,0,1,-1,1
F,0,1,0,-1,-1,0,1,-1,-1,0,0,1,0,0,-1,0,0,0,1,-1
T,0,1,0,0,0,1,-1,1,0,0,0,-1,-1,0,0,1,0,1,1,-1
F,-1,0,0,1,1,0,1,-1,0,0,0,-1,1,0,0,0,1,-1,1,0
T,1,1,0,1,1,1,1,0,1,-1,-1,-1,1,-1,0,1,0,1,-1,0
F,-1,1,0,1,-1,0,1,-1,1,-1,1,1,1,0,-1,0,1,-1,1,-1
T,1,1,0,0,1,-1,0,0,1,-1,-1,-1,-1,0,1,1,0,1,0,1
F,-1,1,-1,1,0,0,1,-1,0,0,1,-1,1,1,-1,0,0,-1,0,-1
T,1,1,-1,0,0,1,0,0,0,-1,0,-1,0,0,1,1,0,1,-1,1
F,0,1,1,-1,-1,-1,-1,-1,0,1,0,1,1,0,-1,-1,0,1,1,-1
T,1,1,0,-1,1,0,-1,0,0,-1,-1,-1,0,0,0,1,0,1,-1,0
F,-1,-1,0,0,-1,-1,1,-1,0,1,0,1,0,1,-1,0,0,0,1,-1
F,-1,-1,0,0,-1,-1,1,0,-1,1,1,-1,0,1,-1,-1,0,-1,0,-1
F,0,-1,-1,-1,-1,1,1,0,-1,1,1,-1,1,1,1,-1,1,0,0,1
F,-1,-1,1,1,-1,0,1,-1,-1,1,1,0,0,1,-1,-1,1,-1,1,-1
F,0,-1,-1,1,-1,0,0,0,1,1,1,-1,1,1,0,-1,1,0,0,0
F,-1,-1,-1,1,0,-1,1,0,0,1,1,0,1,1,0,-1,1,0,-1,0
F,-1,-1,-1,0,-1,1,0,-1,0,0,1,0,1,1,0,-1,1,0,-1,-1
F,1,-1,1,1,-1,0,1,0,1,1,0,1,1,1,1,-1,1,0,1,0
F,0,-1,1,1,-1,-1,1,0,1,1,0,1,1,0,0,-1,1,0,1,1
F,-1,-1,0,1,-1,0,0,-1,-1,1,1,0,0,1,0,-1,0,-1,0,-1
F,-1,-1,0,-1,-1,1,1,0,0,1,1,0,1,1,-1,0,1,-1,0,0
F,-1,0,1,-1,-1,-1,1,0,-1,0,1,1,1,1,0,-1,0,-1,1,-1
F,0,-1,-1,1,-1,-1,1,0,1,1,1,0,0,1,-1,-1,1,1,0,-1
F,-1,0,1,-1,-1,-1,1,-1,-1,0,1,1,0,1,-1,-1,1,-1,1,0
T,1,0,0,-1,1,1,-1,1,0,1,-1,0,-1,0,1,1,-1,1,0,1
F,-1,0,1,1,0,0,0,0,-1,1,0,-1,1,-1,0,-1,1,-1,1,0
F,-1,-1,0,-1,-1,1,0,-1,-1,-1,1,0,0,-1,-1,-1,-1,0,0,0
T,1,0,0,0,1,0,-1,1,0,-1,-1,-1,-1,0,1,0,-1,1,0,1
T,1,0,0,0,1,1,-1,1,1,-1,0,0,0,-1,1,1,0,-1,-1,1
F,-1,0,1,1,-1,-1,1,1,1,1,0,1,1,1,0,-1,1,0,0,0
F,1,-1,-1,0,0,0,-1,1,1,0,0,-1,0,1,1,0,0,1,-1,0
F,-1,-1,1,0,-1,-1,1,0,1,0,0,0,1,0,-1,-1,1,-1,1,0
F,0,1,1,-1,-1,0,1,1,0,1,1,1,0,-1,-1,-1,-1,-1,1,-1
T,1,-1,0,-1,1,1,-1,1,1,-1,0,0,-1,0,1,0,-1,1,-1,1
F,1,-1,-1,-1,1,0,1,1,1,0,-1,-1,0,0,1,1,-1,-1,-1,1
T,1,1,0,-1,0,1,0,1,0,-1,-1,0,-1,0,1,1,-1,0,-1,1
T,0,0,0,0,0,0,0,0,1,1,-1,-1,0,-1,0,0,0,0,-1,0
F,-1,1,1,0,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,0
F,0,0,0,-1,-1,0,0,-1,-1,0,0,1,0,-1,-1,-1,-1,0,1,1
T,1,0,0,0,0,1,-1,0,0,-1,0,0,-1,-1,1,0,-1,0,-1,0
T,0,0,0,0,0,-1,-1,0,0,1,-1,0,-1,0,1,-1,0,1,-1,0
F,1,0,1,1,1,0,-1,1,-1,0,0,0,-1,-1,1,0,-1,0,0,1
F,-1,1,0,1,-1,1,-1,-1,-1,0,1,1,-1,-1,0,0,-1,0,0,-1
