normal,gene1635,gene1328,gene1014,gene1370,gene377,gene1154,gene1325,gene1004,gene972,gene1256,gene1473,gene1546,gene391,gene639,gene1843,gene493,gene979,gene419,gene1772,gene739,gene1196,gene1668,gene766,gene625,gene765,gene698,gene1799,gene1042,gene453,gene1894,gene1943,gene1353,gene1884,gene1892,gene1549,gene1970,gene1582,gene1912,gene581,gene1924,gene1870,gene411,gene897,gene627,gene137,gene286,gene1334,gene1733,gene229,gene1411,gene1387,gene564,gene1372,gene1451,gene732,gene14,gene772,gene249,gene1803,gene1058,gene1959,gene1898,gene359,gene1534,gene1231,gene1887,gene354,gene1671,gene1346,gene1366,gene1209,gene1326,gene1967,gene561,gene1347,gene1771,gene1032,gene1810,gene1406,gene807,gene1920,gene513,gene1423,gene1210,gene1897,gene1108,gene1466,gene1472,gene345,gene812,gene1886,gene1574,gene1727,gene67,gene138,gene245,gene1836,gene1938,gene365,gene1570,gene1873,gene1679,gene166,gene187,gene1839,gene1247,gene601,gene1244,gene1730,gene66,gene515,gene1285,gene1757,gene1282,gene571,gene221,gene235,gene1649,gene780,gene1153,gene1286,gene1614,gene293,gene1573,gene190,gene994,gene548,gene626,gene1414,gene1579,gene1674,gene622,gene1555,gene267,gene1993,gene295,gene1194,gene1916,gene964,gene1939,gene1494,gene1871,gene72,gene1263,gene40,gene648,gene1511,gene1560,gene1060,gene529,gene1761,gene989,gene802,gene992,gene1260,gene1348,gene1114,gene1111,gene792,gene284,gene1867,gene41,gene1296,gene1554,gene1960,gene1991,gene1563,gene1808,gene1421,gene920,gene1360,gene1770,gene822,gene550,gene1047,gene1900,gene399,gene1023,gene78,gene510,gene892,gene49,gene663,gene169,gene451,gene610,gene42,gene1404,gene1985,gene1221,gene910,gene62,gene1608,gene1974,gene1109,gene1634,gene953,gene834,gene1597,gene39
F,-1,1,-1,0,0,0,1,-1,1,1,1,0,1,0,-1,1,1,-1,0,0,1,1,0,0,0,-1,0,0,1,-1,0,0,-1,0,-1,0,1,0,0,1,0,0,-1,1,1,0,0,0,0,0,1,1,1,0,1,-1,-1,0,0,-1,1,-1,-1,1,-1,0,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,0,1,1,0,0,0,-1,-1,0,1,1,1,0,-1,0,0,0,-1,0,0,0,1,-1,0,1,0,0,0,-1,1,0,0,0,-1,0,1,0,0,1,1,0,0,1,-1,0,1,1,0,0,0,-1,1,0,0,1,-1,0,0,1,0,0,0,-1,-1,0,-1,-1,1,1,0,0,0,1,-1,-1,1,0,0,0,-1,0,0,1,1,1,1,-1,0,-1,0,0,-1,0,0,0,0,-1,1,-1,-1,1,0,1,-1,0,0,0,-1,0,1,0,1,0,-1,-1,1,0,1,1,-1,0,0,1
T,1,0,-1,0,1,1,0,0,1,-1,0,-1,0,0,1,1,0,0,-1,1,1,1,0,0,1,-1,0,-1,0,1,0,0,1,1,-1,0,-1,-1,0,0,0,-1,1,-1,1,1,-1,-1,1,1,1,1,-1,1,1,0,-1,1,1,0,0,0,-1,0,0,-1,0,-1,-1,-1,-1,0,1,-1,0,-1,0,-1,0,1,-1,-1,1,0,1,0,-1,-1,0,0,-1,0,0,1,-1,1,1,-1,-1,0,1,0,1,-1,-1,1,1,0,-1,1,-1,1,0,1,-1,1,0,1,-1,0,0,1,0,0,0,-1,0,-1,0,-1,1,-1,0,1,-1,1,0,-1,0,0,1,-1,-1,-1,1,0,0,0,-1,0,0,-1,0,1,-1,0,1,0,1,1,-1,1,0,1,0,-1,-1,-1,1,1,1,0,1,-1,1,-1,-1,1,0,-1,1,1,1,0,1,0,1,1,0,-1,1,-1,0,1,0,0,1,0,-1,1
F,-1,1,-1,1,1,1,-1,-1,1,-1,1,0,-1,-1,0,1,1,0,-1,-1,1,1,-1,0,0,-1,-1,-1,1,0,-1,1,0,-1,-1,1,1,-1,1,0,1,-1,0,0,1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,0,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,0,0,-1,0,0,1,0,-1,-1,0,-1,1,-1,-1,-1,-1,1,-1,0,0,0,-1,-1,-1,0,1,1,0,-1,-1,0,-1,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,0,0,-1,-1,0,-1,1,0,-1,0,-1,-1,-1,0,0,-1,1,-1,1,0,-1,0,-1,-1,-1,0,0,-1,-1,-1,0,1,1,1,1,0,0,0,1,0,-1,0,-1,0,-1,-1,0,-1,-1,0,1,0,0,-1,1,0,1,1,1,1,-1,0,1,1,-1,0,-1,-1,0
T,0,1,-1,0,1,1,0,0,1,-1,1,-1,-1,-1,0,1,0,0,-1,1,0,1,0,0,1,-1,-1,-1,1,0,0,0,-1,0,-1,0,-1,-1,0,1,1,0,1,-1,1,1,-1,1,1,-1,1,1,-1,0,0,-1,0,1,-1,1,0,-1,-1,0,0,-1,1,-1,-1,-1,-1,-1,1,0,0,-1,-1,0,-1,0,0,-1,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,0,1,1,-1,0,1,1,0,-1,-1,-1,0,0,-1,-1,0,1,0,0,-1,-1,1,0,-1,0,1,-1,1,0,-1,-1,0,-1,-1,0,1,0,0,0,-1,0,-1,1,0,-1,0,-1,0,-1,1,0,-1,0,-1,1,0,-1,0,0,1,0,0,0,1,-1,-1,1,0,1,-1,1,-1,-1,0,1,1,-1,1,-1,0,-1,-1,1,-1,-1,-1,1,0,0,-1,1,1,1,-1,-1,1,-1,1,1,0,0,0,-1,0,1
F,0,1,0,-1,-1,-1,0,0,-1,1,0,0,0,0,0,-1,-1,1,1,-1,0,1,-1,0,0,0,1,1,1,-1,-1,-1,0,0,1,0,0,0,0,0,1,0,-1,0,0,0,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,1,1,0,-1,0,0,1,1,0,0,0,0,0,0,1,1,-1,-1,0,-1,1,0,0,0,1,1,-1,0,0,1,0,1,0,1,0,0,1,0,0,-1,-1,0,1,0,0,-1,0,0,0,0,-1,-1,0,1,1,-1,-1,1,0,1,0,-1,-1,1,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,1,-1,1,0,0,-1,0,1,1,0,0,0,1,-1,0,1,0,-1,1,1,1,0,1,0,-1,-1,-1,-1,-1,0,-1
T,1,1,0,-1,1,-1,0,0,0,-1,0,-1,-1,-1,1,1,0,1,0,1,-1,1,0,-1,1,0,-1,-1,1,0,1,-1,1,1,-1,0,1,0,-1,1,0,1,1,-1,1,1,-1,1,-1,1,1,0,-1,1,1,1,0,1,-1,1,-1,-1,0,1,1,-1,0,-1,1,-1,-1,1,0,1,1,-1,-1,-1,-1,0,-1,-1,1,1,1,0,1,-1,1,1,0,1,0,0,-1,1,0,1,0,1,1,-1,1,0,-1,1,-1,1,-1,1,0,0,0,1,0,0,-1,0,-1,-1,1,1,-1,0,-1,-1,1,1,0,-1,0,0,1,1,0,-1,-1,-1,-1,0,1,1,0,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,-1,0,1,0,0,0,1,0,0,1,0,-1,-1,0,0,-1,-1,-1,0,1,1,1,1,0,1,0,1,1,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,1
F,-1,1,-1,1,0,-1,1,-1,1,0,0,0,1,0,-1,-1,1,1,0,-1,0,1,1,1,-1,-1,0,0,1,0,0,1,-1,-1,0,-1,0,0,-1,-1,1,-1,-1,1,0,0,0,0,0,0,0,1,1,0,0,-1,0,-1,-1,0,0,-1,1,1,-1,0,1,1,0,1,-1,-1,-1,-1,1,0,0,1,1,1,0,1,0,-1,-1,1,0,0,0,-1,1,0,1,-1,1,-1,-1,1,0,-1,0,1,0,0,0,-1,0,0,0,0,0,-1,1,0,0,-1,0,-1,0,-1,-1,0,0,1,0,0,-1,0,1,0,0,-1,0,-1,-1,1,-1,1,1,-1,-1,-1,1,0,-1,0,1,0,-1,1,-1,0,1,0,1,1,-1,-1,-1,1,-1,-1,0,0,0,0,1,1,-1,0,1,0,-1,0,0,1,0,1,0,0,-1,0,1,-1,-1,1,-1,0,-1,-1,0,1,-1,-1,1,0,0,0,-1,-1
T,0,1,0,0,1,-1,-1,0,1,-1,-1,0,-1,-1,0,1,0,0,-1,1,0,1,1,-1,1,0,-1,-1,1,1,1,0,0,-1,-1,0,0,0,-1,1,-1,-1,1,0,1,0,-1,-1,-1,0,1,1,-1,1,0,1,1,1,-1,1,-1,-1,0,0,0,-1,1,-1,-1,0,0,1,1,1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,0,1,0,1,0,1,-1,1,-1,1,0,1,0,-1,1,-1,-1,1,0,0,-1,0,0,0,1,1,-1,-1,-1,1,-1,-1,1,0,1,0,-1,-1,1,0,0,-1,1,1,1,1,0,-1,-1,-1,-1,1,0,1,1,-1,1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,1,0,0,0,0,1,1,0,-1,0,1,0,0,0,-1,-1,1,-1,-1,-1,0,0,1,1,0,0,1,1,0,1,1,-1,1,-1,0,0,0,1,0,-1,-1,-1,1,1
F,-1,1,1,0,-1,1,1,-1,0,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,0,1,0,1,0,1,0,-1,0,1,-1,-1,0,-1,1,1,1,1,1,-1,-1,1,-1,-1,0,-1,0,-1,-1,0,0,-1,1,-1,-1,-1,0,0,1,0,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,0,1,-1,0,1,-1,1,1,0,0,-1,-1,1,0,-1,-1,1,-1,0,-1,1,0,0,0,1,0,-1,0,-1,1,1,-1,0,-1,-1,-1,1,0,1,-1,1,0,0,1,1,1,1,0,-1,1,0,0,-1,0,1,0,0,-1,-1,0,0,1,1,0,1,-1,-1,-1,0,1,-1,1,1,-1,1,0,0,0,0,1,1,-1,-1,0,1,0,1,-1,-1,1,0,-1,0,1,-1,0,1,0,-1,0,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,0,-1,1,-1,1,0,-1,1,1,0,0,-1,-1
T,1,1,0,0,1,-1,0,1,-1,0,0,0,-1,0,1,1,-1,1,-1,1,-1,1,0,-1,1,0,0,0,1,0,1,-1,1,1,0,1,-1,-1,-1,1,-1,1,0,-1,1,1,0,1,-1,1,1,1,-1,0,0,1,1,1,-1,1,-1,0,0,-1,0,0,0,-1,0,-1,-1,1,0,1,1,-1,1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,1,0,1,0,1,-1,1,0,0,-1,1,0,-1,1,-1,-1,1,-1,0,-1,1,0,0,0,1,-1,1,-1,-1,-1,-1,1,0,0,-1,0,-1,1,0,-1,-1,0,1,1,1,0,-1,-1,-1,-1,1,1,0,0,-1,0,-1,-1,1,-1,-1,0,0,-1,-1,-1,1,1,0,-1,-1,-1,0,0,0,-1,1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,1,-1,1,0,1,1,1,-1,0,-1,1,1,0,-1,-1,0,-1,-1,-1,-1,0,0
