class,Attr3320,Attr6215,Attr5593,Attr5087,Attr1962,Attr3341,Attr2439,Attr2121,Attr5984,Attr2363,Attr2288,Attr1144,Attr804,Attr6184,Attr6281,Attr3252,Attr1882,Attr668,Attr1779,Attr6201,Attr6347,Attr1829,Attr490,Attr4847,Attr3729,Attr1933,Attr1674,Attr3647,Attr396,Attr5823,Attr3012,Attr6677,Attr7119,Attr3605,Attr5932,Attr6803,Attr695,Attr2546,Attr412,Attr4609,Attr5062,Attr2137,Attr4951,Attr1135,Attr2111,Attr4196,Attr4167,Attr1834,Attr6200,Attr6477,Attr4973,Attr6919,Attr2394,Attr2020,Attr770,Attr6797,Attr2402,Attr590,Attr6021,Attr400,Attr3004,Attr1745,Attr3130,Attr5772,Attr2475,Attr6806,Attr6645,Attr4903,Attr3258,Attr5377,Attr1087,Attr1817,Attr3904,Attr4328,Attr4664,Attr4499,Attr1802,Attr5274,Attr4052,Attr2485,Attr2084,Attr6967,Attr4697,Attr1291,Attr6801,Attr2043,Attr3507,Attr2645,Attr6162,Attr5723,Attr6283,Attr1630,Attr6257,Attr5039,Attr4504,Attr6094,Attr3336,Attr321,Attr275,Attr1147
F,-0.220595,-0.389158,0.9213,1.76245,0.257098,-0.171669,1.20838,-0.604218,0.154594,-0.944004,-0.587803,-0.000996,0.541643,0.408718,0.749782,-0.724608,-0.504374,2.39355,-0.527772,-0.532485,2.41914,-0.714318,1.33268,-0.661837,-0.390271,1.11619,-0.831279,-2.30751,-0.775541,0.306318,-0.887425,-0.378033,1.08633,-0.470329,0.077479,-0.848447,-0.541619,-0.502294,0.821105,1.53349,1.46734,-0.661439,-0.936091,-0.9265,-0.997159,-1.05983,1.61509,-0.457315,-0.409105,1.75939,1.1624,-0.729239,-0.339015,-0.71722,-1.49076,-0.680772,-0.423939,-0.16021,0.582311,0.282783,-0.985834,-0.590146,0.398007,0.282473,0.942682,-0.748313,0.126408,-0.533238,-0.575296,-1.30301,-0.428808,-0.22819,2.96255,0.014207,-0.645439,-0.175085,-0.167875,-0.420603,-0.5894,-0.367618,0.468976,-0.828451,-2.91053,-0.399007,1.2243,-0.631272,-0.173663,-0.188671,-0.228219,-0.56837,1.82346,-0.296631,2.1884,-0.066387,-0.823608,0.774059,-0.149107,-0.677593,0.383204,0.942965
F,-0.408508,-0.408356,-0.5017,0.025594,0.030359,-0.286596,-0.676527,-0.293615,0.007397,-0.086804,-0.514951,0.534197,-0.079822,-0.163314,-0.099772,-0.589524,-0.327348,0.620433,-0.540885,0.382085,-0.835864,-0.192467,2.3862,-0.667077,0.801949,2.47367,1.04445,-0.846367,0.574644,1.16338,-0.886608,-0.672324,-0.593272,0.579766,0.486299,0.056059,-0.658561,-0.617485,1.05748,0.333407,0.453798,-0.424181,0.514732,-0.269497,1.10518,0.008703,-0.284158,-0.851959,0.055985,-0.205162,-0.208466,-0.484845,-0.034835,0.322441,0.343471,0.245112,-0.50399,1.01,0.544498,-0.90254,-0.233726,-0.280799,-0.284807,-0.812226,2.32907,-0.151483,-0.567059,0.231699,-0.587984,0.101105,-0.310982,-0.189473,-0.784382,0.075228,-0.146713,-0.554135,-0.757566,-0.139972,-0.465831,-0.990296,-0.95917,0.033647,0.013953,-0.10279,-0.385751,0.422411,0.760261,-1.09213,-1.42105,0.37862,-0.160631,3.03609,-0.344555,-0.584471,1.14268,-0.449087,0.093272,-0.020872,0.989221,-0.629479
F,-0.015344,0.014497,0.464971,1.27892,-0.813048,0.673574,-0.161472,-0.121384,0.186647,-0.971744,-0.610309,2.02583,1.49521,0.845823,0.322379,-0.640081,-0.516731,0.037763,-0.554255,-0.543186,0.253612,-0.877052,2.27833,-0.6691,-0.316171,-1.17025,-0.796445,-2.0317,-0.62577,0.254231,-1.15558,0.50425,-0.407801,0.238888,-0.651571,-0.122842,0.489827,-0.746725,-0.45216,-0.216496,-0.533837,-0.70103,-0.261234,0.762637,-1.28755,-0.986148,1.4705,-0.393879,-0.49866,1.50227,-1.16287,-0.652163,-0.6625,0.306202,-1.66695,-0.149671,-0.354506,-0.329882,-0.438776,-0.898393,-0.188677,-0.96515,2.67163,0.831413,1.77538,-0.437522,0.92329,-0.667713,-0.539666,0.181277,0.475936,-0.317318,0.139214,1.86589,-0.269504,-0.307837,-1.5301,0.741594,-0.751157,-0.129496,0.138684,-0.744678,-1.38727,-1.7503,2.38339,-0.583152,-0.257373,-0.225763,-0.22949,-1.53737,0.769729,2.7557,-0.48764,-0.198138,0.53143,0.297362,0.903001,-0.720945,1.92356,-0.472983
F,-0.423074,-0.195863,-0.620525,0.622835,2.195,-0.327019,0.78401,-0.712532,0.029181,-0.449502,-0.591665,-0.30018,-0.012533,0.509054,0.379488,-0.58836,-0.604415,-0.631159,-0.537684,-0.54047,0.396707,-0.349703,-0.408326,-0.383181,-0.110619,0.299374,-0.56639,-0.618918,-0.224611,-0.158238,-0.311491,0.207107,-0.260879,-0.858813,-0.592054,-0.550678,0.612138,-0.52584,0.484019,0.545551,0.077282,-0.288994,-0.640638,1.07527,-0.860332,-0.966607,0.045091,-0.266203,-0.476836,1.09311,0.875066,-0.662902,-0.558727,-0.147056,-0.396908,-0.593958,-0.399844,0.251095,2.19836,-0.076736,0.40164,0.184016,-0.300068,1.46889,0.566363,-0.561231,0.992159,-0.378177,-0.515515,0.015393,0.294984,-0.570951,0.284293,0.355135,-0.463589,0.430651,0.162475,0.734696,-0.265795,0.721785,0.127417,-0.748538,-0.832636,-0.37199,2.23701,-0.533538,-0.121629,1.41438,-1.31906,-0.322718,1.39987,0.016091,1.08295,0.213462,-0.315521,0.412028,-0.245708,-1.01382,0.025597,1.46714
F,-0.546663,-0.520301,-0.168403,1.56086,1.67664,-1.07085,0.551514,-0.692148,0.359131,0.426057,-0.413875,-0.242407,-0.395435,0.337293,0.849345,-0.657389,-0.577211,-0.611098,-0.380975,-0.582557,0.413373,0.069398,-0.119112,-0.420005,0.26121,0.857307,-0.265192,-0.23188,0.052793,1.59744,0.453441,-1.38768,-0.576936,-0.470116,-0.42078,-0.066341,-0.212575,-0.02645,0.130242,0.799446,1.63298,0.343921,-0.673621,1.14792,-0.20985,1.57688,1.14466,-0.188082,-0.457344,-0.529796,1.4909,0.226273,-0.346294,-0.644055,0.026507,0.024584,-0.402617,1.16607,1.70314,0.983463,-0.232172,-0.184782,0.183953,0.385429,0.690569,-0.067157,-0.306927,0.266322,-0.320473,-0.437026,1.52768,-0.33977,0.362237,0.910636,-0.207089,-0.690236,0.875358,0.636449,-0.138044,0.869328,1.55948,-0.252114,-1.28273,0.138579,1.17895,-0.461198,2.31603,1.22675,-1.16529,-0.042602,-0.015983,-0.230844,0.630167,-0.26228,-0.076413,-0.331899,0.475315,-0.788129,-0.205282,-0.426358
F,-0.527014,-0.299403,0.872557,-0.202484,-0.755564,0.134634,-0.572504,-0.43353,0.667296,-0.896146,-0.469759,2.25046,0.476815,1.61161,0.020094,-0.595599,-0.339436,-0.399141,-0.500839,-0.53431,-0.214945,-0.732004,0.902521,-0.626451,-0.884727,-1.16322,-0.767445,-0.600914,-0.570672,-0.615553,-0.44109,0.481847,0.410213,-0.899105,-0.532523,-0.128933,0.6939,-0.748703,-0.997399,-0.420447,-0.103007,0.240318,-0.091873,-0.626581,-1.26471,-0.884298,0.458709,-0.653673,-0.450308,-0.215299,-0.221841,-0.157987,-0.53177,-0.517678,-1.74348,-0.01604,-0.392244,-0.260405,0.130667,-0.333241,-0.419163,-0.535866,-0.962576,0.296857,-0.277381,0.040487,0.24116,0.994615,-0.926414,1.11536,-0.411732,-1.8372,-0.182515,0.437184,0.117955,-0.632782,-1.43406,1.14953,-0.8255,-0.49614,-0.046285,-0.221612,-0.57444,-1.31175,1.90772,-0.460973,0.262622,0.003692,-0.282012,-0.76184,0.540009,1.68673,0.264531,-0.481077,0.23175,-0.358977,0.158135,-0.623372,0.565763,-0.410583
F,-0.261331,-0.163119,-0.718502,-0.165485,1.38389,-0.307096,-0.084384,-0.07306,-0.193151,-0.423158,-0.577604,-0.334498,0.440547,1.92858,-0.206691,-0.521803,-0.584201,-0.657949,-0.534178,-0.550643,0.070197,-0.24752,0.150246,-0.76256,0.022755,-0.560113,-0.9869,0.159941,-0.554207,-0.037688,-0.904241,0.445676,-0.542422,-0.432142,-0.382556,-0.590074,0.500892,-0.4709,0.361164,0.089417,-0.519744,-0.272551,-1.19795,-0.253921,-1.02369,-0.955245,0.23464,-0.677404,-0.437657,1.59294,-0.600293,-0.675489,-0.402304,-0.248509,-0.598853,-0.628738,-0.408144,-0.715792,1.11915,0.339004,0.304795,-0.542944,0.49631,0.642716,-0.704082,-0.651577,0.713695,-0.338268,-0.35427,0.354065,0.84937,-0.803724,-0.321429,1.05595,-0.454484,-0.044964,-0.174481,-0.345273,1.97658,-0.339908,-0.524144,-0.763879,0.233943,-0.547112,1.90456,-0.548713,-0.283962,-0.304732,-0.07793,0.040206,1.09988,-0.639893,0.574997,-0.199468,-0.848588,0.154961,-0.022093,-0.70627,0.157001,1.6742
F,0.523796,-0.243281,0.028028,0.621654,-0.06126,-0.911094,0.427001,-0.368266,-0.68408,-1.07833,-0.664502,0.184719,0.657472,1.35509,-0.360325,-0.514842,-0.586408,0.409685,-0.563624,-0.493004,0.633071,-1.2218,-0.231168,-0.922927,-0.275387,0.030984,-0.441669,-2.45075,-0.280432,0.903931,-0.784698,0.503363,-0.490341,-0.448447,-0.417462,-0.36474,1.94489,-0.4335,-0.545849,1.1102,-0.563562,-0.684868,0.084071,-0.476176,-0.446094,-1.04071,0.530129,-0.27135,-0.47061,2.38988,1.12953,-0.646943,0.776027,0.500426,-0.85931,-0.406691,-0.322111,0.04113,-0.387048,-1.08704,-0.148718,-0.640702,-0.072946,1.08006,-0.104776,-0.397245,1.06395,-3.09739,-0.452848,0.058944,0.726167,0.895794,1.46002,-0.420616,-1.24277,0.711857,-1.2769,-0.910296,-0.708179,-0.06998,-0.192143,-0.853087,0.756778,-0.614343,1.08025,-0.205669,-0.030426,-1.54128,0.335224,0.243528,1.8159,1.55241,2.28645,0.214722,0.625722,0.543104,-0.477567,-0.424042,-0.720797,0.502545
F,-0.655545,-0.509949,0.052511,2.15338,-0.000159,-1.49922,-0.74091,-0.143726,1.71586,0.117503,-0.578807,3.79036,2.0613,-0.585031,1.65138,-0.731869,-0.515508,0.860225,-0.552197,-0.531316,-0.240493,0.089708,2.54297,-1.01329,-0.171251,-0.547024,-0.329927,-0.933878,-0.582336,1.69886,0.14657,0.223085,0.960384,-0.767937,-0.724626,-0.270796,-0.203135,-0.601477,-0.632995,-0.18642,-0.788102,-0.895416,1.01872,0.057251,-0.320043,-0.876502,0.436035,-0.892837,-0.482132,1.0208,0.292861,-1.11035,-0.199476,-0.686479,-0.092147,-0.328597,-0.361603,-0.005979,0.157371,0.612662,0.752709,-0.844228,-0.881346,0.506947,2.34545,-0.405459,-0.306716,-1.07165,-0.903485,2.31367,0.307497,-0.820882,0.104938,1.74458,-0.631292,-0.537843,-1.2741,2.90868,-0.885639,0.414498,0.175726,0.45333,-1.0088,-0.882109,2.07195,-0.554669,0.009323,0.803011,-1.11305,-1.21037,-0.45467,2.05148,-0.408987,-0.839517,0.168716,1.53545,1.20933,-0.613402,1.76837,-0.834371
F,-0.146853,-0.337565,-0.114494,-0.342527,-0.608021,-0.114091,-0.708906,-0.431831,0.107546,-0.682096,-0.484019,2.32742,0.987127,0.465251,1.55228,-0.591766,-0.459045,0.363414,-0.458701,-0.485352,-0.525513,-0.906874,0.70502,-0.505337,-0.062976,-0.874585,-0.934018,0.118936,-0.821117,-0.956274,-0.291167,-0.335993,-0.245852,-0.236723,-0.544749,-0.321957,-0.937352,-0.167609,-0.8321,0.035406,-0.397978,-0.160806,0.372122,-0.081227,-0.620419,-0.730224,0.562529,-0.516725,-0.479704,-0.73484,-1.2572,-0.375318,-0.391669,-0.219165,-1.38832,-0.497318,-0.538567,-0.778401,-0.953828,0.536188,-0.123421,-0.804795,0.806283,-0.496381,-0.097911,-0.382855,-0.866466,0.182224,-0.271975,0.281332,0.779772,-1.13967,-0.717249,0.902733,-0.335939,-0.227529,-1.15152,-0.370782,-0.880344,0.315866,-0.26208,-0.338532,0.374761,-1.39689,-0.617027,-0.416296,-0.079502,0.210244,-0.608369,-0.147274,0.376796,0.282944,-0.480976,-0.732005,2.03575,-0.219035,0.019724,-0.593752,1.52707,-0.896159
