class,Attr3320,Attr6215,Attr5593,Attr5087,Attr1962,Attr3341,Attr2439,Attr2121,Attr5984,Attr2363,Attr2288,Attr1144,Attr804,Attr6184,Attr6281,Attr3252,Attr1882,Attr668,Attr1779,Attr6201
F,-0.220595,-0.389158,0.9213,1.76245,0.257098,-0.171669,1.20838,-0.604218,0.154594,-0.944004,-0.587803,-0.000996,0.541643,0.408718,0.749782,-0.724608,-0.504374,2.39355,-0.527772,-0.532485
F,-0.408508,-0.408356,-0.5017,0.025594,0.030359,-0.286596,-0.676527,-0.293615,0.007397,-0.086804,-0.514951,0.534197,-0.079822,-0.163314,-0.099772,-0.589524,-0.327348,0.620433,-0.540885,0.382085
F,-0.015344,0.014497,0.464971,1.27892,-0.813048,0.673574,-0.161472,-0.121384,0.186647,-0.971744,-0.610309,2.02583,1.49521,0.845823,0.322379,-0.640081,-0.516731,0.037763,-0.554255,-0.543186
F,-0.423074,-0.195863,-0.620525,0.622835,2.195,-0.327019,0.78401,-0.712532,0.029181,-0.449502,-0.591665,-0.30018,-0.012533,0.509054,0.379488,-0.58836,-0.604415,-0.631159,-0.537684,-0.54047
F,-0.546663,-0.520301,-0.168403,1.56086,1.67664,-1.07085,0.551514,-0.692148,0.359131,0.426057,-0.413875,-0.242407,-0.395435,0.337293,0.849345,-0.657389,-0.577211,-0.611098,-0.380975,-0.582557
F,-0.527014,-0.299403,0.872557,-0.202484,-0.755564,0.134634,-0.572504,-0.43353,0.667296,-0.896146,-0.469759,2.25046,0.476815,1.61161,0.020094,-0.595599,-0.339436,-0.399141,-0.500839,-0.53431
F,-0.261331,-0.163119,-0.718502,-0.165485,1.38389,-0.307096,-0.084384,-0.07306,-0.193151,-0.423158,-0.577604,-0.334498,0.440547,1.92858,-0.206691,-0.521803,-0.584201,-0.657949,-0.534178,-0.550643
F,0.523796,-0.243281,0.028028,0.621654,-0.06126,-0.911094,0.427001,-0.368266,-0.68408,-1.07833,-0.664502,0.184719,0.657472,1.35509,-0.360325,-0.514842,-0.586408,0.409685,-0.563624,-0.493004
F,-0.655545,-0.509949,0.052511,2.15338,-0.000159,-1.49922,-0.74091,-0.143726,1.71586,0.117503,-0.578807,3.79036,2.0613,-0.585031,1.65138,-0.731869,-0.515508,0.860225,-0.552197,-0.531316
F,-0.146853,-0.337565,-0.114494,-0.342527,-0.608021,-0.114091,-0.708906,-0.431831,0.107546,-0.682096,-0.484019,2.32742,0.987127,0.465251,1.55228,-0.591766,-0.459045,0.363414,-0.458701,-0.485352
F,-0.868556,-0.416485,1.35392,1.08435,-0.26614,-0.630573,-0.131443,-0.594995,1.35083,-0.092948,-0.52951,2.00403,0.782958,-0.12586,2.02074,-0.601857,-0.618261,0.682124,-0.526945,-0.349304
F,-0.532135,-0.416626,-0.980416,-0.439165,-0.213425,-1.48313,0.178288,-0.405045,-0.328639,-0.084548,-0.435433,-0.612139,-0.727189,-0.596227,0.249493,-0.518583,-0.511291,-0.485444,-0.259542,0.150087
F,-0.820459,-0.647415,0.812234,0.438257,0.900986,0.17144,2.67321,-0.885089,0.594431,-0.608957,-0.534376,0.159088,2.20634,0.217274,0.898514,-0.720782,-0.580581,2.7017,-0.536069,-0.579023
F,-0.588769,-0.592813,-0.118682,-0.126038,-0.615057,0.447832,-0.871108,-0.247696,-0.005962,-0.91655,-0.533214,0.497909,-0.459888,-0.198025,-0.674661,0.538875,-0.410996,-0.964257,-0.517813,-0.576365
F,-1.09896,-0.727452,0.992462,0.855033,1.72721,-0.598833,1.06305,-0.399029,1.50002,-0.235191,-0.564679,-0.02423,0.363221,-0.390629,1.72033,-0.757284,-0.55176,-0.713526,-0.486394,-0.59817
F,-0.602,0.127353,1.68742,0.472879,0.599497,0.543102,-0.208248,-0.399118,0.751017,-0.601505,-0.519515,0.924778,0.072262,0.529741,1.10359,-0.698955,-0.548036,1.16727,0.080182,-0.584944
F,0.36678,0.306161,0.783965,3.57126,-0.32882,-0.131466,-2.17164,0.357167,0.734171,2.62833,-0.561379,-0.589948,-0.02461,-0.375286,-0.693301,2.91627,-0.509996,0.517695,-0.322968,-0.560959
F,-0.438071,-0.55845,-0.362777,-0.486271,-0.264498,-0.108183,-0.452354,-0.867082,-0.138886,-0.684936,-0.492221,-0.577835,-0.304393,0.477259,0.748316,-0.539429,-0.539016,0.044185,-0.489017,-0.55335
F,0.12718,-0.344173,0.800287,0.297967,-0.062929,0.143711,0.59218,-0.598722,-0.638123,-0.483335,-0.505214,1.09774,-0.086024,0.398602,0.554059,-0.662931,-0.577883,3.26261,-0.438579,-0.592175
F,-1.01444,-0.463752,1.07352,3.84876,1.93289,0.55605,-0.375653,-0.458318,1.5027,-0.901994,-0.565584,1.4514,3.47173,-0.823475,2.8961,-0.91946,-0.559032,2.39069,-0.510095,-0.611622
F,-1.09464,-0.852032,-0.413516,-0.666943,1.8256,-0.695612,0.521243,-0.943521,3.7295,-0.705302,-0.504714,0.117967,-0.724897,0.510279,1.36519,-0.571671,-0.559726,0.307696,-0.527055,-0.554074
F,-0.473055,-0.430786,0.61967,0.598429,1.01353,0.603389,0.301664,-0.755386,0.836243,-0.840186,-0.532166,-0.396286,1.02681,-0.015499,-0.702947,-0.655169,-0.554978,0.153606,-0.505859,-0.532875
