class,Attr3320,Attr6215,Attr5593,Attr5087,Attr1962,Attr3341,Attr2439,Attr2121,Attr5984,Attr2363,Attr2288,Attr1144,Attr804,Attr6184,Attr6281,Attr3252,Attr1882,Attr668,Attr1779,Attr6201,Attr6347,Attr1829,Attr490,Attr4847,Attr3729,Attr1933,Attr1674,Attr3647,Attr396,Attr5823,Attr3012,Attr6677,Attr7119,Attr3605,Attr5932,Attr6803,Attr695,Attr2546,Attr412,Attr4609,Attr5062,Attr2137,Attr4951,Attr1135,Attr2111,Attr4196,Attr4167,Attr1834,Attr6200,Attr6477,Attr4973,Attr6919,Attr2394,Attr2020,Attr770,Attr6797,Attr2402,Attr590,Attr6021,Attr400,Attr3004,Attr1745,Attr3130,Attr5772,Attr2475,Attr6806,Attr6645,Attr4903,Attr3258,Attr5377,Attr1087,Attr1817,Attr3904,Attr4328,Attr4664,Attr4499,Attr1802,Attr5274,Attr4052,Attr2485,Attr2084,Attr6967,Attr4697,Attr1291,Attr6801,Attr2043,Attr3507,Attr2645,Attr6162,Attr5723,Attr6283,Attr1630,Attr6257,Attr5039,Attr4504,Attr6094,Attr3336,Attr321,Attr275,Attr1147,Attr6005,Attr5094,Attr3935,Attr1615,Attr332,Attr6761,Attr1764,Attr1400,Attr5954,Attr6169,Attr878,Attr2828,Attr760,Attr3939,Attr4229,Attr4621,Attr1928,Attr6855,Attr6225,Attr4898,Attr2441,Attr2356,Attr2641,Attr2291,Attr3784,Attr3706,Attr1092,Attr293,Attr4375,Attr4006,Attr2181,Attr3722,Attr5833,Attr324,Attr3622,Attr2659,Attr6563,Attr5552,Attr4764,Attr774,Attr3631,Attr2793,Attr5808,Attr930,Attr2254,Attr1725,Attr1350,Attr3170,Attr88,Attr3847,Attr4582,Attr6405,Attr3714,Attr173,Attr4116,Attr2912,Attr1704,Attr7044,Attr49,Attr4535,Attr3129,Attr3070,Attr697,Attr2729,Attr713,Attr4421,Attr6055,Attr2626,Attr4801,Attr3342,Attr235,Attr894,Attr2098,Attr2276,Attr1081,Attr2141,Attr4291,Attr791,Attr4438,Attr2186,Attr4141,Attr1839,Attr4448,Attr4767,Attr120,Attr6974,Attr3135,Attr4366,Attr6539,Attr1260,Attr6688,Attr1249,Attr4569,Attr6334,Attr634,Attr2597,Attr1827,Attr124,Attr1540,Attr1369
F,-0.220595,-0.389158,0.9213,1.76245,0.257098,-0.171669,1.20838,-0.604218,0.154594,-0.944004,-0.587803,-0.000996,0.541643,0.408718,0.749782,-0.724608,-0.504374,2.39355,-0.527772,-0.532485,2.41914,-0.714318,1.33268,-0.661837,-0.390271,1.11619,-0.831279,-2.30751,-0.775541,0.306318,-0.887425,-0.378033,1.08633,-0.470329,0.077479,-0.848447,-0.541619,-0.502294,0.821105,1.53349,1.46734,-0.661439,-0.936091,-0.9265,-0.997159,-1.05983,1.61509,-0.457315,-0.409105,1.75939,1.1624,-0.729239,-0.339015,-0.71722,-1.49076,-0.680772,-0.423939,-0.16021,0.582311,0.282783,-0.985834,-0.590146,0.398007,0.282473,0.942682,-0.748313,0.126408,-0.533238,-0.575296,-1.30301,-0.428808,-0.22819,2.96255,0.014207,-0.645439,-0.175085,-0.167875,-0.420603,-0.5894,-0.367618,0.468976,-0.828451,-2.91053,-0.399007,1.2243,-0.631272,-0.173663,-0.188671,-0.228219,-0.56837,1.82346,-0.296631,2.1884,-0.066387,-0.823608,0.774059,-0.149107,-0.677593,0.383204,0.942965,-0.914758,-1.36181,-0.11007,-1.2884,0.117076,2.58992,0.599547,-0.249485,-0.477071,-0.234736,-0.211529,0.949981,-0.452677,-0.198623,-0.738373,1.11681,0.84065,0.392286,1.78781,-0.526516,0.118397,-0.318646,0.749669,-0.447045,-0.557205,0.493217,-0.464824,1.94634,-0.337164,-0.395939,-0.358844,0.395646,-1.28953,0.239218,1.96912,-0.100537,-0.025427,1.28494,0.444846,-1.07897,-1.0887,0.815952,-0.616433,1.14214,-1.16773,-1.22358,0.517232,1.73902,-0.861864,0.016964,1.50972,-0.678444,-0.543627,-1.01935,-1.47009,0.279452,-0.24908,-0.308227,-0.332225,0.69701,-0.534494,-1.23454,0.37556,0.599428,0.697491,1.01383,0.491092,-0.813903,0.397016,-0.813328,-1.07082,-0.131257,-0.763917,-0.582104,-0.047672,-0.836825,0.650962,-0.41279,0.850178,-0.794096,-0.841912,0.346773,-0.070726,0.312191,-0.01497,1.11147,-0.706748,-0.631178,-0.809134,-1.58663,-0.23013,-0.878335,0.167832,0.19237,0.425209,1.18122,-0.155211,0.003273,-0.526862,-1.23982
F,-0.408508,-0.408356,-0.5017,0.025594,0.030359,-0.286596,-0.676527,-0.293615,0.007397,-0.086804,-0.514951,0.534197,-0.079822,-0.163314,-0.099772,-0.589524,-0.327348,0.620433,-0.540885,0.382085,-0.835864,-0.192467,2.3862,-0.667077,0.801949,2.47367,1.04445,-0.846367,0.574644,1.16338,-0.886608,-0.672324,-0.593272,0.579766,0.486299,0.056059,-0.658561,-0.617485,1.05748,0.333407,0.453798,-0.424181,0.514732,-0.269497,1.10518,0.008703,-0.284158,-0.851959,0.055985,-0.205162,-0.208466,-0.484845,-0.034835,0.322441,0.343471,0.245112,-0.50399,1.01,0.544498,-0.90254,-0.233726,-0.280799,-0.284807,-0.812226,2.32907,-0.151483,-0.567059,0.231699,-0.587984,0.101105,-0.310982,-0.189473,-0.784382,0.075228,-0.146713,-0.554135,-0.757566,-0.139972,-0.465831,-0.990296,-0.95917,0.033647,0.013953,-0.10279,-0.385751,0.422411,0.760261,-1.09213,-1.42105,0.37862,-0.160631,3.03609,-0.344555,-0.584471,1.14268,-0.449087,0.093272,-0.020872,0.989221,-0.629479,-0.049944,-1.76813,-1.83711,0.086099,0.560854,1.36566,-0.816541,0.112272,-0.460153,-0.448775,0.078485,-0.72196,-0.249236,0.316636,-0.039015,-0.710814,0.069,-0.251822,-0.859096,-0.106601,0.416925,0.033891,0.653056,2.0018,-0.566469,-0.340769,0.316874,-0.109555,2.41957,-0.585031,-0.732482,0.458706,0.179843,1.2073,1.02352,-0.196209,-0.899044,-0.136673,-0.883343,1.40707,-0.28155,-0.490574,-0.652477,-0.1943,-0.346697,-0.677257,0.5289,-0.734969,0.510149,-0.869876,-1.02484,-0.319136,-0.557562,-0.066287,-0.560274,0.050857,1.73494,-0.291298,0.068526,0.291513,0.588972,-0.018385,-0.504109,0.869256,-1.03139,-0.770823,-0.398281,-0.628767,0.28115,0.190796,-0.687197,-1.2058,0.849921,-0.093882,-0.675919,0.057659,0.789463,0.159577,-0.133839,0.134148,-0.429567,-0.935155,0.157527,-0.459552,0.47323,-1.12097,-1.38289,-0.221208,-0.807527,-0.572685,-0.551067,0.554962,0.136002,0.28014,0.133502,0.37339,-0.677788,0.179178,-0.401944,0.651247
F,-0.015344,0.014497,0.464971,1.27892,-0.813048,0.673574,-0.161472,-0.121384,0.186647,-0.971744,-0.610309,2.02583,1.49521,0.845823,0.322379,-0.640081,-0.516731,0.037763,-0.554255,-0.543186,0.253612,-0.877052,2.27833,-0.6691,-0.316171,-1.17025,-0.796445,-2.0317,-0.62577,0.254231,-1.15558,0.50425,-0.407801,0.238888,-0.651571,-0.122842,0.489827,-0.746725,-0.45216,-0.216496,-0.533837,-0.70103,-0.261234,0.762637,-1.28755,-0.986148,1.4705,-0.393879,-0.49866,1.50227,-1.16287,-0.652163,-0.6625,0.306202,-1.66695,-0.149671,-0.354506,-0.329882,-0.438776,-0.898393,-0.188677,-0.96515,2.67163,0.831413,1.77538,-0.437522,0.92329,-0.667713,-0.539666,0.181277,0.475936,-0.317318,0.139214,1.86589,-0.269504,-0.307837,-1.5301,0.741594,-0.751157,-0.129496,0.138684,-0.744678,-1.38727,-1.7503,2.38339,-0.583152,-0.257373,-0.225763,-0.22949,-1.53737,0.769729,2.7557,-0.48764,-0.198138,0.53143,0.297362,0.903001,-0.720945,1.92356,-0.472983,-0.070474,0.677442,-0.720137,-1.00029,1.83137,1.11437,-0.394581,-0.37343,-0.395456,-1.08872,-0.012351,0.567341,-0.43541,-0.322498,-1.45801,-1.59653,2.88487,-0.625058,-0.5315,-0.89902,2.55084,-0.38237,0.924689,0.056646,0.49627,0.37984,-0.545354,0.222998,3.63416,-0.035261,0.06022,0.316182,-0.974438,1.68705,1.54781,0.939429,0.388101,-0.360165,0.918393,-0.694601,-0.594334,0.805449,-0.368873,0.099963,0.677083,-1.53185,1.8504,0.079389,-0.36956,0.722164,1.00479,-0.511454,-0.538032,-1.27169,-1.14739,-0.766243,3.18869,0.44539,-0.355824,1.65528,-0.205446,0.999112,0.55334,1.71318,0.237947,-0.169335,0.572417,-0.010583,1.03794,-0.86153,-1.26812,0.566345,-1.1056,0.431903,-0.32847,-0.712104,1.78329,0.250657,0.05545,-0.659566,-0.79479,0.848096,-0.587723,-0.85247,-0.637911,-0.072153,-1.04608,-0.474006,-1.02298,-1.55987,0.810323,-0.941097,0.371492,0.32891,1.11652,1.7637,0.261284,-0.356613,-0.526972,-0.3672
F,-0.423074,-0.195863,-0.620525,0.622835,2.195,-0.327019,0.78401,-0.712532,0.029181,-0.449502,-0.591665,-0.30018,-0.012533,0.509054,0.379488,-0.58836,-0.604415,-0.631159,-0.537684,-0.54047,0.396707,-0.349703,-0.408326,-0.383181,-0.110619,0.299374,-0.56639,-0.618918,-0.224611,-0.158238,-0.311491,0.207107,-0.260879,-0.858813,-0.592054,-0.550678,0.612138,-0.52584,0.484019,0.545551,0.077282,-0.288994,-0.640638,1.07527,-0.860332,-0.966607,0.045091,-0.266203,-0.476836,1.09311,0.875066,-0.662902,-0.558727,-0.147056,-0.396908,-0.593958,-0.399844,0.251095,2.19836,-0.076736,0.40164,0.184016,-0.300068,1.46889,0.566363,-0.561231,0.992159,-0.378177,-0.515515,0.015393,0.294984,-0.570951,0.284293,0.355135,-0.463589,0.430651,0.162475,0.734696,-0.265795,0.721785,0.127417,-0.748538,-0.832636,-0.37199,2.23701,-0.533538,-0.121629,1.41438,-1.31906,-0.322718,1.39987,0.016091,1.08295,0.213462,-0.315521,0.412028,-0.245708,-1.01382,0.025597,1.46714,-0.133764,-0.205737,0.67656,-1.13551,0.04549,0.344782,0.886597,-0.467532,-0.429178,-0.30556,1.22264,0.287876,-0.464159,0.519597,-0.387676,1.589,0.75934,0.828586,0.808159,-0.45541,1.30552,-0.293819,0.029239,-0.669887,-0.226615,1.03882,-0.42298,0.639977,-0.147777,-1.18173,-0.270584,1.61742,-1.27459,1.16711,0.419361,-0.346025,-1.1374,0.100043,-0.795009,0.089576,-0.182883,-0.568746,-0.181905,0.333342,-0.169809,-0.286191,1.20424,1.22192,-0.275172,0.220859,0.747843,-0.404489,1.0743,0.114897,-0.924522,-0.176841,0.340039,-0.11444,-0.650344,0.266107,-0.220662,-0.847959,1.00426,0.450271,1.86866,0.547052,0.313432,-0.873552,1.53233,-0.07254,-0.155497,0.402192,-0.243174,1.29376,-0.133029,-0.676671,-0.155342,-0.107055,-0.139817,-0.640495,-0.566107,0.531643,-1.03738,-1.35599,-0.168975,1.18555,1.45113,-0.933657,-0.697492,-1.2317,-0.52855,-0.725997,0.029043,0.535799,1.06764,0.362417,0.449108,0.107012,0.637122,0.131387
F,-0.546663,-0.520301,-0.168403,1.56086,1.67664,-1.07085,0.551514,-0.692148,0.359131,0.426057,-0.413875,-0.242407,-0.395435,0.337293,0.849345,-0.657389,-0.577211,-0.611098,-0.380975,-0.582557,0.413373,0.069398,-0.119112,-0.420005,0.26121,0.857307,-0.265192,-0.23188,0.052793,1.59744,0.453441,-1.38768,-0.576936,-0.470116,-0.42078,-0.066341,-0.212575,-0.02645,0.130242,0.799446,1.63298,0.343921,-0.673621,1.14792,-0.20985,1.57688,1.14466,-0.188082,-0.457344,-0.529796,1.4909,0.226273,-0.346294,-0.644055,0.026507,0.024584,-0.402617,1.16607,1.70314,0.983463,-0.232172,-0.184782,0.183953,0.385429,0.690569,-0.067157,-0.306927,0.266322,-0.320473,-0.437026,1.52768,-0.33977,0.362237,0.910636,-0.207089,-0.690236,0.875358,0.636449,-0.138044,0.869328,1.55948,-0.252114,-1.28273,0.138579,1.17895,-0.461198,2.31603,1.22675,-1.16529,-0.042602,-0.015983,-0.230844,0.630167,-0.26228,-0.076413,-0.331899,0.475315,-0.788129,-0.205282,-0.426358,-1.32989,-1.2029,0.19136,0.069189,2.45074,-0.606726,-0.616163,0.282486,-0.584529,-1.19203,1.78795,-1.15384,-0.371676,0.661569,0.025053,0.335373,0.517995,0.304736,0.524012,0.823537,1.04754,-0.898887,0.473491,-0.621323,1.87241,0.131984,0.023592,-0.175003,-0.180288,0.30215,-0.416919,1.05542,-0.148384,2.22254,0.143053,-1.11338,-0.630797,0.744408,-0.210914,0.847969,-0.005622,-1.39907,-0.622937,0.578037,0.160696,-0.231066,-0.00185,2.35235,-0.829459,-0.899909,1.08073,-0.746973,-0.39823,0.057636,0.130424,1.91747,-0.401065,-0.147885,-0.341962,0.591033,0.965095,0.007426,0.657931,0.382058,-0.847017,0.36226,0.17184,1.42206,1.75346,1.78614,-0.489387,-0.919369,-0.368198,0.606141,1.10535,0.104038,1.8694,0.169604,-0.099972,-0.896591,-0.638305,1.19274,0.676153,3.7337,-0.202982,0.248738,0.26392,0.04837,-0.623797,-1.14576,-1.39659,0.291625,0.531766,0.54959,0.965398,0.497317,1.03236,-0.457885,-0.314315,-0.130113
F,-0.527014,-0.299403,0.872557,-0.202484,-0.755564,0.134634,-0.572504,-0.43353,0.667296,-0.896146,-0.469759,2.25046,0.476815,1.61161,0.020094,-0.595599,-0.339436,-0.399141,-0.500839,-0.53431,-0.214945,-0.732004,0.902521,-0.626451,-0.884727,-1.16322,-0.767445,-0.600914,-0.570672,-0.615553,-0.44109,0.481847,0.410213,-0.899105,-0.532523,-0.128933,0.6939,-0.748703,-0.997399,-0.420447,-0.103007,0.240318,-0.091873,-0.626581,-1.26471,-0.884298,0.458709,-0.653673,-0.450308,-0.215299,-0.221841,-0.157987,-0.53177,-0.517678,-1.74348,-0.01604,-0.392244,-0.260405,0.130667,-0.333241,-0.419163,-0.535866,-0.962576,0.296857,-0.277381,0.040487,0.24116,0.994615,-0.926414,1.11536,-0.411732,-1.8372,-0.182515,0.437184,0.117955,-0.632782,-1.43406,1.14953,-0.8255,-0.49614,-0.046285,-0.221612,-0.57444,-1.31175,1.90772,-0.460973,0.262622,0.003692,-0.282012,-0.76184,0.540009,1.68673,0.264531,-0.481077,0.23175,-0.358977,0.158135,-0.623372,0.565763,-0.410583,-0.341953,0.361563,0.161381,-1.18145,0.349044,-0.015682,0.407689,-0.762411,-0.242173,-0.076605,-0.657761,-1.05914,-0.374136,0.129711,-1.03305,-0.787581,1.38447,-0.237115,-0.671317,-0.331874,0.600479,-0.054872,0.654171,0.205624,0.023979,1.12436,-0.035474,-0.184324,3.37047,1.95455,0.490283,-0.363514,-0.344894,-0.075616,0.902082,-0.939827,-0.652447,-0.640661,0.660656,-1.08058,-0.142361,-1.13986,-0.239276,-0.826995,1.32135,-0.349379,-0.19761,0.061237,-0.333963,-0.402788,-0.428725,-0.222011,-0.542465,-0.074282,-0.908584,1.21739,3.10503,-0.21461,-0.218024,0.612547,0.587492,0.947573,-0.259422,0.359733,0.581915,2.76965,-0.177617,0.405705,0.225317,0.302552,-0.08669,0.666412,-0.391975,0.406409,-0.186979,-0.602293,0.019048,-0.982757,0.062253,-0.791146,-0.75221,-0.264371,0.63416,-0.54437,0.540299,0.053709,-0.08268,-0.438063,-0.719085,-0.458886,0.237552,-0.926682,-0.013577,2.34878,-0.128297,0.506837,-0.303556,-0.151932,-0.429846,-1.09456
F,-0.261331,-0.163119,-0.718502,-0.165485,1.38389,-0.307096,-0.084384,-0.07306,-0.193151,-0.423158,-0.577604,-0.334498,0.440547,1.92858,-0.206691,-0.521803,-0.584201,-0.657949,-0.534178,-0.550643,0.070197,-0.24752,0.150246,-0.76256,0.022755,-0.560113,-0.9869,0.159941,-0.554207,-0.037688,-0.904241,0.445676,-0.542422,-0.432142,-0.382556,-0.590074,0.500892,-0.4709,0.361164,0.089417,-0.519744,-0.272551,-1.19795,-0.253921,-1.02369,-0.955245,0.23464,-0.677404,-0.437657,1.59294,-0.600293,-0.675489,-0.402304,-0.248509,-0.598853,-0.628738,-0.408144,-0.715792,1.11915,0.339004,0.304795,-0.542944,0.49631,0.642716,-0.704082,-0.651577,0.713695,-0.338268,-0.35427,0.354065,0.84937,-0.803724,-0.321429,1.05595,-0.454484,-0.044964,-0.174481,-0.345273,1.97658,-0.339908,-0.524144,-0.763879,0.233943,-0.547112,1.90456,-0.548713,-0.283962,-0.304732,-0.07793,0.040206,1.09988,-0.639893,0.574997,-0.199468,-0.848588,0.154961,-0.022093,-0.70627,0.157001,1.6742,-0.279364,-0.130865,-0.132069,-0.828438,0.001167,-0.303408,0.332694,0.120645,-0.380419,0.452702,-0.200755,-0.581311,-0.461351,-0.599643,-0.545367,0.996646,0.391863,-0.055506,1.11965,-0.73066,0.222504,-0.014395,0.384151,-0.455018,0.159106,-0.212796,-0.389169,0.397908,-0.57049,-0.020824,0.027427,0.773524,-0.764888,0.118425,-0.901636,0.648195,0.272461,0.776581,-0.569243,-1.27425,-0.316653,-0.302315,-0.319353,-1.32777,0.9329,-0.383307,-0.865015,0.371327,-0.261406,1.26688,0.398788,-0.501853,2.0269,0.18139,-0.483188,-0.694513,0.495728,-0.697317,-0.335065,0.664141,-0.794913,-0.087853,0.824471,0.429663,1.86872,2.08674,0.27455,0.288556,1.94165,-0.318331,-0.14576,0.019508,-0.39092,1.29577,-0.155799,-0.608965,-0.509378,0.000001,-0.301676,-0.501198,-0.443663,-0.415324,-0.953873,1.7015,-0.834918,0.894093,0.783397,-1.01676,-0.45636,-0.839258,0.579478,-0.582824,0.735157,0.799449,0.306096,0.487049,0.307082,-0.124668,1.80321,-1.15779
F,0.523796,-0.243281,0.028028,0.621654,-0.06126,-0.911094,0.427001,-0.368266,-0.68408,-1.07833,-0.664502,0.184719,0.657472,1.35509,-0.360325,-0.514842,-0.586408,0.409685,-0.563624,-0.493004,0.633071,-1.2218,-0.231168,-0.922927,-0.275387,0.030984,-0.441669,-2.45075,-0.280432,0.903931,-0.784698,0.503363,-0.490341,-0.448447,-0.417462,-0.36474,1.94489,-0.4335,-0.545849,1.1102,-0.563562,-0.684868,0.084071,-0.476176,-0.446094,-1.04071,0.530129,-0.27135,-0.47061,2.38988,1.12953,-0.646943,0.776027,0.500426,-0.85931,-0.406691,-0.322111,0.04113,-0.387048,-1.08704,-0.148718,-0.640702,-0.072946,1.08006,-0.104776,-0.397245,1.06395,-3.09739,-0.452848,0.058944,0.726167,0.895794,1.46002,-0.420616,-1.24277,0.711857,-1.2769,-0.910296,-0.708179,-0.06998,-0.192143,-0.853087,0.756778,-0.614343,1.08025,-0.205669,-0.030426,-1.54128,0.335224,0.243528,1.8159,1.55241,2.28645,0.214722,0.625722,0.543104,-0.477567,-0.424042,-0.720797,0.502545,1.24468,-1.47807,0.406087,-0.688359,-0.475549,2.58426,1.3817,-0.734989,-0.478238,1.24546,-0.809771,0.420672,-0.42548,-1.1012,-0.601558,-0.468477,1.04644,1.18704,0.147174,-3.24806,0.76367,-0.131006,0.661688,-1.09944,0.672451,1.95311,-0.688596,0.8345,-0.212767,-0.461806,0.162654,1.35847,-0.115038,-0.215373,1.85518,1.2902,0.809873,2.21734,-0.737754,-0.624853,0.082541,0.374049,-0.256286,-0.848091,0.413621,-0.648075,-1.07569,0.387357,0.430419,-0.173667,0.839545,-0.461255,1.5362,-0.835434,-1.66339,-1.33459,-0.298386,0.122153,-0.284208,-0.253323,-0.455288,-1.70331,0.892803,1.40246,0.887044,1.06299,-0.229015,-0.945884,1.04626,-0.574976,0.023765,0.910411,-0.558965,0.834694,-1.17709,-0.509134,-0.03371,-0.37486,0.121873,-0.650297,-0.501616,-1.1225,-0.938626,-0.870789,-1.73494,0.712789,0.50731,-1.00981,-0.217515,0.499784,0.397265,-0.918197,0.5796,-1.02595,1.87071,0.386513,-0.658255,2.01615,-1.32195,-0.920887
F,-0.655545,-0.509949,0.052511,2.15338,-0.000159,-1.49922,-0.74091,-0.143726,1.71586,0.117503,-0.578807,3.79036,2.0613,-0.585031,1.65138,-0.731869,-0.515508,0.860225,-0.552197,-0.531316,-0.240493,0.089708,2.54297,-1.01329,-0.171251,-0.547024,-0.329927,-0.933878,-0.582336,1.69886,0.14657,0.223085,0.960384,-0.767937,-0.724626,-0.270796,-0.203135,-0.601477,-0.632995,-0.18642,-0.788102,-0.895416,1.01872,0.057251,-0.320043,-0.876502,0.436035,-0.892837,-0.482132,1.0208,0.292861,-1.11035,-0.199476,-0.686479,-0.092147,-0.328597,-0.361603,-0.005979,0.157371,0.612662,0.752709,-0.844228,-0.881346,0.506947,2.34545,-0.405459,-0.306716,-1.07165,-0.903485,2.31367,0.307497,-0.820882,0.104938,1.74458,-0.631292,-0.537843,-1.2741,2.90868,-0.885639,0.414498,0.175726,0.45333,-1.0088,-0.882109,2.07195,-0.554669,0.009323,0.803011,-1.11305,-1.21037,-0.45467,2.05148,-0.408987,-0.839517,0.168716,1.53545,1.20933,-0.613402,1.76837,-0.834371,0.235613,-0.596985,-1.07048,-1.23604,2.30009,0.850364,-0.172945,-0.836267,-0.646035,-2.33137,1.25153,-1.25337,-0.505942,-0.907175,-1.01919,-0.515481,2.65415,0.249824,-0.883807,-1.21721,1.37169,-0.585328,0.502206,0.669325,0.544727,-0.164982,-0.363211,-0.355695,1.80148,-1.50744,-0.718671,0.093724,-1.22212,2.77701,0.733697,-0.193913,-0.173306,-0.551829,1.92582,0.632934,-1.15094,0.031342,-0.445821,-0.116127,-0.612195,-1.48604,-0.299868,0.877456,-0.587163,-0.683127,0.176066,-0.631812,-1.06202,-1.24958,0.464489,1.61788,2.68238,-0.952353,-1.13575,3.22164,1.10944,1.05103,0.392983,2.77113,0.350943,-0.156781,0.171204,1.23378,1.64616,-0.267174,-1.51679,-0.918858,-0.473237,1.9307,1.00983,-0.160385,3.06478,0.451123,-0.795143,-0.375512,-0.757159,1.50273,1.29658,-0.639831,0.017394,-1.13749,-0.803775,-0.292032,-1.0817,-1.31274,-0.449108,-0.817843,-0.968856,3.8106,-0.682996,3.14348,0.351447,-0.548357,-1.47124,0.520578
F,-0.146853,-0.337565,-0.114494,-0.342527,-0.608021,-0.114091,-0.708906,-0.431831,0.107546,-0.682096,-0.484019,2.32742,0.987127,0.465251,1.55228,-0.591766,-0.459045,0.363414,-0.458701,-0.485352,-0.525513,-0.906874,0.70502,-0.505337,-0.062976,-0.874585,-0.934018,0.118936,-0.821117,-0.956274,-0.291167,-0.335993,-0.245852,-0.236723,-0.544749,-0.321957,-0.937352,-0.167609,-0.8321,0.035406,-0.397978,-0.160806,0.372122,-0.081227,-0.620419,-0.730224,0.562529,-0.516725,-0.479704,-0.73484,-1.2572,-0.375318,-0.391669,-0.219165,-1.38832,-0.497318,-0.538567,-0.778401,-0.953828,0.536188,-0.123421,-0.804795,0.806283,-0.496381,-0.097911,-0.382855,-0.866466,0.182224,-0.271975,0.281332,0.779772,-1.13967,-0.717249,0.902733,-0.335939,-0.227529,-1.15152,-0.370782,-0.880344,0.315866,-0.26208,-0.338532,0.374761,-1.39689,-0.617027,-0.416296,-0.079502,0.210244,-0.608369,-0.147274,0.376796,0.282944,-0.480976,-0.732005,2.03575,-0.219035,0.019724,-0.593752,1.52707,-0.896159,0.55054,-0.338914,-0.104148,-0.940772,0.635476,-0.526256,-0.095788,-0.659621,-0.398055,-0.74084,1.83067,-0.06971,-0.361058,-1.37263,-0.774157,2.40737,1.55967,-0.697631,-0.99297,1.04792,-0.115316,-0.16074,-0.885289,-0.687476,-0.902844,1.04088,-0.386549,-0.676054,0.12583,0.188313,-0.515941,-0.997923,-1.07079,-0.509846,-0.597332,-0.815017,0.255744,-0.618306,-0.456117,-0.570599,-0.654389,-0.011668,-0.365513,0.69137,0.585846,-0.460394,1.91042,-0.856847,-0.128967,0.242223,-0.659444,-0.433134,-1.05728,-0.431444,0.823395,1.23115,1.27795,0.493221,-0.344303,0.25642,-0.366406,0.237904,-0.541968,0.899371,0.290833,-0.527815,1.26551,0.369095,0.538592,-0.012047,-0.698552,0.013861,0.380887,-0.670059,-0.36013,-0.844339,0.89052,-0.852511,-0.239055,-0.694954,-0.315198,0.962779,0.426686,-0.033566,0.788749,-0.817558,-0.657674,-0.481535,-0.706229,-0.41124,-0.681293,-0.392778,-1.14345,2.06286,-0.536256,0.425789,0.743025,-0.044088,-0.482215,-0.821737
