class,Attr3320,Attr6215,Attr5593,Attr5087,Attr1962
F,-0.220595,-0.389158,0.9213,1.76245,0.257098
F,-0.408508,-0.408356,-0.5017,0.025594,0.030359
F,-0.015344,0.014497,0.464971,1.27892,-0.813048
F,-0.423074,-0.195863,-0.620525,0.622835,2.195
F,-0.546663,-0.520301,-0.168403,1.56086,1.67664
F,-0.527014,-0.299403,0.872557,-0.202484,-0.755564
F,-0.261331,-0.163119,-0.718502,-0.165485,1.38389
F,0.523796,-0.243281,0.028028,0.621654,-0.06126
F,-0.655545,-0.509949,0.052511,2.15338,-0.000159
F,-0.146853,-0.337565,-0.114494,-0.342527,-0.608021
F,-0.868556,-0.416485,1.35392,1.08435,-0.26614
F,-0.532135,-0.416626,-0.980416,-0.439165,-0.213425
F,-0.820459,-0.647415,0.812234,0.438257,0.900986
F,-0.588769,-0.592813,-0.118682,-0.126038,-0.615057
F,-1.09896,-0.727452,0.992462,0.855033,1.72721
F,-0.602,0.127353,1.68742,0.472879,0.599497
F,0.36678,0.306161,0.783965,3.57126,-0.32882
F,-0.438071,-0.55845,-0.362777,-0.486271,-0.264498
F,0.12718,-0.344173,0.800287,0.297967,-0.062929
F,-1.01444,-0.463752,1.07352,3.84876,1.93289
F,-1.09464,-0.852032,-0.413516,-0.666943,1.8256
F,-0.473055,-0.430786,0.61967,0.598429,1.01353
F,-0.6119,-0.393951,1.64634,0.059564,-0.194179
F,-0.557627,-0.289109,0.19509,0.909252,3.12941
F,-0.140593,-0.237791,-0.481338,-0.204594,-0.553149
F,-0.596864,-0.520162,1.88696,-0.25221,0.317772
F,0.132343,-0.095742,0.504329,-0.039454,0.81412
T,0.34363,0.131315,-0.3559,0.833006,-0.417131
T,1.65205,-0.394572,-0.598235,-0.582557,-1.26225
T,2.8127,-0.549244,-1.21353,-0.359001,-0.235821
T,2.06646,1.11385,-0.976243,-0.634794,-0.762566
T,1.42912,-0.240879,-0.662012,-0.782449,0.39294
T,-0.082864,2.03475,-0.688989,-0.099012,-0.640843
T,1.37983,0.230841,-1.22109,-0.6669,-1.11824
T,1.13572,0.68782,-1.20513,-0.738732,-1.03822
T,2.71834,0.053077,-0.864496,-1.17639,-1.02928
T,1.32334,-0.146644,-0.696387,-1.00605,-0.747331
T,1.15398,0.336469,-0.560948,-0.632674,-0.481185
F,-0.20545,-0.054873,4.71192,-0.085253,-0.646247
F,-0.224616,-0.547991,-0.11866,-0.599206,-0.614744
F,-1.03587,-0.699092,0.24894,-0.474927,2.27599
F,-1.54256,-0.198438,0.164281,1.28762,0.154358
F,-0.76261,-0.003933,-0.644674,-0.466184,-0.271495
F,-1.30226,-0.619396,1.30861,0.457101,-0.184148
F,-0.937053,-0.549128,-0.275685,-0.568005,0.366441
F,-0.805493,-0.608796,-0.751777,-0.371367,0.227369
F,-0.164445,-0.334447,-0.88287,-0.648329,-0.557061
F,-0.839137,-0.499011,0.249682,1.08449,0.250459
F,0.112773,-0.176288,1.22356,-0.276205,1.10825
T,1.38008,1.99997,-0.447766,-1.10067,-0.560015
T,1.26351,1.38452,-0.564867,-0.752599,-1.00097
T,-0.928236,-0.644201,-1.63074,-1.55441,-0.567191
T,2.48096,0.148529,-0.267492,-1.05119,-0.380147
T,-0.364046,1.63803,-0.752507,-0.124125,-0.222911
F,-0.454576,-0.183849,-0.105475,-0.142952,-0.120994
F,-0.345304,-0.051675,0.819292,-0.209827,0.789918
T,-0.584872,1.0155,-0.649735,-0.56948,-1.22675
T,1.18361,0.577002,-0.748423,-1.0863,-1.55569
F,-0.830983,-0.297687,-0.110213,-0.558462,0.029033
T,-0.674715,3.01544,-0.989265,-0.787725,-1.19108
T,-0.322829,5.95165,0.092976,-0.177128,-0.355793
T,-0.455592,-0.597643,-1.17678,-1.44977,-0.452197
T,1.28085,0.005238,-0.545841,-0.521767,-0.791579
T,1.91972,0.138199,-0.520505,-0.893403,-1.36572
T,1.42068,-0.233566,-0.89842,-0.548534,-1.49183
T,-0.562615,-0.690463,-0.559732,-0.214618,-1.17456
F,-0.369677,-0.554915,0.412812,-0.456975,-0.293635
F,-0.473066,-0.515079,-0.078355,1.32786,1.84781
F,0.081127,-0.266925,0.006361,1.21414,1.59438
F,-0.655105,-0.429296,-0.425254,-0.584133,0.432009
F,-0.397873,-0.433723,0.528064,-0.198204,-0.346398
F,-0.323774,-0.334707,2.20629,-0.290194,0.567305
