class,Attr3320,Attr6215,Attr5593,Attr5087,Attr1962,Attr3341,Attr2439,Attr2121,Attr5984,Attr2363,Attr2288,Attr1144,Attr804,Attr6184,Attr6281,Attr3252,Attr1882,Attr668,Attr1779,Attr6201,Attr6347,Attr1829,Attr490,Attr4847,Attr3729,Attr1933,Attr1674,Attr3647,Attr396,Attr5823,Attr3012,Attr6677,Attr7119,Attr3605,Attr5932,Attr6803,Attr695,Attr2546,Attr412,Attr4609,Attr5062,Attr2137,Attr4951,Attr1135,Attr2111,Attr4196,Attr4167,Attr1834,Attr6200,Attr6477
F,-0.220595,-0.389158,0.9213,1.76245,0.257098,-0.171669,1.20838,-0.604218,0.154594,-0.944004,-0.587803,-0.000996,0.541643,0.408718,0.749782,-0.724608,-0.504374,2.39355,-0.527772,-0.532485,2.41914,-0.714318,1.33268,-0.661837,-0.390271,1.11619,-0.831279,-2.30751,-0.775541,0.306318,-0.887425,-0.378033,1.08633,-0.470329,0.077479,-0.848447,-0.541619,-0.502294,0.821105,1.53349,1.46734,-0.661439,-0.936091,-0.9265,-0.997159,-1.05983,1.61509,-0.457315,-0.409105,1.75939
F,-0.408508,-0.408356,-0.5017,0.025594,0.030359,-0.286596,-0.676527,-0.293615,0.007397,-0.086804,-0.514951,0.534197,-0.079822,-0.163314,-0.099772,-0.589524,-0.327348,0.620433,-0.540885,0.382085,-0.835864,-0.192467,2.3862,-0.667077,0.801949,2.47367,1.04445,-0.846367,0.574644,1.16338,-0.886608,-0.672324,-0.593272,0.579766,0.486299,0.056059,-0.658561,-0.617485,1.05748,0.333407,0.453798,-0.424181,0.514732,-0.269497,1.10518,0.008703,-0.284158,-0.851959,0.055985,-0.205162
F,-0.015344,0.014497,0.464971,1.27892,-0.813048,0.673574,-0.161472,-0.121384,0.186647,-0.971744,-0.610309,2.02583,1.49521,0.845823,0.322379,-0.640081,-0.516731,0.037763,-0.554255,-0.543186,0.253612,-0.877052,2.27833,-0.6691,-0.316171,-1.17025,-0.796445,-2.0317,-0.62577,0.254231,-1.15558,0.50425,-0.407801,0.238888,-0.651571,-0.122842,0.489827,-0.746725,-0.45216,-0.216496,-0.533837,-0.70103,-0.261234,0.762637,-1.28755,-0.986148,1.4705,-0.393879,-0.49866,1.50227
F,-0.423074,-0.195863,-0.620525,0.622835,2.195,-0.327019,0.78401,-0.712532,0.029181,-0.449502,-0.591665,-0.30018,-0.012533,0.509054,0.379488,-0.58836,-0.604415,-0.631159,-0.537684,-0.54047,0.396707,-0.349703,-0.408326,-0.383181,-0.110619,0.299374,-0.56639,-0.618918,-0.224611,-0.158238,-0.311491,0.207107,-0.260879,-0.858813,-0.592054,-0.550678,0.612138,-0.52584,0.484019,0.545551,0.077282,-0.288994,-0.640638,1.07527,-0.860332,-0.966607,0.045091,-0.266203,-0.476836,1.09311
F,-0.546663,-0.520301,-0.168403,1.56086,1.67664,-1.07085,0.551514,-0.692148,0.359131,0.426057,-0.413875,-0.242407,-0.395435,0.337293,0.849345,-0.657389,-0.577211,-0.611098,-0.380975,-0.582557,0.413373,0.069398,-0.119112,-0.420005,0.26121,0.857307,-0.265192,-0.23188,0.052793,1.59744,0.453441,-1.38768,-0.576936,-0.470116,-0.42078,-0.066341,-0.212575,-0.02645,0.130242,0.799446,1.63298,0.343921,-0.673621,1.14792,-0.20985,1.57688,1.14466,-0.188082,-0.457344,-0.529796
F,-0.527014,-0.299403,0.872557,-0.202484,-0.755564,0.134634,-0.572504,-0.43353,0.667296,-0.896146,-0.469759,2.25046,0.476815,1.61161,0.020094,-0.595599,-0.339436,-0.399141,-0.500839,-0.53431,-0.214945,-0.732004,0.902521,-0.626451,-0.884727,-1.16322,-0.767445,-0.600914,-0.570672,-0.615553,-0.44109,0.481847,0.410213,-0.899105,-0.532523,-0.128933,0.6939,-0.748703,-0.997399,-0.420447,-0.103007,0.240318,-0.091873,-0.626581,-1.26471,-0.884298,0.458709,-0.653673,-0.450308,-0.215299
F,-0.261331,-0.163119,-0.718502,-0.165485,1.38389,-0.307096,-0.084384,-0.07306,-0.193151,-0.423158,-0.577604,-0.334498,0.440547,1.92858,-0.206691,-0.521803,-0.584201,-0.657949,-0.534178,-0.550643,0.070197,-0.24752,0.150246,-0.76256,0.022755,-0.560113,-0.9869,0.159941,-0.554207,-0.037688,-0.904241,0.445676,-0.542422,-0.432142,-0.382556,-0.590074,0.500892,-0.4709,0.361164,0.089417,-0.519744,-0.272551,-1.19795,-0.253921,-1.02369,-0.955245,0.23464,-0.677404,-0.437657,1.59294
F,0.523796,-0.243281,0.028028,0.621654,-0.06126,-0.911094,0.427001,-0.368266,-0.68408,-1.07833,-0.664502,0.184719,0.657472,1.35509,-0.360325,-0.514842,-0.586408,0.409685,-0.563624,-0.493004,0.633071,-1.2218,-0.231168,-0.922927,-0.275387,0.030984,-0.441669,-2.45075,-0.280432,0.903931,-0.784698,0.503363,-0.490341,-0.448447,-0.417462,-0.36474,1.94489,-0.4335,-0.545849,1.1102,-0.563562,-0.684868,0.084071,-0.476176,-0.446094,-1.04071,0.530129,-0.27135,-0.47061,2.38988
F,-0.655545,-0.509949,0.052511,2.15338,-0.000159,-1.49922,-0.74091,-0.143726,1.71586,0.117503,-0.578807,3.79036,2.0613,-0.585031,1.65138,-0.731869,-0.515508,0.860225,-0.552197,-0.531316,-0.240493,0.089708,2.54297,-1.01329,-0.171251,-0.547024,-0.329927,-0.933878,-0.582336,1.69886,0.14657,0.223085,0.960384,-0.767937,-0.724626,-0.270796,-0.203135,-0.601477,-0.632995,-0.18642,-0.788102,-0.895416,1.01872,0.057251,-0.320043,-0.876502,0.436035,-0.892837,-0.482132,1.0208
F,-0.146853,-0.337565,-0.114494,-0.342527,-0.608021,-0.114091,-0.708906,-0.431831,0.107546,-0.682096,-0.484019,2.32742,0.987127,0.465251,1.55228,-0.591766,-0.459045,0.363414,-0.458701,-0.485352,-0.525513,-0.906874,0.70502,-0.505337,-0.062976,-0.874585,-0.934018,0.118936,-0.821117,-0.956274,-0.291167,-0.335993,-0.245852,-0.236723,-0.544749,-0.321957,-0.937352,-0.167609,-0.8321,0.035406,-0.397978,-0.160806,0.372122,-0.081227,-0.620419,-0.730224,0.562529,-0.516725,-0.479704,-0.73484
