class,Attr6855,Attr5119,Attr400,Attr2063,Attr2793,Attr1120,Attr1745,Attr6225,Attr1381,Attr2121
F,0,0,0,0,1,1,-1,1,0,-1
F,0,1,-1,-1,0,1,0,-1,1,0
F,-1,0,-1,-1,1,1,-1,-1,1,0
F,1,-1,0,-1,-1,0,0,1,1,-1
F,0,0,1,0,-1,0,0,1,1,-1
F,0,-1,0,-1,-1,1,-1,-1,0,0
F,0,-1,0,-1,0,-1,-1,1,1,0
F,1,0,-1,-1,0,0,-1,0,-1,0
F,0,0,1,-1,0,1,-1,-1,1,0
F,-1,0,1,0,0,1,-1,-1,1,0
F,-1,1,0,-1,-1,1,-1,-1,0,-1
F,-1,1,1,0,-1,0,0,0,-1,0
F,1,1,1,0,0,0,-1,0,1,-1
F,0,-1,1,-1,1,0,0,-1,1,0
F,1,0,0,-1,-1,0,0,1,1,0
F,1,0,1,-1,0,0,-1,1,1,0
F,0,0,0,0,0,0,-1,-1,1,0
F,0,-1,-1,0,-1,0,0,0,-1,-1
F,0,1,1,0,-1,-1,-1,1,1,-1
F,1,1,0,-1,-1,1,-1,1,1,0
F,1,-1,-1,-1,-1,1,0,0,0,-1
F,-1,-1,1,-1,0,0,-1,1,0,-1
F,0,-1,1,-1,0,0,-1,-1,-1,-1
F,1,-1,-1,-1,-1,1,0,1,1,-1
F,-1,1,1,1,-1,0,-1,1,-1,-1
F,1,1,0,-1,0,0,-1,1,0,-1
F,0,0,0,-1,0,0,0,1,0,0
T,-1,0,-1,0,1,-1,0,-1,0,0
T,-1,0,-1,0,0,-1,1,-1,-1,0
T,-1,-1,-1,0,-1,-1,1,-1,-1,1
T,-1,-1,-1,0,0,-1,0,-1,0,1
T,-1,0,-1,0,1,1,1,-1,-1,1
T,-1,0,-1,0,1,-1,1,-1,-1,0
T,-1,0,0,0,1,-1,1,-1,-1,1
T,-1,-1,0,0,0,-1,0,-1,-1,0
T,-1,-1,-1,1,0,-1,1,-1,0,1
T,-1,-1,-1,-1,0,-1,1,-1,-1,1
T,-1,-1,0,0,0,-1,0,-1,-1,0
F,1,0,-1,0,0,1,-1,0,-1,-1
F,0,0,-1,-1,-1,0,0,1,0,-1
F,1,-1,0,0,-1,0,0,0,1,-1
F,1,1,1,0,0,0,-1,-1,-1,-1
F,1,0,1,0,0,0,-1,1,-1,-1
F,1,-1,1,0,-1,1,-1,1,0,-1
F,0,0,-1,0,-1,0,-1,1,0,-1
F,0,0,1,1,-1,0,-1,1,-1,0
F,0,0,0,0,-1,0,-1,-1,1,-1
F,1,1,1,1,-1,1,-1,1,1,-1
F,1,-1,1,-1,1,0,0,1,0,0
T,-1,0,-1,0,0,-1,1,-1,0,1
T,-1,-1,-1,0,1,-1,1,-1,-1,0
T,-1,-1,1,1,0,-1,1,-1,-1,1
T,-1,-1,-1,0,1,0,1,-1,0,1
T,-1,-1,-1,1,1,0,0,-1,0,1
F,0,-1,-1,0,-1,-1,-1,1,0,-1
F,0,-1,1,0,0,0,-1,1,0,0
T,-1,-1,0,1,0,-1,0,-1,-1,1
T,-1,-1,0,1,1,-1,0,-1,-1,0
F,0,-1,0,0,-1,0,-1,1,-1,0
T,-1,-1,-1,1,0,0,0,-1,0,0
T,-1,0,0,1,1,0,0,-1,-1,0
T,-1,-1,-1,1,1,0,1,-1,0,1
T,-1,-1,-1,1,1,-1,1,0,-1,1
T,-1,0,0,1,1,-1,1,0,0,1
T,-1,0,-1,1,0,0,0,-1,-1,0
T,-1,-1,0,0,0,0,0,-1,-1,0
F,0,1,-1,0,0,0,1,-1,0,0
F,1,0,0,-1,-1,-1,-1,-1,1,-1
F,1,1,0,0,1,-1,-1,1,1,0
F,0,0,1,-1,-1,0,0,1,-1,-1
F,0,1,0,0,1,1,-1,0,-1,-1
F,0,0,1,-1,1,1,0,0,-1,-1
